latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
6.45631,125.06136,329.29,0.74,0.76,2025-03-13,0406,N20,nominal,2.0NRT,286.77,4.95,D
6.55054,125.14834,367,0.73,0.76,2025-03-13,0406,N20,high,2.0NRT,291.48,37.07,D
6.66285,125.02499,344.37,0.74,0.76,2025-03-13,0406,N20,nominal,2.0NRT,291.61,17.21,D
6.66258,125.02574,355.46,0.73,0.76,2025-03-13,0406,N20,nominal,2.0NRT,291.86,11.19,D
6.7523,125.00829,328.92,0.74,0.76,2025-03-13,0406,N20,nominal,2.0NRT,291.29,3.52,D
6.75128,125.00677,329.98,0.73,0.76,2025-03-13,0406,N20,nominal,2.0NRT,291.36,4.83,D
7.47358,125.21817,327.24,0.69,0.74,2025-03-13,0406,N20,nominal,2.0NRT,294.86,5.28,D
7.55512,125.30825,355.02,0.68,0.74,2025-03-13,0406,N20,nominal,2.0NRT,293.04,13.67,D
7.58953,125.34425,335.06,0.67,0.74,2025-03-13,0406,N20,nominal,2.0NRT,292.94,6.73,D
7.55831,125.30927,367,0.68,0.74,2025-03-13,0406,N20,high,2.0NRT,292.88,12.9,D
7.5859,125.34446,334.19,0.67,0.74,2025-03-13,0406,N20,nominal,2.0NRT,293.58,5.49,D
7.97335,125.03373,337.19,0.7,0.75,2025-03-13,0406,N20,nominal,2.0NRT,295.89,8.26,D
7.97528,125.03378,331.91,0.7,0.75,2025-03-13,0406,N20,nominal,2.0NRT,295.86,2.62,D
8.28074,125.11089,341.73,0.68,0.74,2025-03-13,0406,N20,nominal,2.0NRT,295.65,7.14,D
8.27955,125.10458,336.29,0.68,0.74,2025-03-13,0406,N20,nominal,2.0NRT,296.32,7.14,D
8.28265,125.10738,352.13,0.68,0.74,2025-03-13,0406,N20,nominal,2.0NRT,296.81,12.06,D
8.4698,124.90517,367,0.7,0.75,2025-03-13,0406,N20,high,2.0NRT,303.02,11.7,D
8.49182,125.02206,334.97,0.68,0.74,2025-03-13,0406,N20,nominal,2.0NRT,296.96,6.17,D
8.47109,124.91203,327.65,0.7,0.75,2025-03-13,0406,N20,nominal,2.0NRT,299.5,11.7,D
8.47655,124.90382,347.96,0.7,0.75,2025-03-13,0406,N20,nominal,2.0NRT,299.57,11.87,D
8.46425,124.90462,367,0.7,0.75,2025-03-13,0406,N20,high,2.0NRT,300.85,12.35,D
8.47105,124.90353,367,0.7,0.75,2025-03-13,0406,N20,high,2.0NRT,303.05,18.86,D
8.49387,125.02039,338.65,0.68,0.74,2025-03-13,0406,N20,nominal,2.0NRT,297.32,7.29,D
8.47236,124.91026,343.75,0.7,0.75,2025-03-13,0406,N20,nominal,2.0NRT,299.06,13.48,D
8.48928,124.96106,330.21,0.69,0.74,2025-03-13,0406,N20,nominal,2.0NRT,296.72,3.71,D
9.90688,124.40068,325.58,0.71,0.75,2025-03-13,0406,N20,nominal,2.0NRT,293.77,6.24,D
17.01431,121.55679,325.58,0.79,0.78,2025-03-13,0408,N20,nominal,2.0NRT,290.66,3.43,D
25.5481,119.41656,340.09,0.69,0.74,2025-03-13,0412,N20,nominal,2.0NRT,286.65,7.25,D
25.5547,119.41449,337.96,0.69,0.74,2025-03-13,0412,N20,nominal,2.0NRT,286.51,7.25,D
-7.98085,142.81847,330.46,0.39,0.36,2025-03-13,0402,N20,nominal,2.0NRT,287.47,1.88,D
-6.99455,146.9662,332.62,0.41,0.45,2025-03-13,0402,N20,nominal,2.0NRT,289.48,3.17,D
-6.99669,146.96477,330.71,0.41,0.45,2025-03-13,0402,N20,nominal,2.0NRT,289.58,3.42,D
-6.95745,146.64142,330.21,0.4,0.44,2025-03-13,0402,N20,nominal,2.0NRT,294.42,2.46,D
-6.67072,146.81337,352.32,0.41,0.45,2025-03-13,0402,N20,nominal,2.0NRT,295.27,17.75,D
-6.65603,146.47098,346.71,0.39,0.44,2025-03-13,0402,N20,nominal,2.0NRT,293.93,6.9,D
-6.65201,146.47032,346.19,0.39,0.44,2025-03-13,0402,N20,nominal,2.0NRT,296.35,9.86,D
-6.5231,146.38567,329.93,0.39,0.44,2025-03-13,0402,N20,low,2.0NRT,300.52,2.68,D
-6.45513,146.29979,341.57,0.38,0.43,2025-03-13,0402,N20,nominal,2.0NRT,294.27,6.37,D
-5.56691,146.21553,339.78,0.39,0.44,2025-03-13,0402,N20,nominal,2.0NRT,291.17,4.88,D
-4.317,143.68361,332.78,0.44,0.39,2025-03-13,0402,N20,nominal,2.0NRT,293.68,2.5,D
-3.70812,143.06784,331.93,0.42,0.38,2025-03-13,0402,N20,nominal,2.0NRT,280.27,3.24,D
-3.70971,143.06793,332.43,0.42,0.38,2025-03-13,0402,N20,nominal,2.0NRT,280.57,3.08,D
-3.78204,141.74387,333.2,0.39,0.36,2025-03-13,0402,N20,nominal,2.0NRT,285.32,2.72,D
-3.30515,141.17711,330.76,0.39,0.36,2025-03-13,0402,N20,nominal,2.0NRT,289.48,2.19,D
0.48208,128.00574,326.82,0.58,0.7,2025-03-13,0404,N20,nominal,2.0NRT,287.51,16.47,D
0.48038,127.99468,329.7,0.58,0.7,2025-03-13,0404,N20,nominal,2.0NRT,287.46,12.04,D
0.48179,127.99212,333.58,0.58,0.7,2025-03-13,0404,N20,nominal,2.0NRT,287.3,18.89,D
-7.97011,110.51406,333.46,0.44,0.46,2025-03-13,0544,N20,nominal,2.0NRT,293.67,3.29,D
-7.55498,110.89,333.49,0.41,0.45,2025-03-13,0544,N20,nominal,2.0NRT,297.34,6.39,D
-7.70593,108.995,336.67,0.56,0.51,2025-03-13,0544,N20,nominal,2.0NRT,294.58,3.76,D
-7.39039,111.08454,336.2,0.4,0.44,2025-03-13,0544,N20,nominal,2.0NRT,295.59,4.22,D
-2.01004,121.41978,339.41,0.48,0.48,2025-03-13,0544,N20,nominal,2.0NRT,292.37,8.72,D
-1.73407,120.60215,338.85,0.43,0.46,2025-03-13,0544,N20,nominal,2.0NRT,293.06,3.41,D
-1.68033,120.63916,343.11,0.43,0.46,2025-03-13,0544,N20,nominal,2.0NRT,295.62,5.71,D
-1.53355,120.33965,331.09,0.42,0.45,2025-03-13,0544,N20,nominal,2.0NRT,294.94,3.15,D
-0.81533,115.71967,332.16,0.39,0.36,2025-03-13,0544,N20,nominal,2.0NRT,293.51,2.75,D
-2.06306,106.08231,334.41,0.37,0.58,2025-03-13,0544,N20,nominal,2.0NRT,289.09,2.33,D
-2.06431,106.08157,335.54,0.37,0.58,2025-03-13,0544,N20,nominal,2.0NRT,289.13,2.77,D
1.44455,117.80403,332.18,0.48,0.4,2025-03-13,0546,N20,nominal,2.0NRT,289.28,2.75,D
0.78277,112.48342,336.07,0.41,0.37,2025-03-13,0546,N20,nominal,2.0NRT,294.36,31.92,D
3.15205,117.17762,333.9,0.47,0.4,2025-03-13,0546,N20,nominal,2.0NRT,295.84,3.09,D
3.15569,117.17712,333.48,0.47,0.4,2025-03-13,0546,N20,nominal,2.0NRT,295.79,3.09,D
3.5225,113.31245,334.24,0.39,0.36,2025-03-13,0546,N20,low,2.0NRT,302.29,8.13,D
6.29284,125.36635,335.48,0.6,0.7,2025-03-13,0546,N20,nominal,2.0NRT,291.07,1.92,D
4.70054,113.94221,332.49,0.39,0.36,2025-03-13,0546,N20,nominal,2.0NRT,295.8,2.96,D
6.52357,125.06033,341.17,0.58,0.69,2025-03-13,0546,N20,nominal,2.0NRT,291.86,6.79,D
6.66944,125.06696,337.4,0.58,0.7,2025-03-13,0546,N20,nominal,2.0NRT,293.82,5.37,D
5.64197,116.38322,330.63,0.46,0.39,2025-03-13,0546,N20,nominal,2.0NRT,293.59,1.86,D
5.42738,114.71166,330.38,0.4,0.37,2025-03-13,0546,N20,nominal,2.0NRT,295.78,2.7,D
6.82352,124.31306,332.01,0.52,0.67,2025-03-13,0546,N20,nominal,2.0NRT,290.95,5.23,D
7.08923,124.3375,346.71,0.52,0.67,2025-03-13,0546,N20,nominal,2.0NRT,293.55,6.34,D
7.08106,124.27654,342.37,0.52,0.67,2025-03-13,0546,N20,nominal,2.0NRT,293.92,5.09,D
5.87701,114.29745,332.39,0.39,0.36,2025-03-13,0546,N20,nominal,2.0NRT,294.42,3.67,D
7.44058,125.08986,338.13,0.59,0.7,2025-03-13,0546,N20,nominal,2.0NRT,294.6,6.85,D
7.57603,125.51749,329.93,0.64,0.72,2025-03-13,0546,N20,nominal,2.0NRT,293.44,4.69,D
7.5636,125.32037,337.87,0.62,0.71,2025-03-13,0546,N20,nominal,2.0NRT,293.47,7.38,D
7.6199,125.59247,340.71,0.65,0.73,2025-03-13,0546,N20,nominal,2.0NRT,292.25,6.09,D
7.56179,125.31673,340.11,0.62,0.71,2025-03-13,0546,N20,nominal,2.0NRT,293.34,7,D
7.62362,125.59415,349.06,0.65,0.73,2025-03-13,0546,N20,nominal,2.0NRT,292.04,13.11,D
7.69448,125.35693,334.43,0.63,0.72,2025-03-13,0546,N20,nominal,2.0NRT,292.89,4.58,D
6.34505,115.66066,332.56,0.43,0.38,2025-03-13,0546,N20,nominal,2.0NRT,294.59,3.61,D
7.69856,125.35204,349.32,0.63,0.72,2025-03-13,0546,N20,nominal,2.0NRT,292.77,9.03,D
7.29349,122.22865,332.67,0.38,0.59,2025-03-13,0546,N20,nominal,2.0NRT,298.4,2.84,D
7.66178,124.80549,330.02,0.57,0.69,2025-03-13,0546,N20,nominal,2.0NRT,296.29,2.91,D
6.63989,116.15043,333.57,0.46,0.39,2025-03-13,0546,N20,nominal,2.0NRT,294.26,6.07,D
7.88069,125.3346,334.14,0.63,0.72,2025-03-13,0546,N20,nominal,2.0NRT,293.6,4.47,D
7.67948,122.90182,336.71,0.42,0.61,2025-03-13,0546,N20,nominal,2.0NRT,296.54,5.09,D
7.94564,124.64195,339.36,0.57,0.69,2025-03-13,0546,N20,nominal,2.0NRT,297.23,6.31,D
8.31225,125.08495,343.08,0.61,0.71,2025-03-13,0546,N20,nominal,2.0NRT,298.2,9.17,D
8.3115,125.07895,329.17,0.61,0.71,2025-03-13,0546,N20,low,2.0NRT,299.71,11.38,D
8.30392,125.01828,329.2,0.61,0.71,2025-03-13,0546,N20,low,2.0NRT,300.15,6,D
8.06082,123.11081,330.95,0.45,0.63,2025-03-13,0546,N20,nominal,2.0NRT,294.27,2.32,D
8.07498,123.03976,332.45,0.44,0.62,2025-03-13,0546,N20,nominal,2.0NRT,293.89,4.38,D
20.49663,97.33932,367,0.56,0.69,2025-03-13,0553,N20,high,2.0NRT,302.14,12.46,D
8.45018,124.91909,327.85,0.6,0.7,2025-03-13,0546,N20,nominal,2.0NRT,298.82,5.85,D
9.13218,104.85052,348.19,0.59,0.53,2025-03-13,0548,N20,nominal,2.0NRT,296.09,10.11,D
8.44952,124.91392,332.83,0.6,0.7,2025-03-13,0546,N20,nominal,2.0NRT,299.93,4.68,D
9.48903,105.60484,335.41,0.51,0.5,2025-03-13,0548,N20,nominal,2.0NRT,299.38,8.8,D
9.57565,105.69383,355.15,0.5,0.49,2025-03-13,0548,N20,nominal,2.0NRT,298.59,14.63,D
8.46661,124.99561,343.9,0.61,0.71,2025-03-13,0546,N20,nominal,2.0NRT,300.27,7.59,D
9.5934,105.58221,341.21,0.51,0.5,2025-03-13,0548,N20,nominal,2.0NRT,292.37,2.89,D
9.61854,105.62046,337.24,0.51,0.49,2025-03-13,0548,N20,nominal,2.0NRT,297.44,4.32,D
8.46178,124.90658,367,0.6,0.7,2025-03-13,0546,N20,high,2.0NRT,299.68,15.27,D
9.62009,105.52017,334.13,0.52,0.5,2025-03-13,0548,N20,nominal,2.0NRT,298.35,8.84,D
8.46826,124.90564,346.09,0.6,0.7,2025-03-13,0546,N20,nominal,2.0NRT,305.36,15.27,D
9.63062,105.5732,331.27,0.51,0.5,2025-03-13,0548,N20,nominal,2.0NRT,296.55,4.12,D
9.62571,105.5455,331.75,0.51,0.5,2025-03-13,0548,N20,nominal,2.0NRT,296.36,6.23,D
8.4676,124.90053,352.81,0.6,0.7,2025-03-13,0546,N20,nominal,2.0NRT,302.56,20.34,D
9.62159,105.5223,343.09,0.52,0.5,2025-03-13,0548,N20,nominal,2.0NRT,298.73,9.06,D
9.64416,105.57082,335.3,0.51,0.5,2025-03-13,0548,N20,nominal,2.0NRT,297.39,10.42,D
8.47546,124.91021,344.63,0.6,0.7,2025-03-13,0546,N20,nominal,2.0NRT,303,9.6,D
9.6827,105.65843,340.16,0.51,0.49,2025-03-13,0548,N20,nominal,2.0NRT,296.41,6.56,D
8.47476,124.90482,353.97,0.6,0.7,2025-03-13,0546,N20,nominal,2.0NRT,305.97,9.6,D
9.73696,105.59708,333.91,0.51,0.49,2025-03-13,0548,N20,nominal,2.0NRT,297.02,9.48,D
8.47414,124.89998,336.63,0.6,0.7,2025-03-13,0546,N20,nominal,2.0NRT,303,8.15,D
9.73618,105.5925,344.56,0.51,0.49,2025-03-13,0548,N20,nominal,2.0NRT,299.04,21.39,D
9.74146,105.59629,340.61,0.51,0.49,2025-03-13,0548,N20,nominal,2.0NRT,297.45,9.48,D
8.44966,124.91596,346.82,0.6,0.7,2025-03-13,0546,N20,nominal,2.0NRT,300.68,6.06,D
