latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
8.05172,-66.67177,327.73,0.45,0.39,2025-03-13,0544,N21,nominal,2.0NRT,295.03,2.41,N
18.39702,-66.83156,303.09,0.41,0.45,2025-03-13,0542,N21,nominal,2.0NRT,290.42,0.45,N
17.7005,-64.74792,311.42,0.46,0.39,2025-03-13,0542,N21,nominal,2.0NRT,294.82,2.49,N
17.85999,-71.30834,300.2,0.4,0.6,2025-03-13,0542,N21,nominal,2.0NRT,289.04,0.7,N
17.8591,-71.30831,302.24,0.4,0.6,2025-03-13,0542,N21,nominal,2.0NRT,289.18,0.94,N
11.74996,-70.17042,308.27,0.55,0.51,2025-03-13,0544,N21,nominal,2.0NRT,292.97,1.95,N
11.73912,-70.19751,338.03,0.55,0.51,2025-03-13,0544,N21,nominal,2.0NRT,293.99,7.84,N
11.73847,-70.1924,305.88,0.55,0.51,2025-03-13,0544,N21,nominal,2.0NRT,293.39,7.84,N
10.87826,-64.03152,307.18,0.39,0.36,2025-03-13,0544,N21,nominal,2.0NRT,294.7,1.95,N
11.74099,-70.19444,332.91,0.55,0.51,2025-03-13,0544,N21,nominal,2.0NRT,293.89,4.93,N
11.7363,-70.19511,338.53,0.55,0.51,2025-03-13,0544,N21,nominal,2.0NRT,293.33,4.93,N
10.41704,-61.48558,308.66,0.41,0.37,2025-03-13,0544,N21,nominal,2.0NRT,294.09,0.95,N
11.63233,-70.23982,337.62,0.56,0.51,2025-03-13,0544,N21,nominal,2.0NRT,291.92,9.86,N
11.63168,-70.23469,332.57,0.55,0.51,2025-03-13,0544,N21,nominal,2.0NRT,291.16,9.86,N
11.63433,-70.2375,341.99,0.55,0.51,2025-03-13,0544,N21,nominal,2.0NRT,291.63,10.9,N
11.6229,-70.22353,304.27,0.55,0.51,2025-03-13,0544,N21,nominal,2.0NRT,287.46,2.2,N
10.19423,-61.56327,302.47,0.4,0.37,2025-03-13,0544,N21,nominal,2.0NRT,292.07,0.57,N
11.37824,-69.68581,305.84,0.51,0.49,2025-03-13,0544,N21,nominal,2.0NRT,292.85,1.16,N
10.18117,-61.69621,329.05,0.4,0.37,2025-03-13,0544,N21,nominal,2.0NRT,295.55,2.63,N
10.18058,-61.69258,312.71,0.4,0.37,2025-03-13,0544,N21,nominal,2.0NRT,295.12,2.63,N
10.17722,-61.69315,316.07,0.4,0.37,2025-03-13,0544,N21,nominal,2.0NRT,294.95,2.63,N
10.3809,-63.36644,300.57,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,289.25,1,N
10.37869,-63.37392,319.36,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,290.14,2.15,N
10.37707,-63.36349,305.71,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,290.38,0.91,N
10.43481,-64.08975,317.55,0.39,0.36,2025-03-13,0544,N21,nominal,2.0NRT,294.89,1.97,N
10.33748,-64.29776,307.73,0.39,0.36,2025-03-13,0544,N21,nominal,2.0NRT,293.82,0.8,N
10.28539,-64.06955,302.65,0.39,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.75,0.31,N
10.28206,-64.07003,309.72,0.39,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.08,0.67,N
10.27874,-64.07051,306.02,0.39,0.36,2025-03-13,0544,N21,nominal,2.0NRT,293,0.67,N
10.25126,-64.17953,332.7,0.39,0.36,2025-03-13,0544,N21,nominal,2.0NRT,293.29,2.87,N
10.21207,-64.61522,333.27,0.4,0.37,2025-03-13,0544,N21,nominal,2.0NRT,296.87,7.61,N
10.01399,-63.36815,308.29,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.55,1.43,N
9.97817,-63.18185,332.93,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.99,3.32,N
10.45721,-67.00192,306.25,0.5,0.41,2025-03-13,0544,N21,nominal,2.0NRT,289.22,1.6,N
10.42028,-66.95601,305.73,0.5,0.41,2025-03-13,0544,N21,nominal,2.0NRT,289.14,1.35,N
9.87187,-63.31307,309.49,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.82,0.59,N
10.42175,-66.95405,305.69,0.5,0.41,2025-03-13,0544,N21,nominal,2.0NRT,289.02,1.01,N
9.85591,-63.34048,310.78,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.35,1.15,N
9.85537,-63.33701,311.53,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.3,1.17,N
10.07968,-64.8592,328.65,0.4,0.37,2025-03-13,0544,N21,nominal,2.0NRT,294.19,4.35,N
10.08191,-64.87387,305.45,0.41,0.37,2025-03-13,0544,N21,nominal,2.0NRT,293.66,0.94,N
10.0763,-64.85972,334.57,0.4,0.37,2025-03-13,0544,N21,nominal,2.0NRT,295.35,2.6,N
10.08131,-64.89273,319.37,0.41,0.37,2025-03-13,0544,N21,nominal,2.0NRT,294.12,2.8,N
10.07686,-64.86337,317.5,0.4,0.37,2025-03-13,0544,N21,nominal,2.0NRT,294.16,1.57,N
10.07575,-64.85605,307.27,0.4,0.37,2025-03-13,0544,N21,nominal,2.0NRT,294.03,2.6,N
10.07793,-64.89323,326.59,0.41,0.37,2025-03-13,0544,N21,nominal,2.0NRT,294.49,2.8,N
10.07455,-64.89375,333.62,0.41,0.37,2025-03-13,0544,N21,nominal,2.0NRT,295.1,3.29,N
10.07399,-64.89008,320.49,0.41,0.37,2025-03-13,0544,N21,nominal,2.0NRT,294.54,2.33,N
10.0751,-64.89742,312.63,0.41,0.37,2025-03-13,0544,N21,nominal,2.0NRT,293.76,3.29,N
11.13624,-72.57182,304.7,0.4,0.6,2025-03-13,0544,N21,nominal,2.0NRT,293.22,2.35,N
9.83233,-63.34065,319.28,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.54,1.45,N
11.13121,-72.57606,308.78,0.4,0.6,2025-03-13,0544,N21,nominal,2.0NRT,293.4,4.56,N
11.12664,-72.58391,312.21,0.4,0.6,2025-03-13,0544,N21,nominal,2.0NRT,293.04,3.25,N
10.06051,-64.86956,317.3,0.41,0.37,2025-03-13,0544,N21,nominal,2.0NRT,294.8,2.18,N
10.05936,-64.88477,330.52,0.41,0.37,2025-03-13,0544,N21,nominal,2.0NRT,294.9,1.72,N
10.05713,-64.87003,324.26,0.41,0.37,2025-03-13,0544,N21,nominal,2.0NRT,294.77,2.7,N
10.05657,-64.86637,324.32,0.4,0.37,2025-03-13,0544,N21,nominal,2.0NRT,295.15,2.7,N
10.05602,-64.86272,329.82,0.4,0.37,2025-03-13,0544,N21,nominal,2.0NRT,295.49,4.51,N
10.05492,-64.85542,327.53,0.4,0.37,2025-03-13,0544,N21,nominal,2.0NRT,295.49,2.21,N
11.12071,-72.58093,313.98,0.4,0.6,2025-03-13,0544,N21,nominal,2.0NRT,293.11,3.71,N
10.05597,-64.88528,310.78,0.41,0.37,2025-03-13,0544,N21,nominal,2.0NRT,294.88,1.72,N
10.39532,-67.24721,300.99,0.52,0.41,2025-03-13,0544,N21,nominal,2.0NRT,288.71,1.02,N
10.29144,-66.6793,302.46,0.48,0.4,2025-03-13,0544,N21,nominal,2.0NRT,291.82,0.48,N
10.28841,-66.6842,303.13,0.48,0.4,2025-03-13,0544,N21,nominal,2.0NRT,292.07,0.39,N
9.77708,-63.26768,301.1,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,284.24,0.59,N
9.77325,-63.26474,305.39,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.2,0.54,N
10.3306,-67.28297,334.56,0.52,0.41,2025-03-13,0544,N21,nominal,2.0NRT,290.58,4.29,N
10.32986,-67.27789,324.14,0.52,0.41,2025-03-13,0544,N21,nominal,2.0NRT,288.7,4.29,N
10.32609,-67.27854,328.45,0.52,0.41,2025-03-13,0544,N21,nominal,2.0NRT,288.95,4.25,N
9.74387,-63.42923,323.06,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.56,2.19,N
10.865,-71.21346,305.77,0.63,0.54,2025-03-13,0544,N21,nominal,2.0NRT,292.04,3.12,N
9.74058,-63.42975,332.73,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.31,4.04,N
11.03395,-72.65333,308.65,0.4,0.6,2025-03-13,0544,N21,nominal,2.0NRT,292.56,1.29,N
11.02978,-72.6646,306.47,0.4,0.6,2025-03-13,0544,N21,nominal,2.0NRT,292.55,1.59,N
9.73718,-63.47294,306.29,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,290.58,0.81,N
9.72844,-63.46011,303.31,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.62,0.65,N
9.7227,-63.55341,331.75,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.78,6.4,N
9.71941,-63.55393,344.52,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.86,3.76,N
9.71887,-63.55045,328.65,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.87,3.29,N
9.71995,-63.5574,303.76,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.87,3.76,N
9.63046,-63.00649,313.26,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,289.97,1.15,N
9.62772,-63.01048,308.71,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,290.21,1.01,N
9.70192,-63.52824,333.36,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,293.96,6.71,N
9.7357,-63.79001,317.37,0.39,0.36,2025-03-13,0544,N21,nominal,2.0NRT,290.86,1.91,N
9.67448,-63.44437,308.94,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.7,1.03,N
9.67383,-63.48354,312.73,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,293.13,0.91,N
9.54972,-62.77739,301.54,0.39,0.36,2025-03-13,0544,N21,nominal,2.0NRT,278.7,0.53,N
9.6578,-63.53228,306.18,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,290.64,0.55,N
9.65726,-63.52881,304.12,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,290.1,0.55,N
10.30682,-67.89767,332.72,0.56,0.43,2025-03-13,0544,N21,nominal,2.0NRT,293.09,5.97,N
9.65505,-63.53627,330.46,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,293.23,3.06,N
9.65451,-63.5328,346.31,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,298.39,9.88,N
10.21145,-67.23492,312.91,0.51,0.41,2025-03-13,0544,N21,nominal,2.0NRT,289.76,1.84,N
9.65397,-63.52933,312.52,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,294.97,9.88,N
9.65343,-63.52586,306.68,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.47,1.23,N
9.65122,-63.53332,324.99,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,293.23,9.88,N
9.65068,-63.52985,330.24,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.32,9.88,N
9.65176,-63.53679,317.01,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,293.16,3.06,N
9.65014,-63.52639,317.56,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.68,1.23,N
9.64684,-63.52691,335.33,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.87,4.2,N
9.65278,-63.56506,305.21,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.38,1.63,N
9.65224,-63.56159,312.73,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.44,2.21,N
9.6517,-63.55812,309.01,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.12,2.21,N
9.65116,-63.55465,305.5,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.39,0.98,N
9.66783,-63.68367,326.49,0.39,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.51,2.1,N
9.64949,-63.56558,334.11,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.15,1.63,N
9.64895,-63.56211,341.51,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,290.96,2.21,N
9.64841,-63.55864,334.6,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,290.97,2.21,N
9.65003,-63.56905,313.52,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.27,1.63,N
9.64787,-63.55516,317.99,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291,0.98,N
9.64733,-63.5517,305.37,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.23,0.98,N
9.64727,-63.57304,326.43,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,294.37,18.12,N
9.64673,-63.56957,335.81,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,293.58,7.35,N
9.64619,-63.5661,342.41,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.22,7.35,N
9.64565,-63.56263,352.75,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.67,62.01,N
9.64511,-63.55917,353.66,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.31,62.01,N
9.64457,-63.55569,336.57,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.24,2.06,N
9.65537,-63.62513,305.17,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.98,5.5,N
9.64404,-63.55222,309.58,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,291.26,2.06,N
9.65261,-63.62911,341.3,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,293.93,11.03,N
9.65207,-63.62564,324.02,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,292.5,5.5,N
9.65153,-63.62217,339.63,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,295.85,5.5,N
9.6456,-63.58398,328.51,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,293.71,3.39,N
9.64344,-63.5701,337.03,0.38,0.36,2025-03-13,0544,N21,nominal,2.0NRT,297.48,7.35,N
