latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
1.42715,16.17547,303.87,0.41,0.45,2025-03-13,0041,N21,nominal,2.0NRT,287.05,0.68,N
1.39788,16.33205,310,0.42,0.45,2025-03-13,0041,N21,nominal,2.0NRT,286.37,1.04,N
0.78104,18.09133,305.79,0.56,0.51,2025-03-13,0041,N21,nominal,2.0NRT,290.91,0.58,N
0.78378,18.0905,302.62,0.56,0.51,2025-03-13,0041,N21,nominal,2.0NRT,290.53,1.21,N
0.74301,18.013,304.26,0.55,0.51,2025-03-13,0041,N21,nominal,2.0NRT,290.73,2.48,N
0.60096,12.73529,303.75,0.42,0.37,2025-03-13,0041,N21,nominal,2.0NRT,278.11,0.65,N
0.53446,11.46099,304.35,0.39,0.36,2025-03-13,0041,N21,nominal,2.0NRT,285.03,1.07,N
-0.03211,13.67938,300.36,0.46,0.39,2025-03-13,0041,N21,nominal,2.0NRT,285.42,0.54,N
-0.34829,15.68491,311.31,0.4,0.44,2025-03-13,0041,N21,nominal,2.0NRT,287.9,1.22,N
-0.35235,15.68429,310.26,0.4,0.44,2025-03-13,0041,N21,nominal,2.0NRT,287.94,1.22,N
0.22967,11.92825,319.98,0.4,0.37,2025-03-13,0041,N21,nominal,2.0NRT,283.76,1.63,N
0.22632,11.92773,320.16,0.4,0.37,2025-03-13,0041,N21,nominal,2.0NRT,282.41,1.63,N
0.21753,11.87945,301.81,0.4,0.37,2025-03-13,0041,N21,nominal,2.0NRT,280.1,0.72,N
-0.45189,15.78713,313.78,0.41,0.45,2025-03-13,0041,N21,nominal,2.0NRT,289.88,1.66,N
-0.49409,15.49343,313.78,0.39,0.44,2025-03-13,0041,N21,nominal,2.0NRT,289.08,1.09,N
-0.67612,16.05433,344.52,0.43,0.46,2025-03-13,0041,N21,nominal,2.0NRT,289.55,7.85,N
-0.71724,16.09881,301.59,0.43,0.46,2025-03-13,0041,N21,nominal,2.0NRT,287.43,0.27,N
-0.62688,15.30964,301.49,0.38,0.43,2025-03-13,0041,N21,nominal,2.0NRT,278.06,0.68,N
-0.74031,15.8758,304.82,0.42,0.45,2025-03-13,0041,N21,nominal,2.0NRT,288.19,1.44,N
-0.3741,11.85354,304.67,0.4,0.37,2025-03-13,0041,N21,nominal,2.0NRT,278.19,0.76,N
-0.56236,11.70877,310.94,0.4,0.37,2025-03-13,0041,N21,nominal,2.0NRT,273.87,1.22,N
-0.77442,11.91605,306.09,0.4,0.37,2025-03-13,0041,N21,nominal,2.0NRT,273.79,1.37,N
-0.77778,11.91554,319.67,0.4,0.37,2025-03-13,0041,N21,nominal,2.0NRT,274.28,1.37,N
-1.90597,15.67966,328.49,0.42,0.45,2025-03-13,0041,N21,nominal,2.0NRT,289.61,4.18,N
-1.98336,16.07918,350.27,0.45,0.47,2025-03-13,0041,N21,nominal,2.0NRT,291.07,10.31,N
-1.08929,10.24631,297.81,0.38,0.36,2025-03-13,0041,N21,nominal,2.0NRT,273.73,0.32,N
-1.58789,9.97512,302.74,0.38,0.36,2025-03-13,0043,N21,nominal,2.0NRT,264.83,0.58,N
-3.4112,20.52834,301.57,0.48,0.65,2025-03-13,0043,N21,nominal,2.0NRT,287.52,0.68,N
-2.86951,15.0811,326.29,0.4,0.44,2025-03-13,0043,N21,nominal,2.0NRT,288.42,3.41,N
-3.13909,16.80331,318.78,0.52,0.5,2025-03-13,0043,N21,nominal,2.0NRT,287.35,1.55,N
-3.14365,16.80257,301.14,0.52,0.5,2025-03-13,0043,N21,nominal,2.0NRT,287.19,1.55,N
-3.13988,16.8052,320.39,0.52,0.5,2025-03-13,0043,N21,nominal,2.0NRT,287.32,4.19,N
-3.24454,15.07876,304.08,0.4,0.44,2025-03-13,0043,N21,nominal,2.0NRT,288.71,1.13,N
-4.85919,12.01882,329.74,0.43,0.38,2025-03-13,0043,N21,nominal,2.0NRT,272.25,3.72,N
-4.86268,12.01827,296.86,0.43,0.38,2025-03-13,0043,N21,nominal,2.0NRT,271.43,0.96,N
-4.86327,12.02213,311.87,0.43,0.38,2025-03-13,0043,N21,nominal,2.0NRT,270.8,1.74,N
-4.86386,12.02602,319.4,0.43,0.38,2025-03-13,0043,N21,nominal,2.0NRT,269.92,1.74,N
-4.88968,11.91559,295.51,0.43,0.38,2025-03-13,0043,N21,nominal,2.0NRT,264.19,0.83,N
-4.93196,12.0885,321.12,0.44,0.38,2025-03-13,0043,N21,nominal,2.0NRT,263.82,6.21,N
-4.93255,12.09243,305.24,0.44,0.38,2025-03-13,0043,N21,nominal,2.0NRT,257.96,2.77,N
-4.93546,12.08797,334.5,0.44,0.38,2025-03-13,0043,N21,nominal,2.0NRT,263.97,6.21,N
-4.93606,12.09191,316.01,0.44,0.38,2025-03-13,0043,N21,nominal,2.0NRT,259.4,2.77,N
-6.16183,11.27201,312.38,0.42,0.37,2025-03-13,0043,N21,nominal,2.0NRT,286.08,1.65,N
-6.14261,11.03232,334.9,0.41,0.37,2025-03-13,0043,N21,nominal,2.0NRT,291.11,9.47,N
