latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
55.256,38.74113,297.22,0.47,0.48,2025-03-13,0026,N21,nominal,2.0NRT,277.57,1.38,N
55.1062,33.26734,297.46,0.47,0.4,2025-03-13,0026,N21,nominal,2.0NRT,272.49,1.07,N
55.50387,28.585,300.42,0.39,0.36,2025-03-13,0026,N21,nominal,2.0NRT,272.1,0.64,N
54.21207,34.3813,312.52,0.53,0.42,2025-03-13,0026,N21,nominal,2.0NRT,275.84,2.32,N
52.56264,39.70159,295.26,0.62,0.54,2025-03-13,0026,N21,nominal,2.0NRT,279.46,2.42,N
52.55683,39.61707,295.26,0.62,0.54,2025-03-13,0026,N21,nominal,2.0NRT,277.89,2.28,N
52.55738,39.57713,343.32,0.61,0.54,2025-03-13,0026,N21,nominal,2.0NRT,280.18,6.29,N
52.5597,39.56906,304.44,0.61,0.54,2025-03-13,0026,N21,nominal,2.0NRT,278.1,8.34,N
52.55505,39.58524,297.42,0.61,0.54,2025-03-13,0026,N21,nominal,2.0NRT,276.18,6.29,N
52.55295,39.57354,316.62,0.61,0.54,2025-03-13,0026,N21,nominal,2.0NRT,277.29,6.29,N
50.61274,41.45664,298.68,0.42,0.61,2025-03-13,0028,N21,nominal,2.0NRT,276.57,0.88,N
52.84631,29.99066,339,0.43,0.38,2025-03-13,0028,N21,nominal,2.0NRT,273.49,8.88,N
50.44602,39.13809,321.77,0.35,0.56,2025-03-13,0028,N21,nominal,2.0NRT,273.13,2.19,N
50.14817,39.68328,298.9,0.37,0.58,2025-03-13,0028,N21,nominal,2.0NRT,280.26,0.93,N
49.82238,40.67696,297.3,0.42,0.61,2025-03-13,0028,N21,nominal,2.0NRT,275.51,0.76,N
51.1946,35.26564,331.76,0.46,0.47,2025-03-13,0028,N21,nominal,2.0NRT,276.41,4.04,N
49.94502,39.51663,314.96,0.37,0.58,2025-03-13,0028,N21,nominal,2.0NRT,277.24,2.01,N
51.09032,35.26966,297.82,0.46,0.47,2025-03-13,0028,N21,nominal,2.0NRT,273.92,2.03,N
51.08873,35.27591,312.44,0.46,0.47,2025-03-13,0028,N21,nominal,2.0NRT,274.33,2.03,N
51.0919,35.27187,317.66,0.46,0.47,2025-03-13,0028,N21,nominal,2.0NRT,275.46,2.27,N
49.89178,39.51865,299.82,0.37,0.58,2025-03-13,0028,N21,nominal,2.0NRT,275.82,1.1,N
49.32898,40.26416,317.35,0.42,0.61,2025-03-13,0028,N21,nominal,2.0NRT,269.17,2.02,N
49.32928,40.26524,312.79,0.42,0.61,2025-03-13,0028,N21,nominal,2.0NRT,268.51,1.36,N
49.32429,40.26122,297.91,0.42,0.61,2025-03-13,0028,N21,nominal,2.0NRT,267.57,1.36,N
51.89227,29.34075,327.74,0.43,0.38,2025-03-13,0028,N21,nominal,2.0NRT,271.69,2.76,N
51.88894,29.33909,306.07,0.43,0.38,2025-03-13,0028,N21,nominal,2.0NRT,268.75,2.76,N
49.28812,38.92495,367,0.37,0.58,2025-03-13,0028,N21,high,2.0NRT,272.76,7.89,N
50.29309,34.8694,326.33,0.47,0.48,2025-03-13,0028,N21,nominal,2.0NRT,263.43,2.57,N
49.17736,38.58845,298.33,0.36,0.57,2025-03-13,0028,N21,nominal,2.0NRT,268,0.87,N
49.51471,36.87193,301.31,0.6,0.53,2025-03-13,0028,N21,nominal,2.0NRT,269.78,1.64,N
49.50784,36.85846,318.96,0.6,0.53,2025-03-13,0028,N21,nominal,2.0NRT,270.56,4.04,N
49.51429,36.87531,304.06,0.6,0.53,2025-03-13,0028,N21,nominal,2.0NRT,269.19,1.26,N
49.50948,36.85412,301.95,0.6,0.53,2025-03-13,0028,N21,nominal,2.0NRT,270.89,2.59,N
49.5074,36.86177,305.42,0.6,0.53,2025-03-13,0028,N21,nominal,2.0NRT,270.24,2.59,N
47.47184,40.8548,299.84,0.51,0.66,2025-03-13,0028,N21,nominal,2.0NRT,256.44,1.11,N
48.05614,37.95493,301.08,0.37,0.58,2025-03-13,0028,N21,nominal,2.0NRT,278.67,0.88,N
47.09402,40.8447,296.35,0.53,0.67,2025-03-13,0028,N21,nominal,2.0NRT,270.83,1.07,N
47.83142,38.47667,297.24,0.39,0.6,2025-03-13,0028,N21,nominal,2.0NRT,277.41,1.6,N
47.13247,40.58223,367,0.51,0.66,2025-03-13,0028,N21,high,2.0NRT,274,17.87,N
47.13048,40.58829,327.71,0.51,0.66,2025-03-13,0028,N21,nominal,2.0NRT,268.67,17.87,N
47.13446,40.57615,306.71,0.51,0.66,2025-03-13,0028,N21,nominal,2.0NRT,270.36,14.16,N
47.11008,40.58844,304.32,0.51,0.66,2025-03-13,0028,N21,nominal,2.0NRT,269.06,1.83,N
47.10751,40.58897,301.09,0.51,0.66,2025-03-13,0028,N21,nominal,2.0NRT,268.61,1.27,N
50.54234,26.26108,299.8,0.39,0.36,2025-03-13,0028,N21,nominal,2.0NRT,271.31,0.93,N
46.66769,40.52042,312.24,0.53,0.67,2025-03-13,0028,N21,nominal,2.0NRT,276.74,2.03,N
46.66607,40.52182,310.69,0.53,0.67,2025-03-13,0028,N21,nominal,2.0NRT,277,1.86,N
46.37745,40.85293,298.76,0.56,0.69,2025-03-13,0028,N21,nominal,2.0NRT,272.55,1.99,N
46.63747,40.03731,326.85,0.5,0.66,2025-03-13,0028,N21,nominal,2.0NRT,274.7,12.06,N
46.63555,40.04326,353.4,0.5,0.66,2025-03-13,0028,N21,nominal,2.0NRT,277.14,14.19,N
46.57296,40.15344,326.09,0.51,0.66,2025-03-13,0028,N21,nominal,2.0NRT,275.57,6.62,N
47.86633,35.16095,310.49,0.56,0.52,2025-03-13,0028,N21,nominal,2.0NRT,267.07,4.35,N
46.59774,39.42693,330.02,0.47,0.64,2025-03-13,0028,N21,nominal,2.0NRT,274.56,4.22,N
46.61901,39.33885,301.28,0.47,0.64,2025-03-13,0028,N21,nominal,2.0NRT,267.46,1.1,N
46.60297,39.34847,323.92,0.47,0.64,2025-03-13,0028,N21,nominal,2.0NRT,272.04,3.24,N
46.6012,39.3541,305.34,0.47,0.64,2025-03-13,0028,N21,nominal,2.0NRT,271.23,3.24,N
46.47051,39.68178,306.3,0.49,0.65,2025-03-13,0028,N21,nominal,2.0NRT,275.32,3.25,N
46.31396,40.14352,300.86,0.52,0.67,2025-03-13,0028,N21,nominal,2.0NRT,267.74,1.62,N
46.30635,40.14597,322.02,0.52,0.67,2025-03-13,0028,N21,nominal,2.0NRT,268.82,3.86,N
46.46768,39.6773,321.65,0.49,0.65,2025-03-13,0028,N21,nominal,2.0NRT,276.02,3.2,N
46.31134,40.14692,327.7,0.52,0.67,2025-03-13,0028,N21,nominal,2.0NRT,268.22,6.73,N
46.30934,40.15312,295.96,0.52,0.67,2025-03-13,0028,N21,nominal,2.0NRT,268.01,3.24,N
46.24752,40.23897,318.13,0.53,0.67,2025-03-13,0028,N21,nominal,2.0NRT,275.35,2.91,N
46.23234,40.24358,367,0.53,0.67,2025-03-13,0028,N21,high,2.0NRT,278.56,12.21,N
46.23439,40.23728,301.91,0.53,0.67,2025-03-13,0028,N21,nominal,2.0NRT,274.86,12.21,N
45.94331,40.9257,307.18,0.58,0.7,2025-03-13,0028,N21,nominal,2.0NRT,277.3,3.88,N
46.1088,40.32647,305.43,0.54,0.68,2025-03-13,0028,N21,nominal,2.0NRT,276.97,2.15,N
45.94439,40.93187,312.39,0.58,0.7,2025-03-13,0028,N21,nominal,2.0NRT,277.99,3.64,N
46.10728,40.32997,306,0.54,0.68,2025-03-13,0028,N21,nominal,2.0NRT,276.56,2.26,N
46.41573,39.26234,310.75,0.47,0.64,2025-03-13,0028,N21,nominal,2.0NRT,275.55,2.13,N
45.74149,40.78323,325.75,0.58,0.7,2025-03-13,0028,N21,nominal,2.0NRT,278.12,6.35,N
45.74825,40.76322,306.29,0.58,0.7,2025-03-13,0028,N21,nominal,2.0NRT,277.9,2.25,N
45.74407,40.7853,325.37,0.58,0.7,2025-03-13,0028,N21,nominal,2.0NRT,278.23,4.49,N
45.75077,40.76509,302.25,0.58,0.7,2025-03-13,0028,N21,nominal,2.0NRT,277.85,1.67,N
46.11518,39.32822,303.4,0.49,0.65,2025-03-13,0028,N21,nominal,2.0NRT,268.26,1.3,N
