latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-6.92288,-35.14281,317.84,0.49,0.49,2025-03-13,0408,N21,nominal,2.0NRT,289.64,1.88,N
-6.92352,-35.13841,301.61,0.49,0.49,2025-03-13,0408,N21,nominal,2.0NRT,288.18,1.88,N
-6.92733,-35.14341,352.68,0.49,0.49,2025-03-13,0408,N21,nominal,2.0NRT,294.22,17.23,N
-6.92798,-35.13902,310.33,0.49,0.49,2025-03-13,0408,N21,nominal,2.0NRT,287.73,17.23,N
-6.92174,-35.14127,303.42,0.49,0.49,2025-03-13,0408,N21,nominal,2.0NRT,289.3,1.48,N
-6.9262,-35.14187,348.74,0.49,0.49,2025-03-13,0408,N21,nominal,2.0NRT,294.46,10.33,N
-6.92559,-35.14629,318.87,0.49,0.49,2025-03-13,0408,N21,nominal,2.0NRT,288.77,10.28,N
-6.9268,-35.13747,304.59,0.49,0.49,2025-03-13,0408,N21,nominal,2.0NRT,287.35,10.33,N
-6.93065,-35.1425,299.6,0.49,0.49,2025-03-13,0408,N21,nominal,2.0NRT,287.19,10.33,N
-5.64805,-43.71691,308.41,0.43,0.38,2025-03-13,0408,N21,nominal,2.0NRT,292.16,0.84,N
-5.44626,-45.42802,319.11,0.52,0.41,2025-03-13,0408,N21,nominal,2.0NRT,290.79,2.59,N
-6.07146,-44.23878,307.48,0.44,0.39,2025-03-13,0408,N21,nominal,2.0NRT,287.96,1.03,N
-6.95387,-43.04697,316.2,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,294.04,1.4,N
-6.95724,-43.0475,345.48,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,297.03,6.99,N
-6.95781,-43.04391,340.67,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,296.42,3.86,N
-6.95838,-43.04032,311.15,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,294.65,3.86,N
-6.96117,-43.04443,322.71,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,295.92,3.86,N
-6.96174,-43.04085,339.08,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,297.22,3.86,N
-6.96232,-43.03727,337.56,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,296.18,4.51,N
-6.9606,-43.04802,309.46,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,294.58,6.99,N
-6.96511,-43.04137,308.18,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,295.16,1.4,N
-6.96568,-43.03779,305.97,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,295.22,0.9,N
-6.22534,-48.05656,296.2,0.49,0.49,2025-03-13,0408,N21,nominal,2.0NRT,276.04,0.67,N
-6.22613,-48.05203,297.89,0.49,0.49,2025-03-13,0408,N21,nominal,2.0NRT,277.03,0.67,N
-7.86072,-39.71205,328.63,0.42,0.38,2025-03-13,0408,N21,nominal,2.0NRT,295.38,8.91,N
-7.0815,-44.81839,311.08,0.46,0.39,2025-03-13,0408,N21,nominal,2.0NRT,293.95,1.62,N
-7.08352,-44.81818,313.2,0.46,0.39,2025-03-13,0408,N21,nominal,2.0NRT,294.48,1.62,N
-6.99709,-45.61382,307.21,0.51,0.41,2025-03-13,0408,N21,nominal,2.0NRT,293.33,1.09,N
-7.00085,-45.61441,307.82,0.51,0.41,2025-03-13,0408,N21,nominal,2.0NRT,293.54,1.09,N
-7.24431,-44.77074,324.75,0.46,0.39,2025-03-13,0408,N21,nominal,2.0NRT,293.67,1.51,N
-7.24231,-44.783,311.32,0.46,0.39,2025-03-13,0408,N21,nominal,2.0NRT,293.4,1.76,N
-7.24364,-44.77483,304.06,0.46,0.39,2025-03-13,0408,N21,nominal,2.0NRT,293,1.51,N
-7.24789,-44.77131,306.23,0.46,0.39,2025-03-13,0408,N21,nominal,2.0NRT,292.71,1.51,N
-6.57144,-51.10343,347.49,0.39,0.6,2025-03-13,0408,N21,nominal,2.0NRT,285.88,6.28,N
-6.57202,-51.10021,322.83,0.39,0.59,2025-03-13,0408,N21,nominal,2.0NRT,285.84,6.28,N
-8.71439,-38.64355,326.49,0.48,0.4,2025-03-13,0408,N21,nominal,2.0NRT,294.47,12.03,N
-8.71502,-38.63924,311.57,0.48,0.4,2025-03-13,0408,N21,nominal,2.0NRT,297.9,15.63,N
-8.72644,-38.81549,310.35,0.47,0.4,2025-03-13,0408,N21,nominal,2.0NRT,295.67,2.68,N
-8.11232,-43.14399,330.83,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,293.43,3.35,N
-8.11566,-43.14452,316.4,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,292.86,3.35,N
-8.71831,-40.52684,307.96,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,293.3,0.59,N
-9.25971,-40.96036,307.14,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,295.41,1.33,N
-9.80372,-37.95029,314.93,0.54,0.42,2025-03-13,0408,N21,nominal,2.0NRT,292.51,1.66,N
-10.35238,-37.98022,307.5,0.54,0.42,2025-03-13,0408,N21,nominal,2.0NRT,293.17,1.16,N
-10.34775,-38.47224,321.75,0.51,0.41,2025-03-13,0408,N21,nominal,2.0NRT,291.42,1.81,N
-10.3479,-38.47512,319.95,0.51,0.41,2025-03-13,0408,N21,nominal,2.0NRT,291.23,1.54,N
-10.83967,-38.10714,322.66,0.54,0.42,2025-03-13,0408,N21,nominal,2.0NRT,292.73,3.2,N
-10.84115,-38.64529,306.77,0.5,0.41,2025-03-13,0408,N21,nominal,2.0NRT,293,1.09,N
-11.49158,-37.99722,310.35,0.56,0.43,2025-03-13,0408,N21,nominal,2.0NRT,291.2,1.18,N
-11.49101,-37.99851,310.29,0.56,0.43,2025-03-13,0408,N21,nominal,2.0NRT,291.31,1.22,N
-10.65269,-44.40271,320.34,0.41,0.37,2025-03-13,0408,N21,nominal,2.0NRT,292.39,1.34,N
-10.6533,-44.39898,310.23,0.41,0.37,2025-03-13,0408,N21,nominal,2.0NRT,291.55,1.34,N
-10.6567,-44.39954,302.08,0.41,0.37,2025-03-13,0408,N21,nominal,2.0NRT,291.66,1.34,N
-10.66072,-44.39637,312.58,0.41,0.37,2025-03-13,0408,N21,nominal,2.0NRT,291.97,1.85,N
-10.66413,-44.39693,320.13,0.41,0.37,2025-03-13,0408,N21,nominal,2.0NRT,292.97,1.85,N
-10.66753,-44.3975,311.16,0.41,0.37,2025-03-13,0408,N21,nominal,2.0NRT,291.13,0.81,N
-10.39312,-47.99748,304.07,0.42,0.45,2025-03-13,0408,N21,nominal,2.0NRT,277.27,0.94,N
-10.39379,-47.99361,300.68,0.42,0.45,2025-03-13,0408,N21,nominal,2.0NRT,278.03,0.94,N
-10.39448,-47.98969,305.53,0.42,0.45,2025-03-13,0408,N21,nominal,2.0NRT,277.88,2.02,N
-11.95911,-40.60672,307.08,0.42,0.38,2025-03-13,0408,N21,nominal,2.0NRT,292.08,1.12,N
-12.04843,-40.47303,308.87,0.43,0.38,2025-03-13,0408,N21,nominal,2.0NRT,291.89,0.99,N
-12.39553,-38.34584,304.54,0.55,0.42,2025-03-13,0408,N21,nominal,2.0NRT,293.08,1.39,N
-12.39943,-38.34642,307.86,0.55,0.42,2025-03-13,0408,N21,nominal,2.0NRT,294.06,1.39,N
-12.40014,-38.3414,304.4,0.55,0.42,2025-03-13,0408,N21,nominal,2.0NRT,293.05,1.39,N
-12.1086,-41.32059,325.41,0.4,0.37,2025-03-13,0408,N21,nominal,2.0NRT,291.03,2.61,N
-11.5836,-44.83435,303.22,0.42,0.38,2025-03-13,0408,N21,nominal,2.0NRT,290.23,0.49,N
-11.5939,-44.83607,324.75,0.42,0.38,2025-03-13,0408,N21,nominal,2.0NRT,292.34,2.81,N
-11.59452,-44.83227,322.35,0.42,0.38,2025-03-13,0408,N21,nominal,2.0NRT,292.52,2.81,N
-11.59733,-44.83664,316.66,0.42,0.38,2025-03-13,0408,N21,nominal,2.0NRT,291.38,1.99,N
-11.59796,-44.83284,317.17,0.42,0.38,2025-03-13,0408,N21,nominal,2.0NRT,292.54,1.99,N
-10.87389,-49.54923,307.65,0.52,0.5,2025-03-13,0408,N21,nominal,2.0NRT,275.98,2.2,N
-10.87844,-49.55006,297.25,0.52,0.5,2025-03-13,0408,N21,nominal,2.0NRT,276.02,0.81,N
-12.71177,-38.57316,307.03,0.53,0.42,2025-03-13,0408,N21,nominal,2.0NRT,295.3,5.28,N
-11.77825,-44.71859,307.32,0.41,0.37,2025-03-13,0408,N21,nominal,2.0NRT,285.16,1.43,N
-11.77891,-44.71523,308.19,0.41,0.37,2025-03-13,0408,N21,nominal,2.0NRT,281.47,1.29,N
-12.71369,-38.57113,309.55,0.54,0.42,2025-03-13,0408,N21,nominal,2.0NRT,294.76,4.95,N
-11.94446,-43.93247,307.11,0.39,0.36,2025-03-13,0408,N21,nominal,2.0NRT,294.44,1.09,N
-11.89054,-45.28125,313.21,0.43,0.38,2025-03-13,0408,N21,nominal,2.0NRT,289.6,1.51,N
-11.89119,-45.27731,307.49,0.43,0.38,2025-03-13,0408,N21,nominal,2.0NRT,291.08,1.51,N
-11.56334,-47.62496,296.1,0.57,0.43,2025-03-13,0408,N21,nominal,2.0NRT,271.21,1.51,N
-11.56425,-47.61972,311.27,0.57,0.43,2025-03-13,0408,N21,nominal,2.0NRT,269.73,1.49,N
-11.56821,-47.62039,303.09,0.57,0.43,2025-03-13,0408,N21,nominal,2.0NRT,266.79,1.49,N
-12.05527,-45.42995,297.42,0.44,0.38,2025-03-13,0410,N21,nominal,2.0NRT,280.54,0.32,N
-12.06954,-45.51834,299.98,0.44,0.38,2025-03-13,0410,N21,nominal,2.0NRT,280.5,0.77,N
-12.0702,-45.51434,299.1,0.44,0.38,2025-03-13,0410,N21,nominal,2.0NRT,280.38,1.21,N
-12.0737,-45.51493,344.44,0.44,0.38,2025-03-13,0410,N21,nominal,2.0NRT,283.49,8.96,N
-12.07305,-45.51894,300.27,0.44,0.38,2025-03-13,0410,N21,nominal,2.0NRT,281.33,1.78,N
-13.0542,-39.92633,300.69,0.46,0.39,2025-03-13,0410,N21,nominal,2.0NRT,290.11,0.62,N
-13.04833,-40.33706,306.57,0.44,0.38,2025-03-13,0410,N21,nominal,2.0NRT,290.78,1.44,N
-12.66632,-44.50604,320.47,0.4,0.37,2025-03-13,0410,N21,nominal,2.0NRT,291.2,1.49,N
-12.5082,-45.50021,317.91,0.43,0.38,2025-03-13,0410,N21,nominal,2.0NRT,282.27,2.51,N
-13.33758,-40.31076,300.62,0.44,0.39,2025-03-13,0410,N21,nominal,2.0NRT,290.33,0.6,N
