latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
14.13526,98.20259,333.28,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,298.97,2.45,D
19.0753,100.45648,345.68,0.45,0.39,2025-03-13,0644,N21,nominal,2.0NRT,307.66,11.08,D
19.30729,100.12144,331.76,0.44,0.38,2025-03-13,0644,N21,low,2.0NRT,304.4,3.42,D
24.19086,93.7774,332.66,0.42,0.38,2025-03-13,0644,N21,nominal,2.0NRT,300.15,4.37,D
14.13472,98.19905,353.73,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,301.78,14.92,D
14.76362,100.82479,334.22,0.43,0.38,2025-03-13,0642,N21,nominal,2.0NRT,298.76,2.59,D
14.63404,99.79865,340.7,0.4,0.37,2025-03-13,0642,N21,nominal,2.0NRT,300.95,17.69,D
14.63738,99.79812,335.58,0.4,0.37,2025-03-13,0642,N21,nominal,2.0NRT,297.75,2.24,D
15.08047,101.99052,335.84,0.48,0.4,2025-03-13,0642,N21,nominal,2.0NRT,299.21,2.69,D
14.61701,98.7704,335.26,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,303.75,2.86,D
14.58392,98.50799,332.83,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,299.13,11.4,D
14.98496,100.89641,338.35,0.43,0.38,2025-03-13,0642,N21,nominal,2.0NRT,300.91,5.89,D
14.98362,100.89699,338.22,0.43,0.38,2025-03-13,0642,N21,nominal,2.0NRT,299.54,5.68,D
15.21442,101.98596,332.45,0.48,0.4,2025-03-13,0642,N21,nominal,2.0NRT,299.05,2.93,D
15.19409,101.70609,339.59,0.47,0.4,2025-03-13,0642,N21,nominal,2.0NRT,297.56,3.58,D
15.21881,101.16379,336.22,0.44,0.39,2025-03-13,0642,N21,nominal,2.0NRT,306.08,3.33,D
15.21889,101.11369,338.79,0.44,0.38,2025-03-13,0642,N21,nominal,2.0NRT,304.64,5.21,D
15.21831,101.10963,336.27,0.44,0.38,2025-03-13,0642,N21,nominal,2.0NRT,303.32,3.58,D
14.86971,98.66779,347.77,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,305.19,15.26,D
15.27336,101.18958,335.76,0.45,0.39,2025-03-13,0642,N21,nominal,2.0NRT,301.01,5.9,D
14.81504,98.06002,346.95,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,303.85,13.59,D
14.9641,98.32179,332.66,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,298.24,3.4,D
15.4933,101.62609,335.67,0.47,0.4,2025-03-13,0642,N21,nominal,2.0NRT,299.21,5.27,D
15.4781,100.77216,340.34,0.43,0.38,2025-03-13,0642,N21,nominal,2.0NRT,304.87,12.6,D
15.54302,101.20583,340.29,0.45,0.39,2025-03-13,0642,N21,nominal,2.0NRT,304.66,9.44,D
15.54657,101.20531,347.13,0.45,0.39,2025-03-13,0642,N21,nominal,2.0NRT,306.53,20.57,D
15.55011,101.20477,343.01,0.45,0.39,2025-03-13,0642,N21,nominal,2.0NRT,304.64,20.57,D
15.59382,101.20754,339.98,0.45,0.39,2025-03-13,0642,N21,nominal,2.0NRT,305.96,9.41,D
15.53038,100.57531,338.77,0.42,0.38,2025-03-13,0642,N21,nominal,2.0NRT,302,6.74,D
15.52982,100.57139,343.09,0.42,0.38,2025-03-13,0642,N21,nominal,2.0NRT,305.58,6.74,D
15.44291,99.56642,340.16,0.4,0.37,2025-03-13,0642,N21,nominal,2.0NRT,303.7,5.7,D
15.6137,100.5709,347.71,0.42,0.38,2025-03-13,0642,N21,nominal,2.0NRT,306.28,15.07,D
15.21506,97.85088,338.71,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,302.4,5.16,D
15.2178,97.84679,346.03,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,303.1,5.16,D
15.3556,98.23173,332.62,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,297.55,3.51,D
15.89669,101.89811,339.07,0.49,0.4,2025-03-13,0642,N21,nominal,2.0NRT,298.07,5.83,D
6.21081,100.28272,336.68,0.38,0.36,2025-03-13,0640,N21,nominal,2.0NRT,299.25,2.71,D
15.5636,99.4653,337.93,0.39,0.37,2025-03-13,0642,N21,nominal,2.0NRT,305.44,3.72,D
15.39806,98.33368,331.14,0.38,0.36,2025-03-13,0642,N21,low,2.0NRT,301.64,2.18,D
15.42775,98.2853,340.73,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,304.43,6.25,D
15.34922,97.77421,332.71,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,305.96,6.1,D
15.44684,98.32214,343.21,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,302.43,5.02,D
15.66082,99.59245,337.68,0.4,0.37,2025-03-13,0642,N21,nominal,2.0NRT,302.94,6.86,D
15.89885,101.00832,338.89,0.44,0.39,2025-03-13,0642,N21,nominal,2.0NRT,304.84,6.32,D
15.8415,100.49709,337.76,0.42,0.38,2025-03-13,0642,N21,nominal,2.0NRT,302.11,8.35,D
15.44335,97.80902,338.11,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,304.89,3.23,D
15.87811,100.53162,339.42,0.42,0.38,2025-03-13,0642,N21,nominal,2.0NRT,305.96,13.38,D
15.47135,97.79346,342.8,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,302.65,7.02,D
15.61703,98.5481,333.85,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,300.32,11.18,D
15.62223,98.55408,335.69,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,303.97,3.51,D
15.5608,98.14968,338.11,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,302.31,4.11,D
15.56025,98.14613,333.23,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,300.55,4.11,D
15.56354,98.1456,346.81,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,301.58,4.11,D
15.6272,98.54234,339.89,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,302.52,4.44,D
15.57392,98.16935,330.89,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,299.68,2.45,D
15.57774,98.17236,336.67,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,302.58,6.71,D
15.76385,99.32471,337.37,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,304.97,2.95,D
16.02969,100.81031,346.24,0.44,0.38,2025-03-13,0642,N21,nominal,2.0NRT,304.09,14.1,D
15.70091,98.45039,337.53,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,298.61,6.66,D
15.70037,98.44685,342.01,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,301.69,7.4,D
15.71516,98.4482,332.18,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,301.47,4.29,D
15.71409,98.44109,331.93,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,299.55,4.69,D
15.77563,98.82848,336.85,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,299.83,3.7,D
15.81481,98.91006,338.9,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,302.75,3.65,D
16.02344,100.2006,333.99,0.41,0.37,2025-03-13,0642,N21,nominal,2.0NRT,301.95,4.13,D
15.83876,98.84421,332.75,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,304.33,1.85,D
15.99507,99.74074,349.93,0.4,0.37,2025-03-13,0642,N21,nominal,2.0NRT,304.57,7.76,D
15.8661,98.86887,341.79,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,303.62,4.31,D
15.86557,98.86536,350.38,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,304.98,6.19,D
15.86505,98.86183,349.21,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,306.61,6.19,D
15.87888,98.84138,336.03,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,303.2,2.37,D
15.83038,98.49098,340.05,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,306.11,10.42,D
15.82984,98.48742,341.62,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,307.6,10.42,D
15.82931,98.48386,338.98,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,307.9,7.94,D
15.87857,98.78962,336.4,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,302.23,2.4,D
15.83367,98.49045,349.4,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,310.68,10.42,D
15.83313,98.48689,342.36,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,307.27,10.42,D
15.8326,98.48333,343.33,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,307.39,7.94,D
15.83696,98.48991,347.6,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,308.45,6.03,D
15.83643,98.48636,335.01,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,305.34,6.03,D
15.83428,98.47213,343.39,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,306.92,6.16,D
15.83918,98.48226,367,0.38,0.36,2025-03-13,0642,N21,high,2.0NRT,308.35,10.25,D
15.83972,98.48582,336.86,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,305.23,6.03,D
15.83757,98.4716,346.05,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,307.29,6.16,D
15.84952,98.5061,347.15,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,308.72,8.15,D
15.85127,98.47302,337.39,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,306.21,3.91,D
15.85073,98.46947,339.03,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,307.69,3.91,D
15.85456,98.47249,334.39,0.38,0.36,2025-03-13,0642,N21,low,2.0NRT,306.12,3.13,D
15.81042,98.13756,342.29,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,305.27,5.5,D
15.88747,98.46717,330.69,0.38,0.36,2025-03-13,0642,N21,low,2.0NRT,303.65,0.91,D
16.11908,99.61814,338.36,0.4,0.37,2025-03-13,0642,N21,nominal,2.0NRT,303.16,3.24,D
16.02806,98.81274,341.07,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,302.33,7.23,D
16.17611,99.72731,333.95,0.4,0.37,2025-03-13,0642,N21,nominal,2.0NRT,300.95,4.21,D
16.13027,98.83687,350.3,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,308.3,31.33,D
16.13357,98.83635,343.33,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,314.75,29.8,D
16.13304,98.83277,351.23,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,309.47,29.8,D
16.1325,98.82919,340.91,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,309.03,8.4,D
16.15115,98.84088,338.3,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,305.5,5.98,D
16.15391,98.83678,345.3,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,308.32,10.28,D
16.18005,98.76295,345.88,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,306.25,6.02,D
16.17952,98.75937,341.33,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,304.86,6.02,D
16.19674,98.85192,339.84,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,311.81,4.38,D
16.19523,98.81918,342.52,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,308.53,6.57,D
16.19202,98.79773,335.51,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,307.09,1.27,D
16.19853,98.81864,342.44,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,312.19,29.25,D
16.20282,98.72941,336.81,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,306.32,5.64,D
16.20228,98.72581,338.4,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,308.49,5.64,D
16.21626,98.79697,342.05,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,305.33,25.16,D
16.21465,98.78622,338.01,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,307.19,1.74,D
16.21412,98.78261,336.29,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,309.51,1.74,D
16.21902,98.79285,367,0.39,0.36,2025-03-13,0642,N21,high,2.0NRT,325.33,162.59,D
16.58021,101.34255,341.97,0.47,0.39,2025-03-13,0642,N21,nominal,2.0NRT,302.27,8.37,D
16.21955,98.79643,343.01,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,313.33,25.16,D
16.22286,98.79589,347.51,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,310.2,8.17,D
16.20263,98.63759,335.45,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,299.98,4.72,D
16.23532,98.83418,338.81,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,312.58,8.05,D
16.21795,98.64982,333.11,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,301.92,2.74,D
16.2937,98.81753,337.64,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,310.46,6.26,D
16.3011,98.754,337.15,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,308.37,3.9,D
16.15411,97.69264,347.52,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,308.98,5.28,D
16.35978,98.78081,334.62,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,306.26,2.63,D
15.8862,95.58456,341.81,0.43,0.38,2025-03-13,0642,N21,nominal,2.0NRT,314.47,5.45,D
15.85138,95.28515,336.5,0.45,0.39,2025-03-13,0642,N21,nominal,2.0NRT,310.57,4.5,D
15.81143,94.99912,346.3,0.46,0.39,2025-03-13,0642,N21,nominal,2.0NRT,308.83,12.83,D
16.39845,98.64999,336.4,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,307.11,4.43,D
15.81416,95.00008,334.11,0.46,0.39,2025-03-13,0642,N21,low,2.0NRT,308.74,3.28,D
16.40121,98.64587,344.73,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,309.4,4.01,D
16.38945,98.56698,339.02,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,297.64,2.8,D
16.22996,97.52256,345.93,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,309.82,15.09,D
16.63774,100.03678,335.38,0.41,0.37,2025-03-13,0642,N21,nominal,2.0NRT,305.35,4.85,D
15.84758,94.89304,334.85,0.47,0.39,2025-03-13,0642,N21,low,2.0NRT,309.36,4.02,D
16.78894,101.01563,332.4,0.45,0.39,2025-03-13,0642,N21,nominal,2.0NRT,298.57,3.21,D
16.46726,98.74883,335.09,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,309.57,4.53,D
16.47333,98.74418,336.97,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,309.66,3.37,D
16.47279,98.74059,335.92,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,310.54,3.37,D
15.9173,95.13367,342.54,0.45,0.39,2025-03-13,0642,N21,nominal,2.0NRT,311,16.88,D
16.60092,99.49361,333.43,0.4,0.37,2025-03-13,0642,N21,nominal,2.0NRT,302.4,4.09,D
16.02592,95.61867,339.19,0.43,0.38,2025-03-13,0642,N21,low,2.0NRT,313.03,8.69,D
16.3748,97.75443,331.55,0.38,0.36,2025-03-13,0642,N21,low,2.0NRT,301.75,1.26,D
16.37425,97.75087,335.07,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,306.04,1.52,D
16.5246,98.56287,333.42,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,303.79,7.33,D
16.52474,98.5187,333.81,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,301.46,2.88,D
16.52421,98.51516,337.53,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,306.17,5.21,D
16.03263,95.41069,345.34,0.44,0.38,2025-03-13,0642,N21,nominal,2.0NRT,311.41,4.47,D
16.52804,98.51819,331.91,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,300.06,1.61,D
16.5275,98.51463,336.68,0.39,0.36,2025-03-13,0642,N21,low,2.0NRT,307.57,5.64,D
16.52643,98.50756,332.4,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,301.2,3.53,D
16.08593,95.71049,341.03,0.43,0.38,2025-03-13,0642,N21,nominal,2.0NRT,311.44,4.81,D
16.52919,98.50349,340.76,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,302.37,3.53,D
16.53248,98.50294,332.53,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,301.92,2.43,D
16.93838,101.31613,337.91,0.47,0.4,2025-03-13,0642,N21,nominal,2.0NRT,300.99,4.78,D
16.65439,99.30328,336.76,0.4,0.37,2025-03-13,0642,N21,nominal,2.0NRT,305.14,4.77,D
16.48631,98.13051,333.81,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,299.52,2.89,D
16.85119,100.55527,335.58,0.43,0.38,2025-03-13,0642,N21,nominal,2.0NRT,305.37,3.86,D
16.85467,100.5547,330.88,0.43,0.38,2025-03-13,0642,N21,low,2.0NRT,305.35,3.86,D
16.85411,100.55073,335.05,0.43,0.38,2025-03-13,0642,N21,nominal,2.0NRT,303.15,4.49,D
16.61582,98.85722,343.72,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,303.97,5.71,D
16.49035,97.98016,330.89,0.38,0.36,2025-03-13,0642,N21,low,2.0NRT,303,2.71,D
16.47291,97.86616,341.63,0.38,0.36,2025-03-13,0642,N21,nominal,2.0NRT,306.08,13.84,D
16.1439,95.76122,334.63,0.43,0.38,2025-03-13,0642,N21,low,2.0NRT,309.09,8.4,D
16.42558,97.49313,340.11,0.39,0.36,2025-03-13,0642,N21,nominal,2.0NRT,309.12,4.77,D
16.09207,95.40023,337.08,0.44,0.38,2025-03-13,0642,N21,low,2.0NRT,311.86,7.1,D
