latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.39702,-66.83156,303.09,0.41,0.45,2025-03-13,0542,N21,nominal,2.0NRT,290.42,0.45,N
17.7005,-64.74792,311.42,0.46,0.39,2025-03-13,0542,N21,nominal,2.0NRT,294.82,2.49,N
17.85999,-71.30834,300.2,0.4,0.6,2025-03-13,0542,N21,nominal,2.0NRT,289.04,0.7,N
17.8591,-71.30831,302.24,0.4,0.6,2025-03-13,0542,N21,nominal,2.0NRT,289.18,0.94,N
38.65943,-92.13602,313.12,0.35,0.57,2025-03-13,0718,N21,nominal,2.0NRT,282.75,1.11,N
37.46264,-81.73734,309.12,0.38,0.36,2025-03-13,0718,N21,nominal,2.0NRT,269.4,1.73,N
37.45937,-81.73813,310.35,0.38,0.36,2025-03-13,0718,N21,nominal,2.0NRT,269.64,1.81,N
37.4561,-81.73893,320.52,0.38,0.36,2025-03-13,0718,N21,nominal,2.0NRT,270.23,1.81,N
37.45349,-81.74403,301.08,0.38,0.36,2025-03-13,0718,N21,nominal,2.0NRT,266.94,0.71,N
37.49511,-82.22253,307.71,0.39,0.36,2025-03-13,0718,N21,nominal,2.0NRT,270.56,1.42,N
38.27827,-89.56353,303.03,0.5,0.49,2025-03-13,0718,N21,nominal,2.0NRT,281.41,0.87,N
36.35464,-76.80614,325.07,0.51,0.41,2025-03-13,0718,N21,nominal,2.0NRT,282.71,3.8,N
36.35436,-76.80744,322.88,0.51,0.41,2025-03-13,0718,N21,nominal,2.0NRT,282.08,4.05,N
37.23505,-82.03609,298.8,0.39,0.36,2025-03-13,0718,N21,nominal,2.0NRT,264.16,0.53,N
37.23243,-82.04115,308,0.39,0.36,2025-03-13,0718,N21,nominal,2.0NRT,267.34,1.29,N
38.17823,-90.33739,297.5,0.55,0.51,2025-03-13,0718,N21,nominal,2.0NRT,284.89,1.31,N
38.0093,-90.08091,306.62,0.53,0.5,2025-03-13,0718,N21,nominal,2.0NRT,281.87,2.91,N
37.96752,-90.07627,310.87,0.53,0.5,2025-03-13,0718,N21,nominal,2.0NRT,282.46,1.97,N
37.05083,-82.35156,304.43,0.39,0.36,2025-03-13,0718,N21,nominal,2.0NRT,261.62,1.18,N
38.13059,-93.32886,299.93,0.4,0.6,2025-03-13,0718,N21,nominal,2.0NRT,283.39,1.52,N
36.55665,-79.89806,318.98,0.4,0.37,2025-03-13,0718,N21,nominal,2.0NRT,281.43,1.96,N
37.47499,-86.31528,306.06,0.5,0.41,2025-03-13,0718,N21,nominal,2.0NRT,279.28,1.11,N
37.43031,-86.06109,318.2,0.49,0.4,2025-03-13,0718,N21,nominal,2.0NRT,282.63,3.58,N
37.82318,-93.60398,305.33,0.41,0.61,2025-03-13,0718,N21,nominal,2.0NRT,282,1.09,N
37.81604,-94.1827,307.25,0.45,0.63,2025-03-13,0718,N21,nominal,2.0NRT,281.46,1.53,N
37.82083,-94.17881,295.22,0.44,0.63,2025-03-13,0718,N21,nominal,2.0NRT,280.78,1.11,N
37.81506,-94.17921,298.26,0.44,0.63,2025-03-13,0718,N21,nominal,2.0NRT,281.46,1.24,N
35.7128,-78.83774,297.47,0.44,0.38,2025-03-13,0718,N21,nominal,2.0NRT,283.12,0.72,N
36.36985,-84.27146,332.92,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,280,4.1,N
36.36921,-84.2668,340.5,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,284.55,3.34,N
36.36858,-84.26216,329.94,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,283.24,3.34,N
36.36796,-84.25765,307.04,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,280.21,1.72,N
36.36456,-84.25832,326.94,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,283.57,1.72,N
36.36581,-84.26752,303.27,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,280.98,3.34,N
36.36393,-84.25378,305.81,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,279.39,1.72,N
36.36053,-84.25443,316.68,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,283.48,1.73,N
36.35712,-84.2551,295.37,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,282.29,1.73,N
36.3565,-84.25053,308.66,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,283.17,2.1,N
36.3531,-84.25121,306.69,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,282.85,3.17,N
36.35248,-84.24667,310.44,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,283.08,3.17,N
36.34971,-84.25198,348.26,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,286.69,3.17,N
36.35034,-84.25661,319.56,0.41,0.37,2025-03-13,0718,N21,nominal,2.0NRT,281.9,2.79,N
35.6806,-80.21307,300.02,0.4,0.37,2025-03-13,0718,N21,nominal,2.0NRT,282.09,0.8,N
36.44341,-85.84341,300.54,0.47,0.4,2025-03-13,0718,N21,nominal,2.0NRT,279,0.89,N
37.1897,-95.8483,299.09,0.55,0.68,2025-03-13,0718,N21,nominal,2.0NRT,278.54,1.13,N
35.50241,-80.33204,305.67,0.4,0.37,2025-03-13,0718,N21,nominal,2.0NRT,283,1.85,N
35.0028,-77.98428,302.21,0.48,0.4,2025-03-13,0718,N21,nominal,2.0NRT,281.94,0.46,N
35.97979,-83.95736,304.59,0.4,0.37,2025-03-13,0718,N21,nominal,2.0NRT,261.05,1.04,N
36.63688,-95.21946,297.2,0.5,0.66,2025-03-13,0718,N21,nominal,2.0NRT,281.6,0.87,N
34.91992,-79.5961,309.84,0.42,0.38,2025-03-13,0718,N21,nominal,2.0NRT,281.45,1.33,N
34.83984,-79.74249,298.19,0.42,0.38,2025-03-13,0718,N21,nominal,2.0NRT,282.41,0.44,N
36.5147,-97.84001,296.2,0.7,0.75,2025-03-13,0718,N21,nominal,2.0NRT,280.37,2.24,N
35.04359,-81.84361,300.7,0.38,0.36,2025-03-13,0718,N21,nominal,2.0NRT,279.46,0.9,N
36.22022,-92.37628,304.88,0.34,0.56,2025-03-13,0718,N21,nominal,2.0NRT,281.75,0.76,N
36.35062,-94.90444,303.63,0.48,0.64,2025-03-13,0718,N21,nominal,2.0NRT,283.98,1.39,N
36.35038,-94.89919,299.85,0.48,0.64,2025-03-13,0718,N21,nominal,2.0NRT,282.63,1,N
36.31858,-94.72704,303.15,0.46,0.64,2025-03-13,0718,N21,nominal,2.0NRT,285.49,1.27,N
36.31834,-94.72198,297.87,0.46,0.64,2025-03-13,0718,N21,nominal,2.0NRT,284.67,0.8,N
36.31342,-94.74263,319.47,0.47,0.64,2025-03-13,0718,N21,nominal,2.0NRT,287.07,3.2,N
36.27628,-94.70308,299.81,0.46,0.64,2025-03-13,0718,N21,nominal,2.0NRT,284.89,1.1,N
36.27712,-94.70488,295.35,0.46,0.64,2025-03-13,0718,N21,nominal,2.0NRT,284.68,1.44,N
36.30533,-96.17215,308.34,0.56,0.69,2025-03-13,0718,N21,nominal,2.0NRT,279.32,3.54,N
34.9595,-82.32677,307.37,0.38,0.36,2025-03-13,0718,N21,nominal,2.0NRT,278.81,0.98,N
36.19315,-95.81308,298.4,0.53,0.67,2025-03-13,0718,N21,nominal,2.0NRT,284.3,1.34,N
35.95944,-92.91285,296.62,0.36,0.58,2025-03-13,0718,N21,nominal,2.0NRT,283.71,1.19,N
35.96019,-92.913,295.35,0.36,0.58,2025-03-13,0718,N21,nominal,2.0NRT,283.71,0.81,N
35.12844,-85.39651,327.44,0.44,0.38,2025-03-13,0718,N21,nominal,2.0NRT,269.23,3.76,N
35.13021,-85.41047,316.89,0.44,0.38,2025-03-13,0718,N21,nominal,2.0NRT,269.63,2.32,N
35.12962,-85.40582,298.84,0.44,0.38,2025-03-13,0718,N21,nominal,2.0NRT,267.63,1.92,N
35.12922,-85.40832,330.76,0.44,0.38,2025-03-13,0718,N21,nominal,2.0NRT,271,4.19,N
35.12799,-85.399,330.54,0.44,0.38,2025-03-13,0718,N21,nominal,2.0NRT,269.96,4.11,N
35.12455,-85.39999,302.93,0.44,0.38,2025-03-13,0718,N21,nominal,2.0NRT,267.89,1.45,N
34.65258,-82.28595,299.89,0.38,0.36,2025-03-13,0718,N21,nominal,2.0NRT,279.5,0.83,N
33.96288,-78.58716,309.52,0.47,0.4,2025-03-13,0718,N21,nominal,2.0NRT,282.24,1.41,N
