latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
40.440404,-76.584414,015,032,3568,3549,2025-03-13,1546,L9,medium,D
40.440679,-76.584067,015,032,3569,3548,2025-03-13,1546,L9,medium,D
40.440409,-76.584061,015,032,3569,3549,2025-03-13,1546,L9,medium,D
40.440969,-76.582659,015,032,3573,3547,2025-03-13,1546,L9,medium,D
40.441524,-76.581611,015,032,3576,3545,2025-03-13,1546,L9,medium,D
40.441529,-76.581257,015,032,3577,3545,2025-03-13,1546,L9,low,D
40.442074,-76.580916,015,032,3578,3543,2025-03-13,1546,L9,medium,D
40.441804,-76.58091,015,032,3578,3544,2025-03-13,1546,L9,low,D
40.442349,-76.580569,015,032,3579,3542,2025-03-13,1546,L9,medium,D
40.442079,-76.580562,015,032,3579,3543,2025-03-13,1546,L9,high,D
40.442354,-76.580215,015,032,3580,3542,2025-03-13,1546,L9,high,D
40.442083,-76.580209,015,032,3580,3543,2025-03-13,1546,L9,high,D
40.442629,-76.579868,015,032,3581,3541,2025-03-13,1546,L9,medium,D
40.442358,-76.579862,015,032,3581,3542,2025-03-13,1546,L9,low,D
40.442633,-76.579514,015,032,3582,3541,2025-03-13,1546,L9,medium,D
40.442638,-76.579161,015,032,3583,3541,2025-03-13,1546,L9,low,D
40.442913,-76.578813,015,032,3584,3540,2025-03-13,1546,L9,medium,D
40.442918,-76.57846,015,032,3585,3540,2025-03-13,1546,L9,high,D
40.442923,-76.578106,015,032,3586,3540,2025-03-13,1546,L9,high,D
40.443198,-76.577759,015,032,3587,3539,2025-03-13,1546,L9,medium,D
40.442928,-76.577753,015,032,3587,3540,2025-03-13,1546,L9,high,D
40.443473,-76.577412,015,032,3588,3538,2025-03-13,1546,L9,low,D
40.443203,-76.577405,015,032,3588,3539,2025-03-13,1546,L9,high,D
40.443748,-76.577064,015,032,3589,3537,2025-03-13,1546,L9,low,D
40.444023,-76.576717,015,032,3590,3536,2025-03-13,1546,L9,medium,D
40.444303,-76.576016,015,032,3592,3535,2025-03-13,1546,L9,high,D
40.445408,-76.574273,015,032,3597,3531,2025-03-13,1546,L9,medium,D
40.446228,-76.573585,015,032,3599,3528,2025-03-13,1546,L9,low,D
40.446503,-76.573237,015,032,3600,3527,2025-03-13,1546,L9,medium,D
40.913073,-76.583891,015,032,3601,1800,2025-03-13,1546,L9,low,D
40.912803,-76.583885,015,032,3601,1801,2025-03-13,1546,L9,high,D
40.446778,-76.57289,015,032,3601,3526,2025-03-13,1546,L9,high,D
40.913078,-76.583535,015,032,3602,1800,2025-03-13,1546,L9,high,D
40.912808,-76.583529,015,032,3602,1801,2025-03-13,1546,L9,high,D
40.913083,-76.583179,015,032,3603,1800,2025-03-13,1546,L9,high,D
40.447328,-76.572195,015,032,3603,3524,2025-03-13,1546,L9,medium,D
40.447603,-76.571848,015,032,3604,3523,2025-03-13,1546,L9,low,D
40.447332,-76.571842,015,032,3604,3524,2025-03-13,1546,L9,high,D
40.447607,-76.571494,015,032,3605,3523,2025-03-13,1546,L9,high,D
40.447882,-76.571147,015,032,3606,3522,2025-03-13,1546,L9,high,D
40.447612,-76.571141,015,032,3606,3523,2025-03-13,1546,L9,high,D
40.447617,-76.570787,015,032,3607,3523,2025-03-13,1546,L9,high,D
40.447892,-76.57044,015,032,3608,3522,2025-03-13,1546,L9,high,D
40.447622,-76.570434,015,032,3608,3523,2025-03-13,1546,L9,high,D
40.447897,-76.570086,015,032,3609,3522,2025-03-13,1546,L9,medium,D
40.447627,-76.57008,015,032,3609,3523,2025-03-13,1546,L9,medium,D
41.008157,-76.546926,015,032,3711,1450,2025-03-13,1546,L9,high,D
41.008162,-76.546569,015,032,3712,1450,2025-03-13,1546,L9,high,D
40.377853,-76.383282,015,032,4133,3790,2025-03-13,1546,L9,high,D
40.377583,-76.383277,015,032,4133,3791,2025-03-13,1546,L9,high,D
40.378136,-76.382228,015,032,4136,3789,2025-03-13,1546,L9,high,D
40.378411,-76.38188,015,032,4137,3788,2025-03-13,1546,L9,high,D
40.37814,-76.381874,015,032,4137,3789,2025-03-13,1546,L9,high,D
40.37787,-76.381869,015,032,4137,3790,2025-03-13,1546,L9,high,D
40.690873,-76.284288,015,032,4430,2636,2025-03-13,1546,L9,high,D
40.690603,-76.284283,015,032,4430,2637,2025-03-13,1546,L9,high,D
