latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
40.15828,-80.42196,304.72,1.96,1.37,2025-03-13,1448,T,60,6.1NRT,288.85,14.28,D
47.26721,-96.2921,302.84,1.01,1.01,2025-03-13,1624,T,54,6.1NRT,277.93,7.98,D
44.37817,-94.81557,303.41,1.03,1.02,2025-03-13,1624,T,56,6.1NRT,277.69,7.22,D
42.43562,-85.42233,311.61,3.25,1.7,2025-03-13,1624,T,62,6.1NRT,285.45,59.23,D
42.43655,-85.42649,307.84,3.25,1.7,2025-03-13,1624,T,0,6.1NRT,285.55,49.14,D
42.2128,-88.21622,313.69,2.28,1.46,2025-03-13,1626,T,74,6.1NRT,287.73,42.03,D
42.19936,-89.18732,301.2,2,1.38,2025-03-13,1626,T,39,6.1NRT,286.78,11.36,D
41.62915,-87.11721,300.31,2.74,1.58,2025-03-13,1626,T,26,6.1NRT,287.79,16.87,D
41.72752,-90.23387,300.65,1.8,1.31,2025-03-13,1626,T,29,6.1NRT,288.72,6.92,D
40.83695,-86.61157,301.74,3.09,1.67,2025-03-13,1626,T,49,6.1NRT,290.02,16.62,D
40.88993,-87.27239,305.68,2.82,1.6,2025-03-13,1626,T,62,6.1NRT,288.67,23.79,D
40.88623,-87.28114,303.27,2.82,1.6,2025-03-13,1626,T,55,6.1NRT,288.67,18.82,D
41.78803,-91.64863,322.16,1.5,1.21,2025-03-13,1626,T,0,6.1NRT,290.39,33.76,D
42.08587,-93.40825,312.93,1.22,1.1,2025-03-13,1626,T,73,6.1NRT,288.97,13.91,D
42.08334,-93.39412,311.14,1.22,1.1,2025-03-13,1626,T,71,6.1NRT,288.49,11.99,D
42.08128,-93.40067,318.71,1.22,1.1,2025-03-13,1626,T,79,6.1NRT,289.15,20.32,D
42.44845,-95.80125,316.06,1.02,1.01,2025-03-13,1626,T,76,6.1NRT,287.43,14.6,D
42.44659,-95.78925,308.73,1.02,1.01,2025-03-13,1626,T,68,6.1NRT,287.43,8.61,D
41.53545,-92.11745,303.43,1.43,1.18,2025-03-13,1626,T,53,6.1NRT,290.43,6.78,D
41.6294,-92.79021,302.49,1.32,1.14,2025-03-13,1626,T,50,6.1NRT,290.55,4.49,D
40.97676,-89.71624,306.42,2.01,1.38,2025-03-13,1626,T,62,6.1NRT,291.1,13.91,D
40.98484,-89.71886,307.22,2.01,1.38,2025-03-13,1626,T,63,6.1NRT,291.28,15.85,D
40.98009,-89.69631,305.78,2.02,1.38,2025-03-13,1626,T,60,6.1NRT,291.15,13.37,D
41.00345,-90.04602,310.36,1.92,1.35,2025-03-13,1626,T,65,6.1NRT,289.22,23.13,D
41.07966,-90.98452,320.32,1.69,1.28,2025-03-13,1626,T,75,6.1NRT,292.21,32.54,D
41.07576,-90.96542,373.58,1.69,1.28,2025-03-13,1626,T,0,6.1NRT,293,272.55,D
41.46738,-93.55637,309.52,1.23,1.1,2025-03-13,1626,T,67,6.1NRT,292.63,9.67,D
40.83951,-90.79061,314.99,1.76,1.3,2025-03-13,1626,T,70,6.1NRT,291.3,23.57,D
40.84186,-90.79539,312.26,1.76,1.3,2025-03-13,1626,T,41,6.1NRT,291.4,18.21,D
40.83072,-90.79936,314.5,1.76,1.3,2025-03-13,1626,T,65,6.1NRT,290.97,22.51,D
41.30674,-93.64823,322.66,1.22,1.1,2025-03-13,1626,T,81,6.1NRT,292.32,25.05,D
41.30424,-93.63419,305.02,1.23,1.1,2025-03-13,1626,T,57,6.1NRT,291.45,5.86,D
40.90866,-91.65218,303.81,1.57,1.23,2025-03-13,1626,T,50,6.1NRT,291.98,7.37,D
40.4603,-89.77251,306.96,2.06,1.4,2025-03-13,1626,T,61,6.1NRT,294.69,11.84,D
41.05325,-92.93875,305,1.33,1.14,2025-03-13,1626,T,37,6.1NRT,292.33,6.43,D
41.04336,-92.94196,317.16,1.33,1.14,2025-03-13,1626,T,76,6.1NRT,292.35,20.66,D
40.98684,-92.86317,304.26,1.35,1.15,2025-03-13,1626,T,53,6.1NRT,291.05,7.13,D
41.05435,-94.22655,303.82,1.17,1.08,2025-03-13,1626,T,45,6.1NRT,292.62,4.93,D
40.90478,-93.4372,317.28,1.27,1.12,2025-03-13,1626,T,76,6.1NRT,293.82,18.06,D
40.00956,-89.95016,304.4,2.07,1.4,2025-03-13,1626,T,42,6.1NRT,292.42,7.93,D
40.67995,-94.33441,317.5,1.17,1.08,2025-03-13,1626,T,75,6.1NRT,295.16,15.19,D
