latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-16.64463,136.1403,323.64,1,1,2025-03-13,0018,T,47,6.1NRT,298.28,10.99,D
-16.68264,136.15338,345.86,1,1,2025-03-13,0018,T,93,6.1NRT,298.87,42.69,D
-16.68395,136.16257,335.74,1,1,2025-03-13,0018,T,87,6.1NRT,299.4,25.42,D
-17.57746,134.69499,325.9,1.02,1.01,2025-03-13,0018,T,68,6.1NRT,295.79,12.15,D
-18.00957,137.62096,342.14,1.12,1.05,2025-03-13,0018,T,90,6.1NRT,299.55,42.42,D
-18.01095,137.63121,342.75,1.12,1.05,2025-03-13,0018,T,91,6.1NRT,303.24,42.63,D
-18.01889,137.61961,337.69,1.12,1.05,2025-03-13,0018,T,87,6.1NRT,297.36,33.77,D
-18.02027,137.62987,358.36,1.12,1.05,2025-03-13,0018,T,99,6.1NRT,302.81,82.72,D
-37.01454,139.95898,313.08,2.68,1.57,2025-03-13,0022,T,50,6.1NRT,299.75,21.33,D
-18.02167,137.64023,323.39,1.12,1.05,2025-03-13,0018,T,71,6.1NRT,302.15,10.17,D
-18.02595,137.623,338.4,1.12,1.05,2025-03-13,0018,T,87,6.1NRT,300.24,34.7,D
-37.01934,139.95309,312.96,2.68,1.57,2025-03-13,0022,T,43,6.1NRT,299.45,21.2,D
-18.0273,137.6333,331.42,1.12,1.05,2025-03-13,0018,T,81,6.1NRT,301.39,22.86,D
-37.38568,141.11758,314.52,3.21,1.7,2025-03-13,0022,T,35,6.1NRT,294.52,52.68,D
-17.64754,134.66812,346.93,1.02,1.01,2025-03-13,0018,T,93,6.1NRT,293.51,46.92,D
-37.40091,141.1167,322.58,3.21,1.7,2025-03-13,0022,T,77,6.1NRT,295.47,95.85,D
-17.64894,134.67752,352.16,1.02,1.01,2025-03-13,0018,T,96,6.1NRT,296.04,56.54,D
-38.04052,141.88368,310.37,3.64,1.79,2025-03-13,0022,T,27,6.1NRT,296.59,24.53,D
-17.65646,134.6667,336.53,1.02,1.01,2025-03-13,0018,T,83,6.1NRT,291.92,27.09,D
-38.04908,141.87827,314.02,3.64,1.79,2025-03-13,0022,T,58,6.1NRT,295.33,47.88,D
-38.06513,141.87738,312.89,3.64,1.79,2025-03-13,0022,T,46,6.1NRT,294.59,44.29,D
-17.65786,134.67612,337.57,1.02,1.01,2025-03-13,0018,T,77,6.1NRT,294.67,26.88,D
-17.66677,134.6747,337.46,1.02,1.01,2025-03-13,0018,T,82,6.1NRT,293.61,27.76,D
-17.87291,134.50706,333.81,1.03,1.01,2025-03-13,0018,T,83,6.1NRT,293.15,24.69,D
-17.88043,134.49617,333.34,1.03,1.01,2025-03-13,0018,T,78,6.1NRT,292.24,23.32,D
-17.88186,134.50563,342.38,1.03,1.01,2025-03-13,0018,T,90,6.1NRT,292.6,37.99,D
-17.8908,134.50421,322.94,1.03,1.01,2025-03-13,0018,T,65,6.1NRT,291.73,11.84,D
-20.02052,139.62633,316.91,1.55,1.23,2025-03-13,0018,T,37,6.1NRT,298.66,10.61,D
-20.02227,139.64073,317.06,1.55,1.23,2025-03-13,0018,T,42,6.1NRT,299.6,11.21,D
-20.02458,139.63376,318.03,1.55,1.23,2025-03-13,0018,T,51,6.1NRT,299.06,13.94,D
-20.25357,140.82669,321.9,1.9,1.35,2025-03-13,0018,T,66,6.1NRT,301.18,17.47,D
-20.24732,140.82149,325.13,1.9,1.35,2025-03-13,0018,T,73,6.1NRT,301.22,26.93,D
-19.70347,131.15816,323.73,1.41,1.17,2025-03-13,0018,T,37,6.1NRT,276.29,20.59,D
-22.08756,131.5378,322.36,1.23,1.1,2025-03-13,0018,T,57,6.1NRT,304.93,10.63,D
-24.19421,139.79095,326.24,1.81,1.32,2025-03-13,0020,T,67,6.1NRT,303.27,24.4,D
-24.20405,139.77205,338.33,1.81,1.32,2025-03-13,0020,T,85,6.1NRT,303.5,61.6,D
-24.20592,139.78954,356.53,1.81,1.32,2025-03-13,0020,T,98,6.1NRT,304.43,148.3,D
-24.20781,139.80708,331.78,1.82,1.32,2025-03-13,0020,T,77,6.1NRT,302.86,37.52,D
-24.21386,139.7532,339.22,1.8,1.32,2025-03-13,0020,T,86,6.1NRT,302.46,67.52,D
-24.21575,139.77065,365.66,1.81,1.32,2025-03-13,0020,T,100,6.1NRT,304.62,207.92,D
-24.21764,139.78813,325.14,1.81,1.32,2025-03-13,0020,T,64,6.1NRT,302.59,17.2,D
-24.22555,139.7518,350.59,1.8,1.32,2025-03-13,0020,T,94,6.1NRT,302.61,118.56,D
-24.22745,139.76924,387.39,1.81,1.32,2025-03-13,0020,T,100,6.1NRT,304.93,407.17,D
-24.22936,139.78673,325.64,1.81,1.32,2025-03-13,0020,T,66,6.1NRT,302.5,18.52,D
-24.23723,139.7504,353.42,1.8,1.32,2025-03-13,0020,T,96,6.1NRT,302.07,132.04,D
-24.23915,139.76784,360.1,1.81,1.32,2025-03-13,0020,T,100,6.1NRT,302.56,170.34,D
-24.22314,139.76326,365.38,1.81,1.32,2025-03-13,0020,T,100,6.1NRT,304.22,206.67,D
-24.22492,139.78078,338.07,1.81,1.32,2025-03-13,0020,T,84,6.1NRT,302.9,58.86,D
-24.23305,139.7444,327.94,1.8,1.32,2025-03-13,0020,T,70,6.1NRT,301.96,28.79,D
-24.23484,139.76184,389.31,1.81,1.32,2025-03-13,0020,T,100,6.1NRT,304.72,429.95,D
-24.23664,139.77934,339.55,1.81,1.32,2025-03-13,0020,T,86,6.1NRT,302.49,66.3,D
-23.19933,129.65663,347.44,1.54,1.22,2025-03-13,0020,T,92,6.1NRT,307.06,83.7,D
