latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
19.40005,-155.28598,365.31,3.49,1.76,2025-03-13,0120,A,94,6.1NRT,313.7,581.37,D
19.39685,-155.31761,323.86,3.47,1.75,2025-03-13,0120,A,42,6.1NRT,304.61,92.61,D
19.39539,-155.2908,351.32,3.49,1.76,2025-03-13,0120,A,96,6.1NRT,307.93,358.03,D
19.41078,-155.29283,342.88,3.49,1.76,2025-03-13,0120,A,91,6.1NRT,306.94,257.56,D
21.90903,-77.96534,305.81,1.5,1.21,2025-03-13,0245,T,66,6.1NRT,291.84,11.43,N
22.28848,-79.58189,304.15,1.21,1.09,2025-03-13,0245,T,59,6.1NRT,289.19,9.25,N
22.69976,-79.78059,307.96,1.19,1.09,2025-03-13,0245,T,73,6.1NRT,288.66,11.53,N
22.71076,-79.77062,304.96,1.19,1.09,2025-03-13,0245,T,42,6.1NRT,288.78,9.03,N
22.58964,-81.14649,300.34,1.05,1.02,2025-03-13,0245,T,25,6.1NRT,289.81,4.74,N
25.04378,-78.0415,308.42,1.63,1.26,2025-03-13,0247,T,61,6.1NRT,287.67,20.51,N
25.04212,-78.05733,320.43,1.63,1.26,2025-03-13,0247,T,100,6.1NRT,287.67,40.56,N
28.68776,-82.05386,301.39,1.09,1.04,2025-03-13,0247,T,41,6.1NRT,284.41,8.26,N
30.7513,-89.11416,302.68,1.45,1.19,2025-03-13,0249,T,51,6.1NRT,287.17,10.86,N
32.22841,-85.59187,301.43,1.01,1,2025-03-13,0249,T,27,6.1NRT,286.79,5.71,N
34.43131,-85.5545,302.98,1,1,2025-03-13,0249,T,52,6.1NRT,285.05,7.63,N
34.42983,-85.56509,300.26,1,1,2025-03-13,0249,T,23,6.1NRT,284.54,6.04,N
36.35245,-84.25774,306.82,1.06,1.03,2025-03-13,0249,T,34,6.1NRT,284.75,9.72,N
36.36148,-84.25957,310.45,1.06,1.03,2025-03-13,0249,T,11,6.1NRT,285.3,11.96,N
36.37053,-84.26131,305.77,1.06,1.03,2025-03-13,0249,T,51,6.1NRT,284.18,9.42,N
36.3691,-84.27274,308.18,1.06,1.03,2025-03-13,0249,T,74,6.1NRT,283.13,11.13,N
37.08787,-83.80923,301.81,1.11,1.05,2025-03-13,0249,T,44,6.1NRT,284.43,8.46,N
37.4329,-86.06209,301.78,1,1,2025-03-13,0249,T,44,6.1NRT,269.88,9.06,N
18.43217,-102.48898,301.56,1.38,1.16,2025-03-13,0423,T,39,6.1NRT,290.56,7.16,N
18.43061,-102.50163,302.03,1.37,1.16,2025-03-13,0423,T,43,6.1NRT,290.24,7.76,N
18.43969,-102.49623,312.92,1.38,1.16,2025-03-13,0423,T,86,6.1NRT,289.98,19.09,N
19.08128,-102.07059,314.47,1.5,1.21,2025-03-13,0423,T,89,6.1NRT,297.27,20.44,N
19.07963,-102.08474,323.56,1.49,1.21,2025-03-13,0423,T,100,6.1NRT,297.27,35.74,N
19.09192,-102.07217,310.85,1.5,1.21,2025-03-13,0423,T,81,6.1NRT,295.97,15.59,N
