latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
33.22043,44.76986,301.62,1.47,1.2,2025-03-13,0016,A,43,6.1NRT,283.8,12.78,N
32.48848,47.21892,301.35,2.19,1.43,2025-03-13,0016,A,40,6.1NRT,286.52,20.86,N
32.35656,47.71738,315.59,2.38,1.49,2025-03-13,0016,A,92,6.1NRT,285.57,59.55,N
32.18247,47.52819,301.16,2.33,1.48,2025-03-13,0016,A,38,6.1NRT,284.4,24.87,N
32.12865,47.40676,307.36,2.29,1.47,2025-03-13,0016,A,71,6.1NRT,285.25,35.69,N
12.4273,36.54504,304.06,1.08,1.04,2025-03-13,0022,A,58,6.1NRT,292.48,5.61,N
32.12372,47.42991,310.35,2.3,1.47,2025-03-13,0016,A,80,6.1NRT,285.18,42.98,N
31.66352,47.51539,304.08,2.4,1.49,2025-03-13,0016,A,58,6.1NRT,285.64,29.5,N
12.84259,31.38354,304.38,1.37,1.16,2025-03-13,0022,A,60,6.1NRT,289.6,10.56,N
31.65841,47.53943,306.05,2.41,1.5,2025-03-13,0016,A,67,6.1NRT,286.45,34.34,N
11.94399,30.91965,305.32,1.43,1.18,2025-03-13,0022,A,64,6.1NRT,293.55,9.73,N
11.00647,33.46887,310.11,1.03,1.02,2025-03-13,0022,A,79,6.1NRT,294.76,8.55,N
30.9835,49.52745,300.14,3.41,1.74,2025-03-13,0016,A,19,6.1NRT,285.47,37.17,N
31.27536,48.11515,311.62,2.69,1.57,2025-03-13,0016,A,83,6.1NRT,284.36,58.22,N
11.30558,30.59725,304.33,1.47,1.2,2025-03-13,0022,A,24,6.1NRT,288.17,12.74,N
31.26939,48.14192,303.49,2.7,1.57,2025-03-13,0016,A,55,6.1NRT,284.75,35.77,N
11.30378,30.61028,316.9,1.47,1.2,2025-03-13,0022,A,79,6.1NRT,291.32,29.43,N
31.28386,48.11031,300.9,2.69,1.57,2025-03-13,0016,A,35,6.1NRT,283.9,29.26,N
11.30216,30.54406,307.05,1.48,1.2,2025-03-13,0022,A,65,6.1NRT,290.64,14.39,N
31.27807,48.13714,310.17,2.7,1.57,2025-03-13,0016,A,79,6.1NRT,284.92,53.81,N
10.10468,36.13586,302.88,1.09,1.04,2025-03-13,0022,A,23,6.1NRT,292.03,5.51,N
9.92705,35.3726,306.73,1.03,1.01,2025-03-13,0022,A,69,6.1NRT,293.64,6.56,N
30.72271,49.83875,301.15,3.64,1.79,2025-03-13,0016,A,38,6.1NRT,285.07,45.85,N
9.7432,35.60406,307.34,1.05,1.02,2025-03-13,0022,A,71,6.1NRT,293.52,7.57,N
30.72906,49.83326,302.11,3.64,1.79,2025-03-13,0016,A,47,6.1NRT,285.1,46.47,N
9.61651,32.17861,309.26,1.12,1.06,2025-03-13,0022,A,77,6.1NRT,291.4,10.28,N
31.09465,47.79077,308.94,2.58,1.54,2025-03-13,0016,A,76,6.1NRT,283.95,47.39,N
9.61011,32.15734,314.1,1.13,1.06,2025-03-13,0022,A,88,6.1NRT,290.47,13.89,N
9.60866,32.16732,375.57,1.13,1.06,2025-03-13,0022,A,100,6.1NRT,296.04,161.07,N
31.02992,47.28637,351.14,2.4,1.49,2025-03-13,0016,A,100,6.1NRT,287.53,241.73,N
9.44215,31.9772,301.53,1.15,1.07,2025-03-13,0022,A,42,6.1NRT,289.52,5.7,N
31.02483,47.31026,315.67,2.41,1.5,2025-03-13,0016,A,92,6.1NRT,286.4,59.46,N
30.86193,47.93189,324.7,2.68,1.57,2025-03-13,0016,A,100,6.1NRT,284.5,109.41,N
30.75549,48.27821,316.02,2.84,1.61,2025-03-13,0016,A,92,6.1NRT,285.5,74.66,N
30.74912,48.30637,309.28,2.86,1.61,2025-03-13,0016,A,77,6.1NRT,285.46,51.27,N
30.8686,47.92916,326.37,2.68,1.57,2025-03-13,0016,A,100,6.1NRT,285.18,116.63,N
30.76469,48.27624,302.85,2.84,1.61,2025-03-13,0016,A,52,6.1NRT,285.08,32.38,N
30.75852,48.30446,305,2.86,1.61,2025-03-13,0016,A,62,6.1NRT,285.85,38.51,N
30.74468,48.30031,301.69,2.86,1.61,2025-03-13,0016,A,24,6.1NRT,284.98,28.62,N
30.39036,49.86616,303.98,3.73,1.81,2025-03-13,0016,A,58,6.1NRT,286.24,57.21,N
30.88282,47.34106,315.43,2.44,1.51,2025-03-13,0016,A,91,6.1NRT,284.72,62.29,N
30.88717,47.33498,317.79,2.44,1.51,2025-03-13,0016,A,96,6.1NRT,284.82,69.87,N
30.52803,47.6154,304.17,2.6,1.55,2025-03-13,0016,A,59,6.1NRT,285.51,33.93,N
30.53345,47.61216,300.3,2.6,1.55,2025-03-13,0016,A,24,6.1NRT,285.24,27.19,N
30.57339,47.10053,302.89,2.39,1.49,2025-03-13,0016,A,52,6.1NRT,284.07,29.78,N
30.56833,47.12418,303.01,2.4,1.49,2025-03-13,0016,A,53,6.1NRT,284.45,30.15,N
30.27466,47.74612,327.34,2.69,1.57,2025-03-13,0016,A,100,6.1NRT,286.77,120.34,N
28.49778,49.728,314.24,4.08,1.87,2025-03-13,0018,A,85,6.1NRT,288.53,110.5,N
28.49273,49.71845,312.67,4.08,1.87,2025-03-13,0018,A,79,6.1NRT,288.41,100.74,N
46.03178,48.16001,304.27,1.22,1.1,2025-03-13,0011,A,59,6.1NRT,274.28,14.67,N
47.13411,40.58644,325.92,1.21,1.09,2025-03-13,0011,A,100,6.1NRT,277.52,35.94,N
47.13234,40.60192,303.56,1.2,1.09,2025-03-13,0011,A,33,6.1NRT,276.9,11.23,N
46.31504,40.15465,310.37,1.22,1.1,2025-03-13,0011,A,80,6.1NRT,278.21,18.39,N
46.2352,40.24676,300.19,1.21,1.09,2025-03-13,0011,A,21,6.1NRT,274.02,10.83,N
45.79076,39.47954,321.79,1.29,1.13,2025-03-13,0011,A,100,6.1NRT,272.63,35.37,N
45.58107,39.26445,312.78,1.31,1.13,2025-03-13,0011,A,86,6.1NRT,275.56,23.63,N
35.9717,43.7686,306.52,1.17,1.08,2025-03-13,0013,A,68,6.1NRT,284.17,13.48,N
35.68727,43.87892,332.23,1.19,1.09,2025-03-13,0013,A,100,6.1NRT,282.5,46.35,N
35.62937,44.01749,302.33,1.21,1.1,2025-03-13,0013,A,48,6.1NRT,282.85,11.03,N
35.52995,44.34777,309.66,1.26,1.12,2025-03-13,0013,A,78,6.1NRT,283.18,17.76,N
35.00908,43.49592,301.76,1.17,1.08,2025-03-13,0013,A,44,6.1NRT,283.37,9.44,N
34.90142,43.80332,315.96,1.22,1.1,2025-03-13,0013,A,92,6.1NRT,283.9,23.55,N
34.89915,43.81613,318.48,1.22,1.1,2025-03-13,0013,A,97,6.1NRT,284.78,26.57,N
35.68105,35.97973,307.75,1.43,1.18,2025-03-13,0013,A,72,6.1NRT,287.24,17.48,N
45.93816,121.87232,301.73,1.26,1.11,2025-03-13,0137,T,17,6.1NRT,279.87,6.64,D
45.80922,121.92856,301.13,1.25,1.11,2025-03-13,0137,T,30,6.1NRT,281.33,6.19,D
45.73484,122.33707,300.39,1.2,1.09,2025-03-13,0137,T,33,6.1NRT,281.22,5.9,D
45.74076,121.91447,312.95,1.25,1.11,2025-03-13,0137,T,73,6.1NRT,282.2,15.83,D
45.73583,121.96142,301.38,1.24,1.11,2025-03-13,0137,T,13,6.1NRT,282.48,5.67,D
45.70324,122.17495,300.71,1.22,1.1,2025-03-13,0137,T,32,6.1NRT,281.93,5.73,D
45.68366,122.35654,307.51,1.2,1.09,2025-03-13,0137,T,47,6.1NRT,280.02,9.93,D
45.67682,122.21008,312.96,1.21,1.09,2025-03-13,0137,T,72,6.1NRT,281.58,14.45,D
45.66341,122.33082,309.27,1.2,1.09,2025-03-13,0137,T,39,6.1NRT,280.31,12.13,D
43.86491,124.58728,302.58,1.01,1.01,2025-03-13,0139,T,31,6.1NRT,279.92,5.72,D
42.89738,130.25325,300.67,1.4,1.17,2025-03-13,0139,T,21,6.1NRT,281.1,8.67,D
42.89428,130.2697,312.8,1.41,1.17,2025-03-13,0139,T,69,6.1NRT,280.62,21.83,D
42.88728,130.24971,303.71,1.4,1.17,2025-03-13,0139,T,18,6.1NRT,280.4,10.09,D
42.88417,130.26616,334.68,1.41,1.17,2025-03-13,0139,T,89,6.1NRT,280.83,59.95,D
43.72029,124.62606,314.35,1.01,1,2025-03-13,0139,T,73,6.1NRT,283.5,13.34,D
43.7115,124.62383,304.58,1.01,1,2025-03-13,0139,T,23,6.1NRT,280.55,5.97,D
43.62537,124.85273,302.41,1,1,2025-03-13,0139,T,22,6.1NRT,280.77,5.16,D
43.62368,124.86481,306.19,1,1,2025-03-13,0139,T,59,6.1NRT,280.84,7.81,D
43.61217,124.80521,301.09,1,1,2025-03-13,0139,T,44,6.1NRT,282.31,5.38,D
43.57207,124.83239,300.71,1,1,2025-03-13,0139,T,41,6.1NRT,281.09,4.9,D
43.57038,124.84446,304.2,1,1,2025-03-13,0139,T,58,6.1NRT,279.98,6.87,D
42.75867,129.76535,301.57,1.34,1.15,2025-03-13,0139,T,48,6.1NRT,277.65,9.92,D
42.75571,129.78111,300.88,1.34,1.15,2025-03-13,0139,T,42,6.1NRT,278.01,9.52,D
42.70116,129.7394,331.24,1.34,1.15,2025-03-13,0139,T,87,6.1NRT,280.32,48.62,D
42.69823,129.75519,322.15,1.34,1.15,2025-03-13,0139,T,81,6.1NRT,280.39,32.78,D
42.36339,124.27884,302.82,1.01,1,2025-03-13,0139,T,54,6.1NRT,278.98,8.31,D
