latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-1.89317,115.8614,309.51,1.07,1.03,2025-03-13,0149,T,48,6.1NRT,285.61,7.25,D
-3.72463,115.31689,313.61,1.06,1.03,2025-03-13,0152,T,45,6.1NRT,297.19,6.56,D
-8.12689,113.01401,311.36,1,1,2025-03-13,0152,T,49,6.1NRT,294.44,5.5,D
17.41359,121.68979,312.77,1.29,1.13,2025-03-13,0145,T,66,6.1NRT,297.53,7.67,D
16.68533,121.55164,313.65,1.3,1.13,2025-03-13,0145,T,47,6.1NRT,298.64,8.34,D
15.4265,121.32465,312.44,1.31,1.14,2025-03-13,0145,T,47,6.1NRT,297.42,9.3,D
15.43242,119.9728,321.54,1.11,1.05,2025-03-13,0147,T,75,6.1NRT,302.39,11.52,D
15.14721,120.20969,315.23,1.15,1.07,2025-03-13,0147,T,61,6.1NRT,297.82,7.63,D
14.14707,121.09937,315,1.32,1.14,2025-03-13,0147,T,41,6.1NRT,297.5,8.29,D
13.84138,121.01896,316.97,1.32,1.14,2025-03-13,0147,T,67,6.1NRT,299.28,10.09,D
13.84215,121.01262,316.63,1.32,1.14,2025-03-13,0147,T,53,6.1NRT,299.58,9.09,D
8.22566,124.24661,310.45,2.93,1.63,2025-03-13,0147,T,0,6.1NRT,298.7,23.56,D
6.64055,116.15182,311.36,1,1,2025-03-13,0149,T,48,6.1NRT,295.35,7.47,D
4.05806,117.20857,310.83,1.08,1.04,2025-03-13,0149,T,39,6.1NRT,294.29,5.69,D
3.28335,113.08722,314.42,1.15,1.07,2025-03-13,0149,T,31,6.1NRT,296.58,6.42,D
25.84327,118.99676,314.36,1.04,1.02,2025-03-13,0143,T,72,6.1NRT,291.04,11.31,D
24.65124,117.90845,309.16,1.11,1.05,2025-03-13,0143,T,53,6.1NRT,293.59,5.94,D
25.97156,104.63036,300.17,3.05,1.66,2025-03-13,0321,T,26,6.1NRT,285.12,13.84,D
26.18236,100.53458,304.86,1.54,1.22,2025-03-13,0321,T,0,6.1NRT,290.99,7.9,D
24.87525,105.13869,302.72,3.51,1.76,2025-03-13,0321,T,48,6.1NRT,289.53,23.37,D
25.13474,103.77953,303.04,2.76,1.59,2025-03-13,0321,T,31,6.1NRT,289.98,12.94,D
25.35606,100.74655,300.93,1.65,1.26,2025-03-13,0321,T,23,6.1NRT,288.44,5.08,D
24.52968,104.92653,301.69,3.45,1.75,2025-03-13,0321,T,17,6.1NRT,286.34,14.39,D
24.25541,105.49042,301.42,3.85,1.83,2025-03-13,0321,T,14,6.1NRT,284.5,16.44,D
24.23952,105.48715,301.64,3.85,1.83,2025-03-13,0321,T,19,6.1NRT,285.56,18.74,D
24.56333,102.5499,302.26,2.31,1.47,2025-03-13,0321,T,25,6.1NRT,290.68,11.81,D
23.60032,103.15172,312.5,2.69,1.57,2025-03-13,0321,T,72,6.1NRT,297.05,26.3,D
24.34526,97.36483,306.24,1.1,1.05,2025-03-13,0321,T,57,6.1NRT,287.89,4.67,D
24.3436,97.37527,305.77,1.1,1.05,2025-03-13,0321,T,30,6.1NRT,289.84,4.4,D
23.24977,102.97183,302.85,2.65,1.56,2025-03-13,0321,T,40,6.1NRT,290.79,11.58,D
24.18971,96.27513,307.2,1.02,1.01,2025-03-13,0321,T,45,6.1NRT,294.38,4.2,D
24.39876,93.55535,308.6,1.08,1.04,2025-03-13,0321,T,58,6.1NRT,294.67,6.6,D
24.43212,92.74004,319.04,1.17,1.07,2025-03-13,0321,T,75,6.1NRT,296.26,16.65,D
24.1734,94.33987,310.19,1.02,1.01,2025-03-13,0321,T,60,6.1NRT,296.24,4.43,D
23.80338,96.14294,311.24,1.02,1.01,2025-03-13,0321,T,52,6.1NRT,298.06,4.91,D
24.29754,92.4609,321.92,1.2,1.09,2025-03-13,0321,T,78,6.1NRT,296.92,19.41,D
24.20886,93.17001,315.93,1.11,1.05,2025-03-13,0321,T,72,6.1NRT,297.94,13.46,D
24.20747,93.18092,322.38,1.11,1.05,2025-03-13,0321,T,79,6.1NRT,297.38,20.1,D
24.29457,92.45377,316.26,1.2,1.09,2025-03-13,0321,T,72,6.1NRT,296.86,13.19,D
