latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
8.54789,-64.14841,303.55,3.87,1.83,2025-03-13,0105,T,50,6.1NRT,290.23,24.98,N
8.55592,-64.15482,303.09,3.87,1.83,2025-03-13,0105,T,43,6.1NRT,290.18,25.3,N
9.1667,-62.41644,301.7,2.74,1.58,2025-03-13,0105,T,43,6.1NRT,291.26,14.34,N
9.52232,-63.05043,304.67,3.03,1.66,2025-03-13,0105,T,61,6.1NRT,291.86,25.25,N
9.54551,-63.27703,319.51,3.16,1.68,2025-03-13,0105,T,99,6.1NRT,292.24,83.44,N
9.54106,-63.30468,322.71,3.18,1.69,2025-03-13,0105,T,100,6.1NRT,292.31,101.11,N
9.54541,-63.28346,325.32,3.16,1.68,2025-03-13,0105,T,100,6.1NRT,292.47,116.45,N
9.54076,-63.31109,314.79,3.18,1.69,2025-03-13,0105,T,90,6.1NRT,292.28,62.18,N
9.56473,-63.25851,313.39,3.14,1.68,2025-03-13,0105,T,87,6.1NRT,291.94,55.31,N
9.56015,-63.28597,312.65,3.16,1.68,2025-03-13,0105,T,85,6.1NRT,292.07,52.63,N
9.36712,-64.5276,304.68,4,1.86,2025-03-13,0105,T,60,6.1NRT,291.1,34.3,N
9.37399,-64.53385,306.81,4,1.86,2025-03-13,0105,T,68,6.1NRT,291.02,43.54,N
9.63594,-63.56599,331.78,3.32,1.72,2025-03-13,0105,T,100,6.1NRT,292.6,164.17,N
9.6558,-63.5392,317.77,3.3,1.72,2025-03-13,0105,T,96,6.1NRT,292.45,75.46,N
9.65105,-63.56813,328.96,3.32,1.72,2025-03-13,0105,T,100,6.1NRT,292.39,143.81,N
9.64625,-63.59732,308.81,3.34,1.72,2025-03-13,0105,T,75,6.1NRT,292.18,35.65,N
9.64141,-63.62674,306.16,3.35,1.73,2025-03-13,0105,T,66,6.1NRT,292.25,26.59,N
9.627,-63.71428,318.57,3.41,1.74,2025-03-13,0105,T,97,6.1NRT,292.12,84.65,N
9.62208,-63.74414,321.62,3.43,1.74,2025-03-13,0105,T,100,6.1NRT,291.98,105.72,N
9.65656,-63.62914,334.19,3.35,1.73,2025-03-13,0105,T,100,6.1NRT,292.35,184.57,N
9.63898,-63.5433,306.1,3.3,1.72,2025-03-13,0105,T,7,6.1NRT,292.4,24.05,N
9.63398,-63.5722,317.49,3.32,1.72,2025-03-13,0105,T,95,6.1NRT,292.54,72.27,N
9.65899,-63.5168,306.14,3.28,1.71,2025-03-13,0105,T,65,6.1NRT,292.41,26.4,N
9.65407,-63.54543,324.03,3.3,1.72,2025-03-13,0105,T,100,6.1NRT,292.54,109.26,N
9.64909,-63.57438,337.84,3.32,1.72,2025-03-13,0105,T,100,6.1NRT,292.54,211.86,N
9.62397,-63.72028,325.91,3.41,1.74,2025-03-13,0105,T,100,6.1NRT,292.49,131.24,N
9.61884,-63.75008,312.25,3.43,1.74,2025-03-13,0105,T,84,6.1NRT,291.89,56.34,N
9.65922,-63.60571,304.81,3.34,1.72,2025-03-13,0105,T,51,6.1NRT,292.23,21.93,N
9.65417,-63.6353,336.92,3.35,1.73,2025-03-13,0105,T,100,6.1NRT,292.42,212.02,N
9.71419,-63.55511,303.98,3.3,1.72,2025-03-13,0105,T,56,6.1NRT,292.3,21.65,N
