latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.36192,26.47795,308.03,1.07,1.03,2025-03-13,0028,A,73,6.1NRT,291.89,8.04,N
-18.36349,26.48786,301.76,1.07,1.03,2025-03-13,0028,A,44,6.1NRT,291.37,4.19,N
-18.36789,26.45662,305.28,1.07,1.03,2025-03-13,0028,A,64,6.1NRT,291.75,6.07,N
-18.43521,26.47925,301.45,1.07,1.03,2025-03-13,0028,A,41,6.1NRT,291.36,4.07,N
-24.81195,30.1218,302.02,1.29,1.13,2025-03-13,0033,A,46,6.1NRT,290.01,8,N
-32.17998,19.01787,306.84,1.66,1.27,2025-03-13,0035,A,56,6.1NRT,293.34,13.05,N
-32.28376,19.12651,303.99,1.63,1.26,2025-03-13,0035,A,14,6.1NRT,291.73,9.43,N
-32.28687,19.14243,305.21,1.62,1.25,2025-03-13,0035,A,41,6.1NRT,292.28,11.17,N
-6.85195,12.39489,325.95,2.22,1.44,2025-03-13,0204,A,100,6.1NRT,286.74,71.64,N
-6.8547,12.41442,309.17,2.23,1.45,2025-03-13,0204,A,65,6.1NRT,287.26,23.28,N
-6.85126,12.38771,312.29,2.22,1.44,2025-03-13,0204,A,78,6.1NRT,286.64,30.33,N
-6.85386,12.40727,318.4,2.23,1.45,2025-03-13,0204,A,96,6.1NRT,286.74,47.19,N
-25.8104,29.49399,309.28,1.73,1.29,2025-03-13,0654,T,0,6.1NRT,289.47,11.56,D
-4.7731,39.102,318.57,1.01,1,2025-03-13,0646,T,73,6.1NRT,301.07,7.11,D
-4.77439,39.11089,318,1.01,1,2025-03-13,0646,T,72,6.1NRT,299.68,6.52,D
-32.17641,19.01746,314.99,3.45,1.75,2025-03-13,0835,T,52,6.1NRT,298.77,47.04,D
-32.17876,19.05502,313.28,3.47,1.75,2025-03-13,0835,T,33,6.1NRT,299.76,38.28,D
-32.91724,18.89283,326.73,3.43,1.74,2025-03-13,0835,T,79,6.1NRT,305.12,78.95,D
-32.92798,18.88553,326.11,3.43,1.74,2025-03-13,0835,T,79,6.1NRT,305.4,77.25,D
-32.93007,18.92161,322.49,3.45,1.75,2025-03-13,0835,T,75,6.1NRT,305.35,54.57,D
-32.9682,18.77421,321.68,3.37,1.73,2025-03-13,0835,T,74,6.1NRT,305.47,56.37,D
-4.78346,24.40268,312.89,3.95,1.85,2025-03-13,0824,T,58,6.1NRT,294.11,40.48,D
-4.79067,24.39497,313.3,3.95,1.85,2025-03-13,0824,T,66,6.1NRT,294.19,44.68,D
-4.55578,17.80913,315.48,1.22,1.1,2025-03-13,0826,T,62,6.1NRT,295.26,8.53,D
-4.92681,11.38107,310.33,1.39,1.17,2025-03-13,0826,T,34,6.1NRT,279.33,15.13,D
-6.85796,12.39322,333.04,1.14,1.06,2025-03-13,0826,T,85,6.1NRT,290.48,36,D
-13.92097,22.8931,305.67,4.08,1.87,2025-03-13,0828,T,31,6.1NRT,284.84,22.31,D
-16.55039,48.76877,315.65,2.31,1.47,2025-03-13,1102,A,65,6.1NRT,287.21,28.96,D
-16.55271,48.74823,314.12,2.32,1.47,2025-03-13,1102,A,62,6.1NRT,288.74,27.2,D
-16.55175,48.76209,321.23,2.31,1.47,2025-03-13,1102,A,77,6.1NRT,287.83,43.5,D
-14.23215,49.57539,309.63,1.85,1.33,2025-03-13,1102,A,0,6.1NRT,286.87,18.47,D
-28.69551,32.13142,319.02,1.06,1.03,2025-03-13,1236,A,60,6.1NRT,296.48,12.44,D
-27.42559,31.52779,337.04,1.09,1.04,2025-03-13,1236,A,89,6.1NRT,301.09,37.19,D
-27.427,31.51717,321.48,1.09,1.04,2025-03-13,1236,A,78,6.1NRT,300.3,15.36,D
-26.9607,28.51469,320.33,1.56,1.23,2025-03-13,1236,A,65,6.1NRT,298.47,23.19,D
-22.20085,29.56161,319.67,1.17,1.08,2025-03-13,1238,A,65,6.1NRT,303.12,10.14,D
-18.37849,26.47795,318.87,1.63,1.26,2025-03-13,1238,A,16,6.1NRT,298.54,17.55,D
-17.40144,30.18596,310.49,1.02,1.01,2025-03-13,1238,A,18,6.1NRT,295.99,5.19,D
-15.87024,28.87744,317.23,1.09,1.04,2025-03-13,1240,A,72,6.1NRT,297.73,10.07,D
-8.891,26.21073,312.65,1.25,1.11,2025-03-13,1242,A,65,6.1NRT,296.81,7.04,D
-8.3005,26.76078,313.17,1.15,1.07,2025-03-13,1242,A,63,6.1NRT,298.42,6.29,D
-8.30195,26.75061,315.54,1.15,1.07,2025-03-13,1242,A,68,6.1NRT,298.52,7.98,D
-7.69887,29.52398,305.31,1.01,1,2025-03-13,1242,A,16,6.1NRT,290.17,2.65,D
-7.70018,29.51503,311.97,1.01,1,2025-03-13,1242,A,57,6.1NRT,289.41,7.12,D
-8.00457,27.08178,312.71,1.1,1.05,2025-03-13,1242,A,48,6.1NRT,297.55,6.21,D
-7.96398,26.91992,312.58,1.12,1.06,2025-03-13,1242,A,55,6.1NRT,297.19,6.13,D
-8.27185,23.76029,308.2,1.83,1.33,2025-03-13,1242,A,52,6.1NRT,292.46,9.14,D
-7.98617,24.16608,312.64,1.69,1.28,2025-03-13,1242,A,64,6.1NRT,294.06,13.12,D
-7.59572,24.92481,314.4,1.46,1.2,2025-03-13,1242,A,61,6.1NRT,297.72,10.43,D
-7.64135,24.50876,320.52,1.57,1.24,2025-03-13,1242,A,76,6.1NRT,295.42,24.79,D
-7.51572,24.7621,317.68,1.5,1.21,2025-03-13,1242,A,38,6.1NRT,300.12,17.43,D
-7.498,24.81317,318.54,1.49,1.2,2025-03-13,1242,A,61,6.1NRT,300.62,18.49,D
-7.36104,24.93953,324.13,1.45,1.19,2025-03-13,1242,A,79,6.1NRT,299.74,26.91,D
-7.09673,26.01468,311.95,1.22,1.1,2025-03-13,1242,A,55,6.1NRT,293.67,8.63,D
-6.83264,27.09835,313.41,1.08,1.04,2025-03-13,1242,A,60,6.1NRT,298.18,5.93,D
-6.83399,27.08889,313.87,1.08,1.04,2025-03-13,1242,A,54,6.1NRT,297.65,6.2,D
-6.91036,25.67257,313.34,1.28,1.12,2025-03-13,1242,A,45,6.1NRT,295.99,9.13,D
-6.57506,27.73681,313.86,1.03,1.01,2025-03-13,1242,A,62,6.1NRT,299.64,6.36,D
-6.91418,25.35144,326.36,1.34,1.15,2025-03-13,1242,A,80,6.1NRT,298.03,27.56,D
-6.91582,25.33971,328.63,1.34,1.15,2025-03-13,1242,A,82,6.1NRT,297.68,31.79,D
-6.85675,23.19977,310.47,1.93,1.36,2025-03-13,1242,A,50,6.1NRT,293.44,9.71,D
-6.54013,25.39246,318.74,1.31,1.14,2025-03-13,1242,A,70,6.1NRT,298.4,14.7,D
-6.54176,25.38092,326.81,1.32,1.14,2025-03-13,1242,A,80,6.1NRT,298.84,27.06,D
-6.94712,22.25325,309.28,2.3,1.47,2025-03-13,1242,A,46,6.1NRT,291.91,13.08,D
-6.84591,22.82366,310.32,2.07,1.4,2025-03-13,1242,A,51,6.1NRT,292.96,12.47,D
-6.84834,22.8053,311.69,2.07,1.4,2025-03-13,1242,A,56,6.1NRT,295.62,15.17,D
-6.51254,25.22179,317.48,1.35,1.15,2025-03-13,1242,A,68,6.1NRT,300.41,12.44,D
-6.51204,25.22719,316.22,1.35,1.15,2025-03-13,1242,A,65,6.1NRT,299.76,10.52,D
-6.84238,22.81614,314.16,2.07,1.4,2025-03-13,1242,A,64,6.1NRT,294.88,20.74,D
-6.42992,25.29936,326.07,1.33,1.14,2025-03-13,1242,A,79,6.1NRT,299.32,25.97,D
-6.41347,25.34443,317.18,1.32,1.14,2025-03-13,1242,A,67,6.1NRT,298.03,12.46,D
-6.42992,25.16126,314.35,1.36,1.15,2025-03-13,1242,A,61,6.1NRT,296.37,10.3,D
-6.3537,25.114,314.92,1.36,1.16,2025-03-13,1242,A,62,6.1NRT,297.34,10.23,D
-6.64855,22.93066,313.25,2.01,1.38,2025-03-13,1242,A,61,6.1NRT,291.49,15.79,D
-6.32869,24.62139,316.19,1.47,1.2,2025-03-13,1242,A,65,6.1NRT,299.33,13.49,D
-6.52184,23.09884,319.3,1.94,1.36,2025-03-13,1242,A,72,6.1NRT,295.62,22.1,D
-6.21069,25.26207,318.07,1.33,1.14,2025-03-13,1242,A,68,6.1NRT,299.74,12.28,D
-6.21721,25.07037,314.54,1.37,1.16,2025-03-13,1242,A,55,6.1NRT,298.52,8.58,D
-6.08387,25.21419,362.54,1.33,1.14,2025-03-13,1242,A,94,6.1NRT,300.77,121.68,D
-6.08554,25.20223,338.74,1.33,1.14,2025-03-13,1242,A,36,6.1NRT,305.42,42.37,D
-6.08935,24.1684,315.36,1.58,1.24,2025-03-13,1242,A,63,6.1NRT,296.89,14.75,D
-6.21736,22.99854,311.52,1.95,1.36,2025-03-13,1242,A,54,6.1NRT,295.24,10.64,D
-6.0919,22.75607,314.78,2.03,1.39,2025-03-13,1242,A,64,6.1NRT,295.85,17.78,D
-5.44901,26.90205,314.68,1.07,1.03,2025-03-13,1242,A,51,6.1NRT,297.32,7.26,D
-5.70865,24.53161,319.61,1.46,1.2,2025-03-13,1242,A,53,6.1NRT,300.86,15.72,D
-5.64845,24.89094,319.84,1.38,1.16,2025-03-13,1242,A,71,6.1NRT,301.43,12.81,D
-5.57969,24.36868,318.37,1.5,1.21,2025-03-13,1242,A,70,6.1NRT,297.94,16.77,D
-5.56429,24.24504,310.72,1.53,1.22,2025-03-13,1242,A,36,6.1NRT,294.73,8.73,D
-5.24,25.03225,321.08,1.33,1.14,2025-03-13,1242,A,74,6.1NRT,299.93,13.57,D
-5.08572,24.52938,328.71,1.43,1.18,2025-03-13,1242,A,82,6.1NRT,293.12,33.01,D
-4.94766,24.35509,318.16,1.47,1.2,2025-03-13,1242,A,60,6.1NRT,300.75,12.17,D
-4.89462,24.57917,328.6,1.41,1.18,2025-03-13,1242,A,54,6.1NRT,303.19,21.25,D
-4.87401,24.5758,322.99,1.41,1.18,2025-03-13,1242,A,38,6.1NRT,301.8,13.51,D
-4.76893,24.31757,316.27,1.47,1.2,2025-03-13,1242,A,58,6.1NRT,297.14,10.38,D
-4.77078,24.30461,315.97,1.47,1.2,2025-03-13,1242,A,46,6.1NRT,298.4,10.01,D
-4.53672,25.73444,320.86,1.18,1.08,2025-03-13,1242,A,74,6.1NRT,295.71,15.33,D
