latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.28082,-66.01624,301.05,0.55,0.42,2025-03-13,0559,N,nominal,2.0NRT,272.91,1.65,N
40.88957,-77.7158,299.08,0.63,0.72,2025-03-13,0601,N,nominal,2.0NRT,272.66,3.06,N
40.89424,-77.70951,305.46,0.63,0.72,2025-03-13,0601,N,nominal,2.0NRT,271.89,1.42,N
45.28048,-66.01629,300.68,0.64,0.72,2025-03-13,0739,N,nominal,2.0NRT,266.99,1.65,N
46.24697,-85.89716,328.67,0.39,0.36,2025-03-13,0739,N,nominal,2.0NRT,266.32,3.12,N
45.07356,-83.40659,296.44,0.39,0.37,2025-03-13,0739,N,nominal,2.0NRT,267.61,1.61,N
43.26243,-79.80821,306.32,0.53,0.42,2025-03-13,0741,N,nominal,2.0NRT,265.02,3.28,N
43.03491,-80.17249,304.06,0.52,0.41,2025-03-13,0741,N,nominal,2.0NRT,259.31,0.98,N
43.06967,-80.86055,302.81,0.49,0.4,2025-03-13,0741,N,nominal,2.0NRT,269.85,1.69,N
42.80587,-80.10038,296.7,0.53,0.42,2025-03-13,0741,N,nominal,2.0NRT,270.35,1.47,N
42.80214,-80.10182,313.59,0.53,0.42,2025-03-13,0741,N,nominal,2.0NRT,273.42,1.47,N
42.81667,-81.32746,296.02,0.47,0.4,2025-03-13,0741,N,nominal,2.0NRT,264.75,0.62,N
42.9434,-82.41428,302.1,0.43,0.38,2025-03-13,0741,N,nominal,2.0NRT,268.69,0.91,N
43.88777,-89.55502,327.03,0.45,0.39,2025-03-13,0741,N,nominal,2.0NRT,262.43,3.15,N
43.70323,-88.38697,302.6,0.42,0.37,2025-03-13,0741,N,nominal,2.0NRT,272.19,1.11,N
42.76427,-82.7493,297.5,0.43,0.38,2025-03-13,0741,N,nominal,2.0NRT,269.66,0.65,N
42.7244,-83.26339,304.51,0.41,0.37,2025-03-13,0741,N,nominal,2.0NRT,267.91,0.93,N
43.03308,-85.41094,305.11,0.38,0.36,2025-03-13,0741,N,nominal,2.0NRT,269.27,0.45,N
42.31178,-82.04982,305.65,0.45,0.39,2025-03-13,0741,N,nominal,2.0NRT,268.51,1.33,N
42.28182,-83.11066,314.18,0.42,0.38,2025-03-13,0741,N,nominal,2.0NRT,275.85,1.24,N
42.27782,-83.12804,310.34,0.42,0.38,2025-03-13,0741,N,nominal,2.0NRT,273.13,1.53,N
42.26711,-83.43504,299.55,0.41,0.37,2025-03-13,0741,N,nominal,2.0NRT,268.74,0.7,N
41.74995,-81.28649,296.85,0.49,0.4,2025-03-13,0741,N,nominal,2.0NRT,271.4,0.91,N
40.02337,-74.25117,295.52,0.38,0.59,2025-03-13,0741,N,nominal,2.0NRT,273.98,0.33,N
40.89069,-77.70853,312.75,0.49,0.49,2025-03-13,0741,N,nominal,2.0NRT,274.93,3.25,N
43.09421,-92.72048,303.72,0.39,0.44,2025-03-13,0741,N,nominal,2.0NRT,269.99,1.86,N
41.21718,-80.509,307.58,0.54,0.42,2025-03-13,0741,N,nominal,2.0NRT,274.91,1.19,N
42.47901,-87.88432,300.23,0.4,0.37,2025-03-13,0741,N,nominal,2.0NRT,269.26,0.56,N
40.83413,-79.93652,302.85,0.39,0.44,2025-03-13,0741,N,nominal,2.0NRT,274.03,1.16,N
41.87489,-85.34074,296.42,0.39,0.36,2025-03-13,0741,N,nominal,2.0NRT,271.24,0.48,N
41.46845,-83.36829,321.59,0.42,0.38,2025-03-13,0741,N,nominal,2.0NRT,273.69,2.18,N
41.47816,-83.46019,311.14,0.42,0.38,2025-03-13,0741,N,nominal,2.0NRT,270.98,1.4,N
41.46071,-83.36555,315.13,0.42,0.38,2025-03-13,0741,N,nominal,2.0NRT,273.88,1.75,N
41.56678,-84.0472,327.19,0.41,0.37,2025-03-13,0741,N,nominal,2.0NRT,274.36,2.25,N
41.56592,-84.04237,298.04,0.41,0.37,2025-03-13,0741,N,nominal,2.0NRT,270,2.25,N
40.66526,-80.34167,304.82,0.56,0.43,2025-03-13,0741,N,nominal,2.0NRT,274.13,1.42,N
41.22587,-83.206,315.3,0.43,0.38,2025-03-13,0741,N,nominal,2.0NRT,272.52,1.81,N
41.95285,-88.14564,302.38,0.4,0.37,2025-03-13,0741,N,nominal,2.0NRT,272.71,0.52,N
41.30698,-84.33736,298.64,0.4,0.37,2025-03-13,0741,N,nominal,2.0NRT,268.02,0.63,N
40.39745,-79.85402,299.81,0.4,0.44,2025-03-13,0741,N,nominal,2.0NRT,277.08,1.4,N
40.39445,-79.85989,305.76,0.4,0.44,2025-03-13,0741,N,nominal,2.0NRT,277.95,1.4,N
40.39344,-79.85532,315.79,0.4,0.44,2025-03-13,0741,N,nominal,2.0NRT,279.57,1.4,N
40.39243,-79.85076,307.21,0.4,0.44,2025-03-13,0741,N,nominal,2.0NRT,277.35,1.48,N
