latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.76852,101.94041,338.48,0.72,0.76,2025-03-13,0527,N,nominal,2.0NRT,295.81,8.44,D
19.87253,101.98141,367,0.71,0.75,2025-03-13,0527,N,high,2.0NRT,292.71,13.31,D
19.87912,101.97853,367,0.71,0.75,2025-03-13,0527,N,high,2.0NRT,290.91,18.54,D
19.92925,101.33073,339.59,0.78,0.78,2025-03-13,0527,N,nominal,2.0NRT,293.95,16.53,D
19.92994,101.30289,351.7,0.78,0.78,2025-03-13,0527,N,nominal,2.0NRT,287.51,8.89,D
20.00579,101.42783,331.97,0.77,0.77,2025-03-13,0527,N,nominal,2.0NRT,297.47,7.3,D
19.9859,101.31543,338.5,0.78,0.78,2025-03-13,0527,N,nominal,2.0NRT,300.85,11.04,D
20.00752,101.42462,340.94,0.76,0.77,2025-03-13,0527,N,nominal,2.0NRT,298.15,7.81,D
19.989,101.32057,330.05,0.78,0.78,2025-03-13,0527,N,low,2.0NRT,301.56,11.14,D
19.98706,101.31281,332.18,0.78,0.78,2025-03-13,0527,N,nominal,2.0NRT,300.28,11.83,D
20.05982,101.48431,336.6,0.76,0.77,2025-03-13,0527,N,nominal,2.0NRT,298,10.4,D
20.11732,101.47512,346.38,0.76,0.77,2025-03-13,0527,N,nominal,2.0NRT,299.81,13.77,D
20.1148,101.47837,328.03,0.75,0.77,2025-03-13,0527,N,low,2.0NRT,299.35,5.49,D
20.11292,101.47088,328.12,0.76,0.77,2025-03-13,0527,N,low,2.0NRT,298.76,5.49,D
20.34673,101.05855,333.31,0.79,0.78,2025-03-13,0527,N,nominal,2.0NRT,295.58,8.94,D
20.5685,101.14207,346.19,0.77,0.78,2025-03-13,0527,N,nominal,2.0NRT,295.34,12.65,D
20.57566,101.14056,367,0.77,0.78,2025-03-13,0527,N,high,2.0NRT,294.18,12.65,D
20.57013,101.13992,367,0.77,0.78,2025-03-13,0527,N,high,2.0NRT,297.16,30.21,D
21.10173,101.66599,367,0.7,0.75,2025-03-13,0527,N,high,2.0NRT,298.53,225.87,D
21.1001,101.65939,208,0.7,0.75,2025-03-13,0527,N,low,2.0NRT,309,115.77,D
21.10748,101.6599,327.52,0.7,0.75,2025-03-13,0527,N,nominal,2.0NRT,292.1,115.77,D
21.01769,101.14752,328.18,0.76,0.77,2025-03-13,0527,N,nominal,2.0NRT,293.11,5.18,D
21.01299,101.14626,326.91,0.76,0.77,2025-03-13,0527,N,nominal,2.0NRT,294.42,5.37,D
21.5503,101.75548,335.24,0.68,0.74,2025-03-13,0527,N,nominal,2.0NRT,294.04,5.87,D
21.65344,101.87913,325.38,0.66,0.73,2025-03-13,0527,N,nominal,2.0NRT,298.61,3.1,D
18.627,97.25629,341.86,0.43,0.46,2025-03-13,0707,N,nominal,2.0NRT,310.59,3.36,D
21.41598,94.2492,353.81,0.48,0.4,2025-03-13,0709,N,nominal,2.0NRT,310.81,13.36,D
23.15907,93.47825,341.54,0.46,0.39,2025-03-13,0709,N,nominal,2.0NRT,300.58,10.87,D
23.20641,93.28262,354.4,0.45,0.39,2025-03-13,0709,N,nominal,2.0NRT,303.32,55.77,D
23.33531,93.26472,367,0.45,0.39,2025-03-13,0709,N,high,2.0NRT,331.41,72.93,D
23.68417,93.67221,355.23,0.47,0.4,2025-03-13,0709,N,nominal,2.0NRT,302.84,12.1,D
12.48668,98.69289,335.31,0.44,0.46,2025-03-13,0705,N,nominal,2.0NRT,296.08,7.06,D
13.16635,98.60492,331.76,0.45,0.47,2025-03-13,0705,N,nominal,2.0NRT,295.44,4.02,D
13.56417,100.04063,334.94,0.56,0.52,2025-03-13,0705,N,nominal,2.0NRT,292.98,4.66,D
13.56404,100.04272,332.63,0.56,0.52,2025-03-13,0705,N,nominal,2.0NRT,293.14,3.39,D
13.96187,101.74001,330.17,0.37,0.58,2025-03-13,0705,N,nominal,2.0NRT,291.49,2.21,D
13.807,98.1711,335.62,0.43,0.46,2025-03-13,0707,N,nominal,2.0NRT,295.9,8.65,D
13.80647,98.16711,355.61,0.43,0.46,2025-03-13,0707,N,nominal,2.0NRT,297.71,8.65,D
13.81174,98.17453,339.95,0.43,0.46,2025-03-13,0707,N,nominal,2.0NRT,294.86,4.4,D
13.81122,98.17053,331.74,0.43,0.46,2025-03-13,0707,N,nominal,2.0NRT,295.69,6.7,D
13.8107,98.16654,354.19,0.43,0.46,2025-03-13,0707,N,nominal,2.0NRT,295.79,6.7,D
13.82072,98.17738,353.79,0.43,0.46,2025-03-13,0707,N,nominal,2.0NRT,298.57,21.8,D
13.82547,98.18081,352.83,0.43,0.46,2025-03-13,0707,N,nominal,2.0NRT,298.32,39.48,D
13.82495,98.17682,350.88,0.43,0.46,2025-03-13,0707,N,nominal,2.0NRT,296.49,21.8,D
14.13271,98.20123,336.57,0.43,0.46,2025-03-13,0707,N,nominal,2.0NRT,295.61,3.23,D
