latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.40664,-155.27292,367,0.54,0.68,2025-03-13,0022,N,high,2.0NRT,328.64,67.93,D
19.40569,-155.28349,367,0.54,0.68,2025-03-13,0022,N,high,2.0NRT,330.33,73.05,D
19.4052,-155.28902,367,0.54,0.68,2025-03-13,0022,N,high,2.0NRT,347.45,76.34,D
19.40617,-155.27818,354.01,0.54,0.68,2025-03-13,0022,N,nominal,2.0NRT,319.63,73.05,D
19.41296,-155.27348,367,0.54,0.68,2025-03-13,0022,N,high,2.0NRT,329.34,77.82,D
19.41197,-155.28448,367,0.54,0.68,2025-03-13,0022,N,high,2.0NRT,339.44,39.55,D
19.41434,-155.25809,327.55,0.54,0.68,2025-03-13,0022,N,nominal,2.0NRT,291.01,10.74,D
19.41145,-155.29024,356.79,0.54,0.68,2025-03-13,0022,N,nominal,2.0NRT,312.39,36.5,D
19.41248,-155.27888,355.31,0.54,0.68,2025-03-13,0022,N,low,2.0NRT,348.52,39.55,D
19.41877,-155.27975,330.37,0.54,0.68,2025-03-13,0022,N,nominal,2.0NRT,294.05,39.55,D
19.4182,-155.28604,329.9,0.54,0.68,2025-03-13,0022,N,nominal,2.0NRT,296.48,39.55,D
45.28082,-66.01624,301.05,0.55,0.42,2025-03-13,0559,N,nominal,2.0NRT,272.91,1.65,N
40.88957,-77.7158,299.08,0.63,0.72,2025-03-13,0601,N,nominal,2.0NRT,272.66,3.06,N
40.89424,-77.70951,305.46,0.63,0.72,2025-03-13,0601,N,nominal,2.0NRT,271.89,1.42,N
39.93855,-76.81454,307.5,0.56,0.69,2025-03-13,0601,N,nominal,2.0NRT,274.21,2.08,N
39.9386,-76.81539,312.4,0.56,0.69,2025-03-13,0601,N,nominal,2.0NRT,274.75,1.69,N
37.13913,-78.79549,298.63,0.69,0.74,2025-03-13,0601,N,nominal,2.0NRT,277.71,0.98,N
36.35421,-76.80725,328.87,0.53,0.67,2025-03-13,0601,N,nominal,2.0NRT,281.8,2.58,N
33.01509,-79.89133,306.78,0.75,0.77,2025-03-13,0603,N,nominal,2.0NRT,285.07,3.92,N
33.01489,-79.88284,313.4,0.75,0.77,2025-03-13,0603,N,nominal,2.0NRT,284.79,3.28,N
33.01334,-79.88656,330.11,0.75,0.77,2025-03-13,0603,N,nominal,2.0NRT,285.47,4.97,N
