latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-45.92179,168.28047,336.65,0.49,0.49,2025-03-13,0211,N20,nominal,2.0NRT,291.47,4.88,D
-44.26418,171.24251,325.34,0.52,0.42,2025-03-13,0211,N20,nominal,2.0NRT,293.87,3.85,D
-43.60384,171.56651,333.57,0.5,0.41,2025-03-13,0211,N20,nominal,2.0NRT,291.26,4.21,D
-42.80447,172.5887,331.16,0.45,0.39,2025-03-13,0211,N20,nominal,2.0NRT,297.04,2.69,D
-42.80318,172.59265,333.27,0.45,0.39,2025-03-13,0211,N20,nominal,2.0NRT,296.74,5.27,D
-39.52629,174.38013,327.61,0.39,0.36,2025-03-13,0211,N20,nominal,2.0NRT,294.94,1.38,D
-39.00864,174.31447,335.57,0.39,0.36,2025-03-13,0211,N20,nominal,2.0NRT,302.14,3.13,D
-39.00729,174.31485,332.48,0.39,0.36,2025-03-13,0211,N20,nominal,2.0NRT,301.46,2.77,D
-37.8832,176.10539,330.99,0.39,0.36,2025-03-13,0211,N20,nominal,2.0NRT,292.29,3.74,D
-46.31182,168.46396,338.62,0.45,0.63,2025-03-13,0349,N20,nominal,2.0NRT,286.78,4.19,D
-46.31356,168.45844,330.48,0.45,0.63,2025-03-13,0349,N20,nominal,2.0NRT,288.54,4.19,D
-44.29322,171.03625,367,0.67,0.73,2025-03-13,0349,N20,high,2.0NRT,291.33,17,D
-44.29306,171.03548,367,0.67,0.73,2025-03-13,0349,N20,high,2.0NRT,290.82,14.03,D
-43.13717,170.27032,331.04,0.67,0.74,2025-03-13,0349,N20,nominal,2.0NRT,287.45,4.35,D
-43.13745,170.26945,330.69,0.67,0.74,2025-03-13,0349,N20,nominal,2.0NRT,287.74,3.99,D
-41.74111,146.90132,327.92,0.45,0.39,2025-03-13,0351,N20,nominal,2.0NRT,297.65,1.53,D
-41.60844,145.80438,338.59,0.49,0.4,2025-03-13,0351,N20,nominal,2.0NRT,287.92,4.95,D
-41.60915,145.79807,350.5,0.49,0.4,2025-03-13,0351,N20,nominal,2.0NRT,302.93,12.59,D
-41.60986,145.79172,355.92,0.49,0.4,2025-03-13,0351,N20,nominal,2.0NRT,305.42,12.59,D
-41.60472,145.80344,338.83,0.49,0.4,2025-03-13,0351,N20,nominal,2.0NRT,285.83,4.95,D
-41.60541,145.79721,343.57,0.49,0.4,2025-03-13,0351,N20,nominal,2.0NRT,292.85,12.59,D
-37.83271,144.78891,343.46,0.49,0.4,2025-03-13,0351,N20,nominal,2.0NRT,305.46,5.65,D
-38.07768,141.87134,356.54,0.46,0.47,2025-03-13,0351,N20,nominal,2.0NRT,303.92,10.75,D
-38.0724,141.88141,330.07,0.46,0.47,2025-03-13,0351,N20,nominal,2.0NRT,298.61,12.6,D
-38.07285,141.87607,356.52,0.46,0.47,2025-03-13,0351,N20,nominal,2.0NRT,306.19,12.6,D
-38.07331,141.87073,347.09,0.46,0.47,2025-03-13,0351,N20,nominal,2.0NRT,303.6,10.75,D
-37.93676,143.31587,343.12,0.38,0.43,2025-03-13,0351,N20,nominal,2.0NRT,310.6,6.22,D
-38.06802,141.8808,356.37,0.46,0.47,2025-03-13,0351,N20,nominal,2.0NRT,308.1,14.65,D
-38.06848,141.87547,337.77,0.46,0.47,2025-03-13,0351,N20,nominal,2.0NRT,301.55,14.65,D
-37.93359,143.30637,367,0.38,0.44,2025-03-13,0351,N20,high,2.0NRT,312.88,8.65,D
-37.93272,143.31523,344.61,0.38,0.43,2025-03-13,0351,N20,nominal,2.0NRT,310.32,6.22,D
-37.93315,143.31082,348.5,0.38,0.44,2025-03-13,0351,N20,nominal,2.0NRT,312.22,6.22,D
-38.0632,141.88548,343.12,0.45,0.47,2025-03-13,0351,N20,nominal,2.0NRT,302.86,18.87,D
-38.06366,141.88017,344.49,0.46,0.47,2025-03-13,0351,N20,nominal,2.0NRT,306.73,14.65,D
-37.92911,143.31017,347.27,0.38,0.44,2025-03-13,0351,N20,nominal,2.0NRT,312.66,5.01,D
-37.92955,143.30569,338.84,0.38,0.44,2025-03-13,0351,N20,nominal,2.0NRT,309.13,3.34,D
-38.05883,141.88489,350.48,0.45,0.47,2025-03-13,0351,N20,nominal,2.0NRT,307.17,25.51,D
-38.05928,141.87958,331.08,0.46,0.47,2025-03-13,0351,N20,low,2.0NRT,301.1,10.09,D
-38.05446,141.88428,352.39,0.45,0.47,2025-03-13,0351,N20,nominal,2.0NRT,301.25,25.51,D
-37.92928,143.30661,343.32,0.38,0.43,2025-03-13,0351,N20,nominal,2.0NRT,310.76,3.93,D
-38.06752,141.88333,343.19,0.45,0.47,2025-03-13,0351,N20,nominal,2.0NRT,302.84,14.29,D
-38.068,141.87801,352.45,0.45,0.47,2025-03-13,0351,N20,nominal,2.0NRT,306.74,14.29,D
-38.06314,141.88272,352.85,0.45,0.47,2025-03-13,0351,N20,nominal,2.0NRT,309.53,14.29,D
-38.06363,141.87741,330.75,0.45,0.47,2025-03-13,0351,N20,low,2.0NRT,301.99,14.29,D
-38.0583,141.88742,339.21,0.45,0.47,2025-03-13,0351,N20,nominal,2.0NRT,298.31,19.47,D
-38.05878,141.88213,341.83,0.45,0.47,2025-03-13,0351,N20,nominal,2.0NRT,309.28,20.03,D
-38.05441,141.88152,337.45,0.45,0.47,2025-03-13,0351,N20,nominal,2.0NRT,301.29,20.03,D
-38.04956,141.88623,341.48,0.45,0.47,2025-03-13,0351,N20,nominal,2.0NRT,303.6,11.89,D
-38.05051,141.87563,349.41,0.45,0.47,2025-03-13,0351,N20,nominal,2.0NRT,301.68,22.06,D
-38.05195,141.85973,330.13,0.46,0.47,2025-03-13,0351,N20,low,2.0NRT,302.62,2.65,D
-38.04853,141.84853,331.92,0.46,0.47,2025-03-13,0351,N20,low,2.0NRT,302.39,6.82,D
-38.0451,141.83731,330.55,0.46,0.47,2025-03-13,0351,N20,low,2.0NRT,303.5,2.65,D
-37.88422,143.18207,336,0.39,0.44,2025-03-13,0351,N20,nominal,2.0NRT,308.95,8.11,D
-37.88059,143.17699,367,0.39,0.44,2025-03-13,0351,N20,high,2.0NRT,314.33,8.11,D
-37.88015,143.18146,343.06,0.39,0.44,2025-03-13,0351,N20,nominal,2.0NRT,311.65,8.11,D
-37.87652,143.17638,343.31,0.39,0.44,2025-03-13,0351,N20,nominal,2.0NRT,311,5.12,D
-37.87696,143.17191,343.03,0.39,0.44,2025-03-13,0351,N20,nominal,2.0NRT,311.85,4.07,D
-37.81489,143.34352,356.35,0.57,0.43,2025-03-13,0351,N20,nominal,2.0NRT,316.39,20.64,D
-37.81553,143.33699,349.82,0.57,0.43,2025-03-13,0351,N20,nominal,2.0NRT,313.47,6.93,D
-37.81214,143.3298,345.42,0.57,0.43,2025-03-13,0351,N20,nominal,2.0NRT,314.63,7.06,D
-37.81534,143.33612,367,0.57,0.43,2025-03-13,0351,N20,high,2.0NRT,314.4,12.54,D
