latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
55.25912,38.74326,295.24,0.62,0.72,2025-03-13,0113,N20,nominal,2.0NRT,275.63,1.27,N
51.1955,35.26327,308.69,0.7,0.75,2025-03-13,0113,N20,nominal,2.0NRT,272.05,1.89,N
51.19344,35.26252,306.63,0.7,0.75,2025-03-13,0113,N20,nominal,2.0NRT,272.13,2.74,N
50.86088,33.29367,313.57,0.61,0.71,2025-03-13,0115,N20,nominal,2.0NRT,265.5,1.48,N
66.95788,75.54092,355.91,0.74,0.76,2025-03-13,0107,N20,nominal,2.0NRT,259.78,11.04,N
66.96038,75.54056,323.35,0.74,0.76,2025-03-13,0107,N20,nominal,2.0NRT,258.77,8.82,N
66.95393,75.54613,344.07,0.74,0.76,2025-03-13,0107,N20,nominal,2.0NRT,260.86,11,N
66.20437,70.98918,323.29,0.75,0.77,2025-03-13,0107,N20,nominal,2.0NRT,249.75,6.55,N
66.19812,70.99574,327.75,0.75,0.77,2025-03-13,0107,N20,nominal,2.0NRT,254.37,7.39,N
36.51248,138.55296,325.84,0.78,0.78,2025-03-13,0234,N20,nominal,2.0NRT,279.42,3.92,D
34.49115,133.714,326.64,0.41,0.37,2025-03-13,0414,N20,nominal,2.0NRT,285.23,4.27,D
35.03232,136.86819,329.98,0.55,0.43,2025-03-13,0414,N20,nominal,2.0NRT,283.1,2.88,D
34.91391,127.7485,327.51,0.45,0.39,2025-03-13,0414,N20,nominal,2.0NRT,290.17,3.21,D
34.92094,127.7466,326.69,0.45,0.39,2025-03-13,0414,N20,nominal,2.0NRT,292.49,4.78,D
34.92447,127.74563,340.22,0.45,0.39,2025-03-13,0414,N20,nominal,2.0NRT,294.01,5.01,D
37.75417,126.8594,327.33,0.45,0.39,2025-03-13,0414,N20,nominal,2.0NRT,290.54,1.28,D
37.81882,126.83279,339.68,0.45,0.39,2025-03-13,0414,N20,nominal,2.0NRT,291.63,2.75,D
36.93861,122.20323,332.76,0.51,0.49,2025-03-13,0414,N20,nominal,2.0NRT,280.18,4.66,D
36.82673,121.10905,339.71,0.59,0.52,2025-03-13,0414,N20,nominal,2.0NRT,293.6,12.5,D
36.82516,121.10258,355.78,0.59,0.53,2025-03-13,0414,N20,nominal,2.0NRT,296.29,21.42,D
36.80789,120.70219,329.69,0.62,0.54,2025-03-13,0414,N20,nominal,2.0NRT,296.27,2.88,D
36.52583,119.21771,327.8,0.38,0.58,2025-03-13,0414,N20,nominal,2.0NRT,291.53,2.34,D
37.04007,120.92184,337.92,0.59,0.53,2025-03-13,0414,N20,nominal,2.0NRT,300.48,14.13,D
36.91359,120.38081,348,0.32,0.54,2025-03-13,0414,N20,nominal,2.0NRT,295.44,3.08,D
37.04964,120.8392,327.95,0.6,0.53,2025-03-13,0414,N20,nominal,2.0NRT,296.88,5.59,D
37.10786,120.24213,334,0.32,0.55,2025-03-13,0414,N20,nominal,2.0NRT,294.26,2.91,D
37.00937,119.66311,349.99,0.35,0.56,2025-03-13,0414,N20,nominal,2.0NRT,296.41,3.91,D
37.00517,119.27838,329.76,0.36,0.58,2025-03-13,0414,N20,nominal,2.0NRT,293.87,2.05,D
37.00521,119.27775,329.11,0.36,0.58,2025-03-13,0414,N20,nominal,2.0NRT,294.56,2.2,D
37.24786,120.16197,330.01,0.32,0.55,2025-03-13,0414,N20,nominal,2.0NRT,296.82,1.6,D
38.88938,127.43708,344.89,0.42,0.38,2025-03-13,0414,N20,nominal,2.0NRT,298.31,4.58,D
9.90688,124.40068,325.58,0.71,0.75,2025-03-13,0406,N20,nominal,2.0NRT,293.77,6.24,D
37.14142,118.43484,326.83,0.4,0.6,2025-03-13,0414,N20,nominal,2.0NRT,287.64,3.7,D
17.01431,121.55679,325.58,0.79,0.78,2025-03-13,0408,N20,nominal,2.0NRT,290.66,3.43,D
37.20544,118.23283,328.48,0.41,0.6,2025-03-13,0414,N20,nominal,2.0NRT,291.25,1.78,D
