latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-16.61051,-43.33244,320.93,0.55,0.68,2025-03-13,0317,N20,nominal,2.0NRT,288.06,2.42,N
-16.61439,-43.33372,322.3,0.55,0.68,2025-03-13,0317,N20,nominal,2.0NRT,288.27,2.58,N
-20.04039,-39.52711,324.26,0.53,0.5,2025-03-13,0317,N20,nominal,2.0NRT,290.98,4.89,N
-19.92287,-41.52165,318.2,0.36,0.57,2025-03-13,0317,N20,nominal,2.0NRT,287.73,2.06,N
-19.92213,-41.52143,315.38,0.36,0.57,2025-03-13,0317,N20,nominal,2.0NRT,287.24,2.98,N
-20.2302,-40.24504,326.23,0.59,0.53,2025-03-13,0317,N20,nominal,2.0NRT,291.23,4.62,N
-20.23251,-40.23389,323.92,0.59,0.53,2025-03-13,0317,N20,nominal,2.0NRT,292.33,3.3,N
-20.23136,-40.23945,312.28,0.59,0.53,2025-03-13,0317,N20,nominal,2.0NRT,291.28,3.3,N
-20.23366,-40.22834,309.94,0.59,0.52,2025-03-13,0317,N20,nominal,2.0NRT,292.1,2.47,N
-20.23614,-40.2406,313.07,0.59,0.53,2025-03-13,0317,N20,nominal,2.0NRT,291.07,1.8,N
-20.24092,-40.24175,309.34,0.59,0.53,2025-03-13,0317,N20,nominal,2.0NRT,291.82,1.8,N
-20.24571,-40.24288,337.82,0.59,0.53,2025-03-13,0317,N20,nominal,2.0NRT,291.66,4.81,N
-20.25049,-40.24403,311.73,0.59,0.53,2025-03-13,0317,N20,nominal,2.0NRT,291.36,4.81,N
-19.81839,-43.12905,336.05,0.46,0.63,2025-03-13,0317,N20,nominal,2.0NRT,287.51,2.21,N
-19.82402,-43.13106,302.72,0.46,0.63,2025-03-13,0317,N20,nominal,2.0NRT,287.22,2.21,N
-20.54968,-43.77217,343.92,0.48,0.65,2025-03-13,0319,N20,nominal,2.0NRT,285.93,6.28,N
