latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
20.49663,97.33932,367,0.56,0.69,2025-03-13,0553,N20,high,2.0NRT,302.14,12.46,D
12.48694,98.69492,327.92,0.66,0.73,2025-03-13,0550,N20,nominal,2.0NRT,288.38,6.62,D
13.92647,101.43167,335.37,0.41,0.61,2025-03-13,0550,N20,nominal,2.0NRT,286.48,1.77,D
13.80783,98.1739,332.71,0.68,0.74,2025-03-13,0550,N20,nominal,2.0NRT,287.9,10.7,D
13.82251,98.17711,328.9,0.68,0.74,2025-03-13,0550,N20,nominal,2.0NRT,288.48,7.02,D
14.76373,100.82394,333.89,0.43,0.62,2025-03-13,0550,N20,nominal,2.0NRT,289.21,1.14,D
15.14408,101.21129,335.83,0.4,0.6,2025-03-13,0550,N20,nominal,2.0NRT,292.25,2.3,D
15.21588,101.11454,335.55,0.41,0.6,2025-03-13,0550,N20,nominal,2.0NRT,293.27,4.43,D
15.38391,101.24008,336.44,0.4,0.6,2025-03-13,0550,N20,nominal,2.0NRT,293.9,2.45,D
15.3623,100.82444,339.84,0.42,0.61,2025-03-13,0550,N20,nominal,2.0NRT,293.47,3.5,D
15.54197,101.57177,346.85,0.37,0.58,2025-03-13,0550,N20,nominal,2.0NRT,290.09,3.9,D
15.51845,101.11623,337.24,0.4,0.6,2025-03-13,0550,N20,nominal,2.0NRT,294.57,1.45,D
15.51958,101.11659,334.96,0.4,0.6,2025-03-13,0550,N20,nominal,2.0NRT,293.7,1.34,D
15.5623,100.48439,335.43,0.44,0.62,2025-03-13,0550,N20,nominal,2.0NRT,293.06,7.6,D
15.87967,101.88015,330.43,0.35,0.57,2025-03-13,0550,N20,nominal,2.0NRT,291.87,1.51,D
15.61241,100.57076,333.48,0.43,0.62,2025-03-13,0550,N20,nominal,2.0NRT,295.13,3.49,D
15.82788,100.92018,338.87,0.41,0.6,2025-03-13,0550,N20,nominal,2.0NRT,295.44,2.93,D
15.83024,100.87589,332.83,0.41,0.61,2025-03-13,0550,N20,nominal,2.0NRT,295.42,2.75,D
15.66022,99.59402,330.67,0.5,0.66,2025-03-13,0550,N20,nominal,2.0NRT,292.53,3.12,D
15.97359,100.67774,332.89,0.42,0.61,2025-03-13,0550,N20,nominal,2.0NRT,293.92,7.27,D
16.02813,100.80936,342.73,0.41,0.61,2025-03-13,0550,N20,nominal,2.0NRT,295.87,4.66,D
15.97238,100.48221,347.05,0.43,0.62,2025-03-13,0550,N20,nominal,2.0NRT,295.4,6.72,D
15.56234,98.16631,331.63,0.63,0.72,2025-03-13,0550,N20,nominal,2.0NRT,289.03,7.76,D
15.5609,98.15955,333.02,0.63,0.72,2025-03-13,0550,N20,nominal,2.0NRT,289.61,9.52,D
15.99434,99.74214,335.69,0.48,0.65,2025-03-13,0550,N20,nominal,2.0NRT,291.67,4.47,D
15.8339,98.49004,343.78,0.59,0.7,2025-03-13,0550,N20,nominal,2.0NRT,293.65,11.37,D
15.82956,98.49007,332.3,0.59,0.7,2025-03-13,0550,N20,nominal,2.0NRT,293.34,4.53,D
15.83587,98.48858,338.03,0.59,0.7,2025-03-13,0550,N20,nominal,2.0NRT,292.96,10.65,D
16.57772,101.34435,330.41,0.37,0.58,2025-03-13,0550,N20,nominal,2.0NRT,295.58,2.6,D
16.13051,98.8382,333.1,0.55,0.68,2025-03-13,0550,N20,nominal,2.0NRT,293.59,7.65,D
16.13448,98.83285,330.79,0.55,0.68,2025-03-13,0550,N20,nominal,2.0NRT,294.64,9.46,D
16.1966,98.8514,339.46,0.55,0.68,2025-03-13,0550,N20,nominal,2.0NRT,296.68,7.76,D
16.1958,98.8175,346.35,0.55,0.68,2025-03-13,0550,N20,nominal,2.0NRT,293.73,4.06,D
16.20378,98.64149,367,0.57,0.69,2025-03-13,0550,N20,high,2.0NRT,294.4,22.05,D
16.71008,101.06257,335.13,0.38,0.59,2025-03-13,0550,N20,nominal,2.0NRT,294.83,5.55,D
16.20053,98.63985,367,0.57,0.69,2025-03-13,0550,N20,high,2.0NRT,294.16,12.46,D
16.20167,98.64501,339.49,0.57,0.69,2025-03-13,0550,N20,nominal,2.0NRT,292.46,12.46,D
16.84255,101.65738,367,0.35,0.57,2025-03-13,0550,N20,high,2.0NRT,298.49,12.15,D
16.84368,101.66296,334.65,0.35,0.57,2025-03-13,0550,N20,nominal,2.0NRT,295,9.6,D
16.30609,98.82764,330.24,0.55,0.68,2025-03-13,0550,N20,nominal,2.0NRT,295.27,5.22,D
16.31438,98.8363,367,0.55,0.68,2025-03-13,0550,N20,high,2.0NRT,295.21,12.25,D
16.31325,98.83099,337.13,0.55,0.68,2025-03-13,0550,N20,nominal,2.0NRT,295.08,11.66,D
16.31916,98.83299,339.72,0.55,0.68,2025-03-13,0550,N20,nominal,2.0NRT,294.19,8.11,D
16.93719,101.31863,350.13,0.36,0.58,2025-03-13,0550,N20,nominal,2.0NRT,294.99,5.37,D
16.40127,98.64433,333.62,0.56,0.69,2025-03-13,0550,N20,nominal,2.0NRT,296.81,4.93,D
16.39157,98.56843,367,0.57,0.69,2025-03-13,0550,N20,high,2.0NRT,294.36,19.07,D
16.39953,98.6476,335.08,0.56,0.69,2025-03-13,0550,N20,nominal,2.0NRT,295.94,4.43,D
16.38922,98.57136,334.39,0.57,0.69,2025-03-13,0550,N20,nominal,2.0NRT,293.38,11.94,D
16.38824,98.56692,356.04,0.57,0.69,2025-03-13,0550,N20,nominal,2.0NRT,294.93,11.94,D
16.77614,99.65264,332.89,0.47,0.64,2025-03-13,0550,N20,nominal,2.0NRT,292.85,2.93,D
16.77524,99.64839,332.29,0.47,0.64,2025-03-13,0550,N20,nominal,2.0NRT,292.91,2.93,D
16.64085,98.93176,338.46,0.53,0.67,2025-03-13,0550,N20,nominal,2.0NRT,293.07,11.78,D
16.59868,98.56704,330.01,0.56,0.69,2025-03-13,0550,N20,nominal,2.0NRT,296.93,4.12,D
