latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-34.21135,19.42703,299.4,0.49,0.4,2025-03-13,0001,N20,nominal,2.0NRT,287.46,0.97,N
-34.21508,19.42642,312.61,0.49,0.4,2025-03-13,0001,N20,nominal,2.0NRT,288.06,1.93,N
-29.83997,30.19498,326.89,0.74,0.76,2025-03-13,1043,N20,nominal,2.0NRT,287.14,6.17,D
-29.84364,30.19493,335.84,0.74,0.76,2025-03-13,1043,N20,nominal,2.0NRT,288.24,7.49,D
-29.4802,30.39317,356.58,0.72,0.75,2025-03-13,1043,N20,nominal,2.0NRT,289.17,22.18,D
-29.47992,30.40075,356.84,0.71,0.75,2025-03-13,1043,N20,low,2.0NRT,287.43,22.18,D
-29.4818,30.39957,343.17,0.71,0.75,2025-03-13,1043,N20,nominal,2.0NRT,287.53,14.6,D
-29.48213,30.39197,355.96,0.71,0.75,2025-03-13,1043,N20,low,2.0NRT,288.53,20.05,D
-29.47512,30.39115,327.99,0.71,0.75,2025-03-13,1043,N20,nominal,2.0NRT,285.85,14,D
-29.47479,30.39904,356.37,0.71,0.75,2025-03-13,1043,N20,low,2.0NRT,286.73,18.55,D
-29.22575,30.56071,338.54,0.7,0.75,2025-03-13,1043,N20,nominal,2.0NRT,282.56,11.14,D
-29.19466,30.63793,367,0.69,0.74,2025-03-13,1043,N20,high,2.0NRT,291.55,46.45,D
-29.19497,30.63044,344.43,0.69,0.74,2025-03-13,1043,N20,nominal,2.0NRT,296.44,46.45,D
-29.18776,30.63708,326.18,0.69,0.74,2025-03-13,1043,N20,nominal,2.0NRT,286.31,6.27,D
-29.18808,30.62946,332.44,0.69,0.74,2025-03-13,1043,N20,nominal,2.0NRT,287.1,6.27,D
-29.19522,30.6379,367,0.69,0.74,2025-03-13,1043,N20,high,2.0NRT,291.43,32.46,D
-29.19558,30.63046,344.77,0.69,0.74,2025-03-13,1043,N20,nominal,2.0NRT,297.96,39.89,D
-29.18833,30.63709,326.5,0.69,0.74,2025-03-13,1043,N20,nominal,2.0NRT,287.05,32.46,D
-29.18869,30.62949,340.17,0.69,0.74,2025-03-13,1043,N20,nominal,2.0NRT,287.13,39.89,D
-29.00146,30.93663,367,0.66,0.73,2025-03-13,1043,N20,high,2.0NRT,292.84,34.25,D
-29.01071,30.57953,325.74,0.69,0.74,2025-03-13,1043,N20,nominal,2.0NRT,292.09,8.56,D
-27.47519,31.64161,338.57,0.58,0.7,2025-03-13,1041,N20,nominal,2.0NRT,291.02,4.86,D
-27.46873,31.64092,335.54,0.58,0.7,2025-03-13,1041,N20,nominal,2.0NRT,290.16,4.86,D
-27.47491,31.64336,331.36,0.58,0.69,2025-03-13,1041,N20,nominal,2.0NRT,290.25,11.12,D
-26.60205,30.47092,329.47,0.67,0.74,2025-03-13,1041,N20,nominal,2.0NRT,285.06,4.02,D
-26.60095,30.4719,332.82,0.67,0.74,2025-03-13,1041,N20,nominal,2.0NRT,283.59,5.49,D
-25.29693,30.48677,351.22,0.66,0.73,2025-03-13,1041,N20,nominal,2.0NRT,284.44,24.67,D
-24.8198,30.12301,332.57,0.68,0.74,2025-03-13,1041,N20,nominal,2.0NRT,295.95,9.5,D
-24.81968,30.12263,332.64,0.68,0.74,2025-03-13,1041,N20,nominal,2.0NRT,296.24,9.64,D
-24.3677,34.26912,354.47,0.37,0.58,2025-03-13,1041,N20,nominal,2.0NRT,296.23,4.63,D
-24.36802,34.26547,329.69,0.37,0.58,2025-03-13,1041,N20,nominal,2.0NRT,297.54,4.63,D
-21.69102,46.09834,331.36,0.43,0.38,2025-03-13,1043,N20,nominal,2.0NRT,297.11,3.77,D
-21.3011,46.74043,332.53,0.46,0.39,2025-03-13,1043,N20,nominal,2.0NRT,294.5,16.81,D
-21.20213,46.54503,337.04,0.45,0.39,2025-03-13,1043,N20,nominal,2.0NRT,299.06,7.36,D
-21.06338,46.43917,331.74,0.45,0.39,2025-03-13,1043,N20,nominal,2.0NRT,299.87,2.04,D
-21.05921,46.42063,333.43,0.45,0.39,2025-03-13,1043,N20,nominal,2.0NRT,295.05,3.21,D
-20.79071,46.36062,330.18,0.45,0.39,2025-03-13,1043,N20,nominal,2.0NRT,293.7,1.3,D
-20.78786,46.35577,334.18,0.45,0.39,2025-03-13,1043,N20,nominal,2.0NRT,295.77,4.85,D
-20.41251,46.29634,332.59,0.45,0.39,2025-03-13,1043,N20,nominal,2.0NRT,297.36,2.98,D
-20.24179,46.78266,333.37,0.48,0.4,2025-03-13,1043,N20,nominal,2.0NRT,292.25,9.89,D
-20.35746,44.35778,334.97,0.39,0.36,2025-03-13,1043,N20,nominal,2.0NRT,290.96,1.79,D
-20.25276,44.81691,330.76,0.4,0.37,2025-03-13,1043,N20,nominal,2.0NRT,296.41,2.38,D
-19.57064,45.39964,330.32,0.42,0.38,2025-03-13,1043,N20,low,2.0NRT,304.64,5.03,D
