latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.27986,-66.01629,309.48,0.38,0.36,2025-03-13,0622,N20,nominal,2.0NRT,269.64,1.21,N
42.80577,-80.10194,302.39,0.41,0.61,2025-03-13,0625,N20,nominal,2.0NRT,266.92,1.35,N
42.80557,-80.09683,306.06,0.41,0.61,2025-03-13,0625,N20,nominal,2.0NRT,268.34,1.35,N
42.8078,-80.09744,308.79,0.41,0.61,2025-03-13,0625,N20,nominal,2.0NRT,268.43,1.89,N
42.2838,-83.11581,301.37,0.58,0.7,2025-03-13,0622,N20,nominal,2.0NRT,271.82,0.86,N
41.56966,-84.0475,339.29,0.65,0.73,2025-03-13,0622,N20,nominal,2.0NRT,271.97,6.93,N
41.56718,-84.05154,324.32,0.65,0.73,2025-03-13,0622,N20,nominal,2.0NRT,269.52,5.23,N
20.88824,-77.58655,332.22,0.52,0.41,2025-03-13,0629,N20,nominal,2.0NRT,290.55,4.21,N
41.56706,-84.04363,300.24,0.65,0.73,2025-03-13,0622,N20,nominal,2.0NRT,268.62,4.04,N
20.62779,-77.05046,307.81,0.48,0.4,2025-03-13,0629,N20,nominal,2.0NRT,291,1.07,N
41.46699,-81.67826,313.1,0.49,0.65,2025-03-13,0622,N20,nominal,2.0NRT,273.25,1.6,N
20.04325,-77.49734,301.31,0.5,0.41,2025-03-13,0629,N20,nominal,2.0NRT,290.85,0.42,N
41.4668,-81.67229,298.79,0.48,0.65,2025-03-13,0622,N20,nominal,2.0NRT,273.04,1.6,N
18.87365,-70.79778,298.6,0.45,0.39,2025-03-13,0629,N20,nominal,2.0NRT,287.09,0.91,N
41.4707,-83.37357,299.99,0.6,0.7,2025-03-13,0622,N20,nominal,2.0NRT,266.78,2.05,N
17.70198,-64.7505,303.65,0.36,0.57,2025-03-13,0629,N20,nominal,2.0NRT,292.55,1.25,N
19.03681,-72.04784,301.05,0.4,0.37,2025-03-13,0629,N20,nominal,2.0NRT,289.12,0.55,N
41.47058,-83.3663,296.08,0.59,0.7,2025-03-13,0622,N20,nominal,2.0NRT,270.26,2.26,N
41.21888,-80.51295,311.29,0.42,0.61,2025-03-13,0622,N20,nominal,2.0NRT,275.83,1.4,N
18.95655,-72.26336,302.03,0.4,0.37,2025-03-13,0629,N20,nominal,2.0NRT,288.62,1.01,N
41.13502,-80.69451,300.57,0.43,0.62,2025-03-13,0622,N20,nominal,2.0NRT,272.25,1.04,N
17.85971,-71.30771,307.33,0.44,0.38,2025-03-13,0629,N20,nominal,2.0NRT,291.56,0.51,N
40.89169,-77.71427,316.38,0.59,0.53,2025-03-13,0622,N20,nominal,2.0NRT,273.83,2.35,N
17.97401,-76.75126,320.44,0.44,0.38,2025-03-13,0629,N20,nominal,2.0NRT,291,2.49,N
