latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
46.57632,-80.79182,328.78,0.41,0.37,2025-03-13,0716,N21,nominal,2.0NRT,265.95,32.89,N
46.57581,-80.7942,320.65,0.41,0.37,2025-03-13,0716,N21,nominal,2.0NRT,268.09,35.21,N
46.51576,-84.39619,324.88,0.53,0.42,2025-03-13,0716,N21,nominal,2.0NRT,259.86,5.08,N
45.07287,-83.40302,303.85,0.47,0.39,2025-03-13,0716,N21,nominal,2.0NRT,270.98,1.78,N
43.27402,-79.79488,323.07,0.38,0.36,2025-03-13,0716,N21,nominal,2.0NRT,267.84,2.73,N
43.27148,-79.80048,298.66,0.38,0.36,2025-03-13,0716,N21,nominal,2.0NRT,267.62,0.94,N
43.26894,-79.80608,318.96,0.38,0.36,2025-03-13,0716,N21,nominal,2.0NRT,270.98,3.3,N
43.26556,-79.80939,310.44,0.38,0.36,2025-03-13,0716,N21,nominal,2.0NRT,269.2,1.49,N
43.26484,-79.80473,301.57,0.38,0.36,2025-03-13,0716,N21,nominal,2.0NRT,267.58,1.49,N
43.26229,-79.81033,315.41,0.38,0.36,2025-03-13,0716,N21,nominal,2.0NRT,270.88,1.49,N
43.06746,-80.85862,306.7,0.39,0.36,2025-03-13,0716,N21,nominal,2.0NRT,267.66,1.36,N
42.80684,-80.09484,298.35,0.38,0.36,2025-03-13,0716,N21,nominal,2.0NRT,271.8,1.79,N
42.80357,-80.09576,300.84,0.38,0.36,2025-03-13,0716,N21,nominal,2.0NRT,274.82,1.19,N
42.80171,-80.10587,306.6,0.38,0.36,2025-03-13,0716,N21,nominal,2.0NRT,271.72,1.41,N
42.80101,-80.10132,300.39,0.38,0.36,2025-03-13,0716,N21,nominal,2.0NRT,271.73,1.41,N
42.81786,-81.32685,308.04,0.4,0.37,2025-03-13,0716,N21,nominal,2.0NRT,267.96,1.09,N
42.94312,-82.41692,301.89,0.42,0.37,2025-03-13,0716,N21,nominal,2.0NRT,269.08,0.92,N
42.76218,-82.74812,300.73,0.42,0.38,2025-03-13,0716,N21,nominal,2.0NRT,270.29,0.82,N
42.7227,-83.26283,297.09,0.44,0.38,2025-03-13,0716,N21,nominal,2.0NRT,267.88,1.1,N
42.31197,-82.05044,318.54,0.4,0.37,2025-03-13,0716,N21,nominal,2.0NRT,269.01,1.68,N
42.43757,-83.11685,314.78,0.43,0.38,2025-03-13,0716,N21,nominal,2.0NRT,270.21,1.77,N
43.09586,-92.71655,319.59,0.41,0.6,2025-03-13,0716,N21,nominal,2.0NRT,271.98,2.77,N
42.2759,-83.13061,302.73,0.43,0.38,2025-03-13,0716,N21,nominal,2.0NRT,272.17,0.99,N
41.75118,-81.2834,303.35,0.39,0.36,2025-03-13,0716,N21,nominal,2.0NRT,272.98,1.39,N
40.47996,-74.32275,300.79,0.56,0.43,2025-03-13,0716,N21,nominal,2.0NRT,276.45,1.34,N
41.28203,-78.63815,296.88,0.4,0.37,2025-03-13,0716,N21,nominal,2.0NRT,271.55,0.58,N
40.8919,-77.70809,325.1,0.42,0.37,2025-03-13,0716,N21,nominal,2.0NRT,277.21,4.13,N
41.46392,-81.67503,316.64,0.39,0.36,2025-03-13,0716,N21,nominal,2.0NRT,277.17,1.33,N
40.15226,-74.76789,296.03,0.54,0.42,2025-03-13,0716,N21,nominal,2.0NRT,274.86,0.31,N
40.024,-74.25145,307.26,0.38,0.43,2025-03-13,0716,N21,nominal,2.0NRT,274.31,1.13,N
40.13604,-74.80682,295.79,0.54,0.42,2025-03-13,0716,N21,nominal,2.0NRT,274.95,0.77,N
41.12653,-80.68588,300.63,0.38,0.36,2025-03-13,0716,N21,nominal,2.0NRT,274.9,1.14,N
41.56606,-84.044,338.75,0.45,0.39,2025-03-13,0716,N21,nominal,2.0NRT,275.37,17.81,N
41.56716,-84.04532,335.39,0.45,0.39,2025-03-13,0716,N21,nominal,2.0NRT,276.39,17.43,N
41.56849,-84.05609,296.93,0.45,0.39,2025-03-13,0716,N21,nominal,2.0NRT,272.23,1.45,N
41.46709,-83.36784,327.32,0.43,0.38,2025-03-13,0716,N21,nominal,2.0NRT,276,3.97,N
41.47549,-83.46072,298.78,0.43,0.38,2025-03-13,0716,N21,nominal,2.0NRT,270.03,0.77,N
41.45951,-83.36428,313.94,0.43,0.38,2025-03-13,0716,N21,nominal,2.0NRT,273.42,2.27,N
40.84265,-79.92357,301.26,0.38,0.36,2025-03-13,0716,N21,nominal,2.0NRT,274.82,0.93,N
40.8343,-79.93527,319.2,0.38,0.36,2025-03-13,0716,N21,nominal,2.0NRT,274.79,2.59,N
