latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
65.76499,24.18282,329.95,0.54,0.42,2025-03-13,0024,N21,nominal,2.0NRT,264.14,8.6,N
65.76427,24.18549,328.77,0.54,0.42,2025-03-13,0024,N21,nominal,2.0NRT,266.02,6.05,N
64.64303,24.42371,321.15,0.51,0.41,2025-03-13,0024,N21,nominal,2.0NRT,263.92,4.06,N
55.1062,33.26734,297.46,0.47,0.4,2025-03-13,0026,N21,nominal,2.0NRT,272.49,1.07,N
55.50387,28.585,300.42,0.39,0.36,2025-03-13,0026,N21,nominal,2.0NRT,272.1,0.64,N
54.21207,34.3813,312.52,0.53,0.42,2025-03-13,0026,N21,nominal,2.0NRT,275.84,2.32,N
52.84631,29.99066,339,0.43,0.38,2025-03-13,0028,N21,nominal,2.0NRT,273.49,8.88,N
52.75745,25.93077,334.21,0.38,0.36,2025-03-13,0028,N21,nominal,2.0NRT,263.32,3.75,N
51.89227,29.34075,327.74,0.43,0.38,2025-03-13,0028,N21,nominal,2.0NRT,271.69,2.76,N
51.88894,29.33909,306.07,0.43,0.38,2025-03-13,0028,N21,nominal,2.0NRT,268.75,2.76,N
53.51987,9.8979,303.16,0.42,0.61,2025-03-13,0028,N21,nominal,2.0NRT,271.82,1.68,N
53.51977,9.90427,309.3,0.42,0.61,2025-03-13,0028,N21,nominal,2.0NRT,272.21,1.68,N
50.29309,34.8694,326.33,0.47,0.48,2025-03-13,0028,N21,nominal,2.0NRT,263.43,2.57,N
53.1408,8.67555,302.31,0.47,0.64,2025-03-13,0028,N21,nominal,2.0NRT,272.06,2.45,N
53.13489,8.67544,310.87,0.47,0.64,2025-03-13,0028,N21,nominal,2.0NRT,273.22,2.45,N
53.12898,8.67532,337.32,0.47,0.64,2025-03-13,0028,N21,nominal,2.0NRT,271.9,5.29,N
52.89964,9.48937,327.74,0.43,0.62,2025-03-13,0028,N21,nominal,2.0NRT,269.17,3.65,N
52.4787,4.58949,295.86,0.7,0.75,2025-03-13,0028,N21,nominal,2.0NRT,275.7,4.37,N
52.1653,10.42979,325.22,0.39,0.59,2025-03-13,0028,N21,nominal,2.0NRT,274.48,3.01,N
52.16012,10.41791,314.16,0.39,0.59,2025-03-13,0028,N21,nominal,2.0NRT,274.56,2.09,N
52.15493,10.40609,331.2,0.39,0.59,2025-03-13,0028,N21,nominal,2.0NRT,273.78,5.07,N
52.14959,10.40003,321.96,0.39,0.59,2025-03-13,0028,N21,nominal,2.0NRT,272.58,2.27,N
50.54234,26.26108,299.8,0.39,0.36,2025-03-13,0028,N21,nominal,2.0NRT,271.31,0.93,N
50.80587,20.53228,300.07,0.45,0.39,2025-03-13,0028,N21,nominal,2.0NRT,277.83,1.49,N
50.5496,22.0605,318.34,0.41,0.37,2025-03-13,0028,N21,nominal,2.0NRT,276.82,1.47,N
51.1722,3.8109,319.25,0.76,0.77,2025-03-13,0028,N21,nominal,2.0NRT,275.18,10.27,N
51.17567,3.80646,319.89,0.76,0.77,2025-03-13,0028,N21,nominal,2.0NRT,274.22,6.15,N
51.16858,3.80706,301.71,0.76,0.77,2025-03-13,0028,N21,nominal,2.0NRT,274.06,3.66,N
50.48939,19.46578,296.28,0.48,0.4,2025-03-13,0028,N21,nominal,2.0NRT,270.77,0.99,N
50.34001,19.33509,332.3,0.48,0.4,2025-03-13,0028,N21,nominal,2.0NRT,275.98,5.05,N
50.34446,19.2945,297.13,0.48,0.4,2025-03-13,0028,N21,nominal,2.0NRT,270.76,0.92,N
50.3335,19.29156,306.5,0.48,0.4,2025-03-13,0028,N21,nominal,2.0NRT,271.2,1.54,N
50.32985,19.29058,316.26,0.48,0.4,2025-03-13,0028,N21,nominal,2.0NRT,271.11,2.02,N
46.51384,32.38087,323.39,0.46,0.47,2025-03-13,0028,N21,nominal,2.0NRT,242.43,7.09,N
46.51246,32.38662,323.47,0.47,0.47,2025-03-13,0028,N21,nominal,2.0NRT,242.58,7.09,N
45.25577,31.67163,344.45,0.47,0.47,2025-03-13,0028,N21,nominal,2.0NRT,279.26,16.94,N
45.37346,30.92878,308.59,0.43,0.46,2025-03-13,0028,N21,nominal,2.0NRT,273.56,1.59,N
45.3531,30.90172,333.57,0.43,0.46,2025-03-13,0028,N21,nominal,2.0NRT,276.2,4.59,N
41.19032,32.61918,297.01,0.33,0.55,2025-03-13,0030,N21,nominal,2.0NRT,272.99,0.54,N
41.18066,32.63532,299.44,0.33,0.55,2025-03-13,0030,N21,nominal,2.0NRT,277.23,0.68,N
41.17588,32.63296,296.64,0.33,0.55,2025-03-13,0030,N21,nominal,2.0NRT,278.51,0.68,N
41.26638,31.42639,300.31,0.57,0.52,2025-03-13,0030,N21,nominal,2.0NRT,285.54,1.59,N
41.26183,31.42438,299.42,0.57,0.52,2025-03-13,0030,N21,nominal,2.0NRT,285.09,1.59,N
41.25439,31.41381,326.74,0.57,0.52,2025-03-13,0030,N21,nominal,2.0NRT,281.51,4.01,N
40.07996,32.79776,308.07,0.36,0.57,2025-03-13,0030,N21,nominal,2.0NRT,278.08,1.29,N
40.07869,32.79832,306.3,0.36,0.58,2025-03-13,0030,N21,nominal,2.0NRT,278.15,1.3,N
41.10191,28.21326,296.65,0.4,0.44,2025-03-13,0030,N21,nominal,2.0NRT,279.64,0.77,N
43.37621,5.00718,344,0.64,0.72,2025-03-13,0030,N21,nominal,2.0NRT,281.27,9.99,N
39.48176,30.04084,296.27,0.54,0.51,2025-03-13,0030,N21,nominal,2.0NRT,275.16,1.12,N
40.62882,17.99893,311.83,0.43,0.38,2025-03-13,0033,N21,nominal,2.0NRT,284.61,0.89,N
40.51974,17.20624,300,0.45,0.39,2025-03-13,0033,N21,nominal,2.0NRT,286.63,1.13,N
40.51201,17.21,301.88,0.45,0.39,2025-03-13,0033,N21,nominal,2.0NRT,286.94,1.55,N
40.50847,17.20926,314.33,0.45,0.39,2025-03-13,0033,N21,nominal,2.0NRT,285.75,1.78,N
