latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-39.00867,174.31351,331.95,0.42,0.46,2025-03-13,0147,N,nominal,2.0NRT,299.81,2.62,D
-44.6923,171.12065,367,0.35,0.57,2025-03-13,0145,N,high,2.0NRT,294.02,6.17,D
-44.68694,171.12016,340.03,0.35,0.57,2025-03-13,0145,N,nominal,2.0NRT,289.81,6.17,D
-44.47346,170.98477,337.08,0.35,0.57,2025-03-13,0145,N,nominal,2.0NRT,290.82,2.21,D
-44.47365,170.98038,331.36,0.35,0.57,2025-03-13,0145,N,nominal,2.0NRT,290.25,2.21,D
-44.47226,170.98138,347.79,0.35,0.57,2025-03-13,0145,N,nominal,2.0NRT,292.52,6.09,D
-43.60046,171.56403,325.05,0.32,0.55,2025-03-13,0145,N,nominal,2.0NRT,288.98,1.97,D
-42.80511,172.58986,326.43,0.57,0.52,2025-03-13,0145,N,nominal,2.0NRT,294.47,4.75,D
-42.80293,172.59084,329.97,0.57,0.52,2025-03-13,0145,N,nominal,2.0NRT,293.96,4.9,D
-46.14518,168.17931,325.84,0.47,0.48,2025-03-13,0325,N,nominal,2.0NRT,292.47,2.92,D
-43.60221,171.5668,333.36,0.39,0.59,2025-03-13,0328,N,nominal,2.0NRT,289,2.81,D
-41.61002,145.79616,326.19,0.33,0.55,2025-03-13,0328,N,nominal,2.0NRT,289.43,3.13,D
-41.61028,145.79129,345.58,0.33,0.55,2025-03-13,0328,N,nominal,2.0NRT,293.99,3.13,D
-41.60435,145.80447,333.32,0.33,0.55,2025-03-13,0328,N,nominal,2.0NRT,283.95,4.6,D
-41.60459,145.79996,355.16,0.33,0.55,2025-03-13,0328,N,nominal,2.0NRT,290.81,4.6,D
-38.07581,141.87044,367,0.49,0.65,2025-03-13,0330,N,high,2.0NRT,299.81,11.76,D
-38.0694,141.87622,367,0.49,0.65,2025-03-13,0330,N,high,2.0NRT,299.83,11.76,D
-38.06919,141.88228,336.52,0.49,0.65,2025-03-13,0330,N,nominal,2.0NRT,296.9,9.02,D
-38.06299,141.88196,367,0.49,0.65,2025-03-13,0330,N,high,2.0NRT,302.04,14.46,D
-38.0568,141.88167,356.4,0.49,0.65,2025-03-13,0330,N,nominal,2.0NRT,297.44,14.46,D
-38.05039,141.88742,333.03,0.49,0.65,2025-03-13,0330,N,nominal,2.0NRT,296.25,5.38,D
-38.05061,141.88141,343.32,0.49,0.65,2025-03-13,0330,N,nominal,2.0NRT,297.38,5.38,D
-38.05081,141.8754,341.27,0.49,0.65,2025-03-13,0330,N,nominal,2.0NRT,297.57,6.5,D
-38.04441,141.88115,330.76,0.49,0.65,2025-03-13,0330,N,nominal,2.0NRT,297.71,5.38,D
-38.04462,141.87512,345.11,0.49,0.65,2025-03-13,0330,N,nominal,2.0NRT,297.65,6.5,D
-37.8306,144.7897,343.05,0.34,0.56,2025-03-13,0330,N,nominal,2.0NRT,302.68,2.95,D
-37.80434,142.86545,333.53,0.43,0.62,2025-03-13,0330,N,low,2.0NRT,306.38,2.37,D
-37.08062,149.26106,331.46,0.39,0.44,2025-03-13,0330,N,nominal,2.0NRT,296.05,3.32,D
-37.08106,149.25668,329.96,0.39,0.44,2025-03-13,0330,N,nominal,2.0NRT,294.91,2.95,D
-37.42175,141.13518,367,0.53,0.67,2025-03-13,0330,N,high,2.0NRT,306.67,15.3,D
-37.42156,141.14163,338.91,0.53,0.67,2025-03-13,0330,N,nominal,2.0NRT,300.06,15.3,D
-37.42193,141.12874,342.41,0.54,0.67,2025-03-13,0330,N,nominal,2.0NRT,301.86,11.02,D
-37.41515,141.14149,338.56,0.53,0.67,2025-03-13,0330,N,nominal,2.0NRT,300.85,9.32,D
