latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
36.9187,14.44036,297.17,0.39,0.36,2025-03-13,0058,N,nominal,2.0NRT,280.58,0.19,N
36.74783,6.25634,339.31,0.44,0.46,2025-03-13,0058,N,nominal,2.0NRT,285.4,5.84,N
36.744,6.25071,298.56,0.44,0.46,2025-03-13,0058,N,nominal,2.0NRT,284.9,5.84,N
36.08311,9.1558,298.04,0.48,0.4,2025-03-13,0058,N,nominal,2.0NRT,270.4,0.76,N
36.0846,9.15498,298.35,0.47,0.4,2025-03-13,0058,N,nominal,2.0NRT,269.99,0.86,N
35.77554,9.89081,295.57,0.44,0.39,2025-03-13,0058,N,nominal,2.0NRT,276.63,0.58,N
35.23224,8.17401,308.09,0.51,0.41,2025-03-13,0058,N,nominal,2.0NRT,277.89,1.16,N
35.23341,8.17316,304.92,0.51,0.41,2025-03-13,0058,N,nominal,2.0NRT,277.56,1.51,N
33.92194,12.6808,328.66,0.38,0.36,2025-03-13,0058,N,nominal,2.0NRT,289.42,1.57,N
33.92259,12.67668,317.65,0.38,0.36,2025-03-13,0058,N,nominal,2.0NRT,289,1.57,N
33.8928,12.60588,331.91,0.38,0.36,2025-03-13,0058,N,nominal,2.0NRT,289.86,2.39,N
33.86231,12.05735,308.74,0.39,0.36,2025-03-13,0058,N,nominal,2.0NRT,289.15,0.71,N
33.859,12.05663,321.91,0.39,0.36,2025-03-13,0058,N,nominal,2.0NRT,289.51,1.94,N
32.20032,20.13208,311.96,0.5,0.49,2025-03-13,0058,N,nominal,2.0NRT,290.64,1.29,N
30.36617,27.23308,295.13,0.69,0.74,2025-03-13,0058,N,nominal,2.0NRT,283.03,0.77,N
30.53789,26.08412,316.04,0.59,0.7,2025-03-13,0058,N,nominal,2.0NRT,280.88,2.1,N
30.53162,26.08184,319.64,0.59,0.7,2025-03-13,0058,N,nominal,2.0NRT,280.08,2.11,N
30.53812,26.08423,302.17,0.59,0.7,2025-03-13,0058,N,nominal,2.0NRT,280.73,1.57,N
30.53186,26.08191,326.99,0.59,0.7,2025-03-13,0058,N,nominal,2.0NRT,279.62,3.41,N
29.85174,27.95037,298.22,0.77,0.78,2025-03-13,0058,N,nominal,2.0NRT,285.89,0.82,N
29.84939,27.94703,300.52,0.78,0.78,2025-03-13,0058,N,nominal,2.0NRT,286,1.21,N
32.62374,14.32924,328.23,0.41,0.37,2025-03-13,0058,N,nominal,2.0NRT,289.08,2.75,N
32.63575,14.22045,304.77,0.4,0.37,2025-03-13,0058,N,nominal,2.0NRT,287.38,1.06,N
32.8228,12.97201,302.19,0.39,0.36,2025-03-13,0058,N,nominal,2.0NRT,287.69,0.57,N
32.79181,12.69837,312.95,0.38,0.36,2025-03-13,0058,N,nominal,2.0NRT,288.81,1.08,N
32.51907,14.32266,305.55,0.41,0.37,2025-03-13,0058,N,nominal,2.0NRT,287.01,1.03,N
32.78914,12.67244,302.91,0.38,0.36,2025-03-13,0058,N,nominal,2.0NRT,288.76,1.14,N
32.33196,15.24344,305.04,0.44,0.38,2025-03-13,0058,N,nominal,2.0NRT,287.15,1.17,N
32.33114,15.24801,314.23,0.44,0.38,2025-03-13,0058,N,nominal,2.0NRT,287.22,1.17,N
32.32484,15.22254,332.76,0.43,0.38,2025-03-13,0058,N,nominal,2.0NRT,289.06,2.41,N
32.32137,15.22166,322.66,0.43,0.38,2025-03-13,0058,N,nominal,2.0NRT,288.23,2.41,N
32.38532,13.23336,298.2,0.39,0.36,2025-03-13,0058,N,nominal,2.0NRT,286.93,1.25,N
30.95517,20.11426,302.56,0.53,0.5,2025-03-13,0058,N,nominal,2.0NRT,288.3,1.05,N
