latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.25687,31.66983,335.64,0.44,0.62,2025-03-13,0054,N,nominal,2.0NRT,278.92,9.36,N
45.25524,31.67511,351.72,0.44,0.62,2025-03-13,0054,N,nominal,2.0NRT,279.17,7.64,N
41.26507,31.42334,301.12,0.56,0.69,2025-03-13,0056,N,nominal,2.0NRT,282.49,2.02,N
41.2552,31.41024,307.14,0.56,0.69,2025-03-13,0056,N,nominal,2.0NRT,280.44,1.5,N
39.4826,30.03954,300.94,0.55,0.68,2025-03-13,0056,N,nominal,2.0NRT,274.6,1.5,N
30.36617,27.23308,295.13,0.69,0.74,2025-03-13,0058,N,nominal,2.0NRT,283.03,0.77,N
30.53789,26.08412,316.04,0.59,0.7,2025-03-13,0058,N,nominal,2.0NRT,280.88,2.1,N
30.53162,26.08184,319.64,0.59,0.7,2025-03-13,0058,N,nominal,2.0NRT,280.08,2.11,N
30.53812,26.08423,302.17,0.59,0.7,2025-03-13,0058,N,nominal,2.0NRT,280.73,1.57,N
30.53186,26.08191,326.99,0.59,0.7,2025-03-13,0058,N,nominal,2.0NRT,279.62,3.41,N
29.85174,27.95037,298.22,0.77,0.78,2025-03-13,0058,N,nominal,2.0NRT,285.89,0.82,N
29.84939,27.94703,300.52,0.78,0.78,2025-03-13,0058,N,nominal,2.0NRT,286,1.21,N
51.19571,35.26162,309.93,0.4,0.6,2025-03-13,0052,N,nominal,2.0NRT,274.01,1.58,N
51.19404,35.26687,312.89,0.4,0.6,2025-03-13,0052,N,nominal,2.0NRT,274.78,1.58,N
51.09112,35.27556,314.98,0.4,0.6,2025-03-13,0052,N,nominal,2.0NRT,274.95,0.98,N
49.2908,38.92238,320.39,0.63,0.72,2025-03-13,0052,N,nominal,2.0NRT,271.06,4.9,N
49.28785,38.93028,333.78,0.64,0.72,2025-03-13,0052,N,nominal,2.0NRT,270.97,4.9,N
49.28662,38.92393,348.59,0.64,0.72,2025-03-13,0052,N,nominal,2.0NRT,270.88,8.79,N
49.17838,38.59362,295.72,0.62,0.72,2025-03-13,0052,N,nominal,2.0NRT,266.3,0.98,N
51.89042,29.3433,326.08,0.45,0.47,2025-03-13,0052,N,nominal,2.0NRT,265.45,2.38,N
51.89197,29.33718,298.95,0.45,0.47,2025-03-13,0052,N,nominal,2.0NRT,265.7,1.52,N
51.88794,29.33457,295.3,0.45,0.47,2025-03-13,0052,N,nominal,2.0NRT,265.17,1.52,N
45.76931,38.14917,316.55,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,274.87,2.94,N
45.76285,38.14412,321.9,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,274.73,2.42,N
45.75212,38.17237,312.44,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,275.5,17.87,N
45.74849,38.18195,314.08,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,277.5,14.04,N
45.74565,38.16731,353.23,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,277.69,17.87,N
45.74203,38.17683,367,0.79,0.78,2025-03-13,0054,N,high,2.0NRT,277.04,14.04,N
45.75639,38.13906,300.4,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,274.41,2.42,N
45.73919,38.16225,367,0.79,0.78,2025-03-13,0054,N,high,2.0NRT,284.46,20.74,N
45.74277,38.15282,298.9,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,274.68,20.74,N
45.7327,38.15722,329.58,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,264.39,20.74,N
45.73341,38.13335,367,0.79,0.78,2025-03-13,0054,N,high,2.0NRT,277.72,13.47,N
45.73699,38.12395,303.06,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,274.99,13.47,N
45.72694,38.12831,353.16,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,274.21,13.47,N
45.72335,38.13772,321.96,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,264.67,13.25,N
45.73986,38.15749,344.26,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,276.3,34.75,N
45.73403,38.12843,343.8,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,276.14,29.18,N
45.73048,38.13787,355.61,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,274.57,13.91,N
45.72403,38.13279,355.5,0.79,0.78,2025-03-13,0054,N,nominal,2.0NRT,268.92,13.91,N
48.74651,26.60569,296.45,0.42,0.45,2025-03-13,0054,N,nominal,2.0NRT,272.16,0.97,N
66.95567,75.54419,333.69,0.62,0.71,2025-03-13,0045,N,nominal,2.0NRT,259.79,6.24,N
66.19451,70.99229,343.08,0.61,0.71,2025-03-13,0045,N,nominal,2.0NRT,255.22,6.2,N
