latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-7.22916,146.53952,329.69,0.4,0.37,2025-03-13,0338,N,nominal,2.0NRT,293.33,3.05,D
-6.53913,147.828,335.1,0.38,0.36,2025-03-13,0338,N,nominal,2.0NRT,287.47,4.33,D
-6.6687,146.81418,342.31,0.39,0.36,2025-03-13,0338,N,nominal,2.0NRT,296.08,5.9,D
-6.51305,147.82047,332.86,0.38,0.36,2025-03-13,0338,N,nominal,2.0NRT,287.71,4.82,D
-6.67335,146.46068,343.96,0.4,0.37,2025-03-13,0338,N,low,2.0NRT,295.77,8.03,D
-6.65092,146.47205,341.3,0.4,0.37,2025-03-13,0338,N,low,2.0NRT,297.83,22.65,D
-6.64991,146.4715,346.92,0.4,0.37,2025-03-13,0338,N,low,2.0NRT,298.64,16.94,D
-6.65045,146.4679,349.95,0.4,0.37,2025-03-13,0338,N,low,2.0NRT,297.49,16.94,D
-6.64707,146.46739,345.29,0.4,0.37,2025-03-13,0338,N,low,2.0NRT,298.2,16.94,D
-6.5784,146.39453,330.32,0.4,0.37,2025-03-13,0338,N,low,2.0NRT,303.34,7.96,D
-6.5205,146.38533,327.78,0.4,0.37,2025-03-13,0338,N,low,2.0NRT,301.04,4.7,D
-4.21493,142.84154,332.65,0.54,0.42,2025-03-13,0340,N,nominal,2.0NRT,289.61,3.98,D
-7.70694,108.99193,326.43,0.73,0.76,2025-03-13,0521,N,nominal,2.0NRT,286.54,5.6,D
-2.82945,122.17319,339.11,0.39,0.36,2025-03-13,0521,N,nominal,2.0NRT,299.22,6.44,D
-2.82771,122.16228,334.81,0.39,0.36,2025-03-13,0521,N,nominal,2.0NRT,298.99,7.06,D
-3.68109,115.20255,343.09,0.49,0.49,2025-03-13,0521,N,nominal,2.0NRT,292.8,6.16,D
-2.57803,121.38229,332.15,0.38,0.36,2025-03-13,0523,N,nominal,2.0NRT,294.2,35.46,D
-2.01198,121.42063,348.4,0.38,0.36,2025-03-13,0523,N,nominal,2.0NRT,301.47,6.28,D
-2.00865,121.42014,336.84,0.38,0.36,2025-03-13,0523,N,nominal,2.0NRT,298.27,6.28,D
-2.00323,121.43344,330.07,0.38,0.36,2025-03-13,0523,N,low,2.0NRT,302.16,2.95,D
-1.9999,121.43295,331.63,0.38,0.36,2025-03-13,0523,N,low,2.0NRT,302.45,2.95,D
-2.06748,120.62891,329.87,0.39,0.36,2025-03-13,0523,N,nominal,2.0NRT,293.08,3.82,D
-1.68942,121.89446,332.12,0.39,0.36,2025-03-13,0523,N,nominal,2.0NRT,294.51,2.12,D
-1.68078,121.92876,332.79,0.39,0.36,2025-03-13,0523,N,nominal,2.0NRT,295.43,3.4,D
-1.67745,121.92826,334.09,0.39,0.36,2025-03-13,0523,N,nominal,2.0NRT,295.03,5.78,D
-1.66836,121.89835,332.72,0.39,0.36,2025-03-13,0523,N,nominal,2.0NRT,294.8,2.46,D
-1.59139,121.96072,335.26,0.39,0.36,2025-03-13,0523,N,nominal,2.0NRT,293.15,2.73,D
