latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-20.22785,-40.24275,304.56,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,287.5,2.03,N
-20.22957,-40.23576,309.48,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,287.85,2.66,N
-20.23303,-40.25172,305.14,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,287.45,2.03,N
-20.23472,-40.24482,305.91,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,287.71,2.03,N
-20.23644,-40.23783,301.36,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,287.65,2.66,N
-20.24161,-40.24685,307.9,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,288.06,3.06,N
-20.2485,-40.24886,311.19,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,287.63,3.06,N
-20.25022,-40.24186,305.43,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,288.12,4.86,N
-20.23168,-40.24539,315.87,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,287.84,2.07,N
-20.23344,-40.23842,302.97,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,287.33,2.07,N
-20.23519,-40.2315,312.76,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,287.79,3.37,N
-20.23857,-40.24739,301.1,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,287.69,2.07,N
-20.24033,-40.24044,303.16,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,287.97,2.07,N
-20.24547,-40.24936,300.86,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,287.62,2.68,N
-20.24722,-40.24239,316.66,0.71,0.75,2025-03-13,0256,N,nominal,2.0NRT,287.75,2.68,N
-7.4741,-35.19153,367,0.61,0.71,2025-03-13,0251,N,high,2.0NRT,292.54,21.22,N
-7.47304,-35.19718,308.94,0.61,0.71,2025-03-13,0251,N,nominal,2.0NRT,290.98,16.48,N
-38.6883,-59.80572,302.61,0.44,0.39,2025-03-13,0442,N,nominal,2.0NRT,278.36,0.82,N
-38.6892,-59.80771,299.23,0.44,0.39,2025-03-13,0442,N,nominal,2.0NRT,278.71,0.92,N
-38.76632,-62.29333,327.81,0.56,0.43,2025-03-13,0442,N,nominal,2.0NRT,284.54,4.61,N
-38.78459,-62.28605,303.77,0.55,0.43,2025-03-13,0442,N,nominal,2.0NRT,283.4,0.78,N
-37.68964,-68.92091,308.28,0.42,0.61,2025-03-13,0442,N,nominal,2.0NRT,279.54,0.99,N
-38.35562,-68.71181,306.84,0.39,0.59,2025-03-13,0442,N,nominal,2.0NRT,284.05,0.94,N
-38.33041,-69.05597,352.54,0.41,0.6,2025-03-13,0442,N,nominal,2.0NRT,288.69,7.27,N
-38.3317,-69.05133,323.28,0.41,0.6,2025-03-13,0442,N,nominal,2.0NRT,287.53,4.07,N
-38.46247,-69.04787,295.88,0.4,0.6,2025-03-13,0442,N,nominal,2.0NRT,283.45,0.82,N
-38.46786,-69.05029,304.99,0.4,0.6,2025-03-13,0442,N,nominal,2.0NRT,283.71,0.82,N
-17.60806,-49.1338,314.55,0.4,0.37,2025-03-13,0436,N,nominal,2.0NRT,287.71,1.54,N
-17.61143,-49.13434,314.2,0.4,0.37,2025-03-13,0436,N,nominal,2.0NRT,287.63,1.54,N
-19.48247,-42.53115,308.94,0.6,0.53,2025-03-13,0436,N,nominal,2.0NRT,290.76,3.75,N
-20.22881,-40.23237,309.4,0.43,0.62,2025-03-13,0436,N,nominal,2.0NRT,282.4,1.58,N
-20.23339,-40.24582,322.41,0.43,0.62,2025-03-13,0436,N,nominal,2.0NRT,282.16,1.42,N
-20.2338,-40.24155,300.73,0.43,0.62,2025-03-13,0436,N,nominal,2.0NRT,280.95,1.42,N
-20.23462,-40.23299,302.33,0.43,0.62,2025-03-13,0436,N,nominal,2.0NRT,280.01,1.58,N
-20.23504,-40.22869,310.02,0.43,0.62,2025-03-13,0436,N,nominal,2.0NRT,280.25,1.63,N
-20.23961,-40.24214,307.18,0.43,0.62,2025-03-13,0436,N,nominal,2.0NRT,280.43,1.51,N
-20.24541,-40.24278,316.88,0.43,0.62,2025-03-13,0436,N,nominal,2.0NRT,278.84,1.51,N
-20.24583,-40.23853,301.66,0.43,0.62,2025-03-13,0436,N,nominal,2.0NRT,278.46,1.89,N
-20.25122,-40.24337,299.05,0.43,0.62,2025-03-13,0436,N,nominal,2.0NRT,277.12,0.87,N
-20.25164,-40.23914,307.77,0.43,0.62,2025-03-13,0436,N,nominal,2.0NRT,277.39,1.67,N
-20.78053,-41.11909,306.19,0.39,0.59,2025-03-13,0436,N,nominal,2.0NRT,283,1.42,N
-19.705,-49.85471,306.24,0.39,0.36,2025-03-13,0436,N,nominal,2.0NRT,285.93,0.89,N
-19.70557,-49.85096,301.05,0.39,0.36,2025-03-13,0436,N,nominal,2.0NRT,285.29,0.48,N
-20.53947,-43.76463,306.21,0.52,0.5,2025-03-13,0436,N,nominal,2.0NRT,286.34,1.19,N
-20.5441,-43.76528,299.15,0.52,0.5,2025-03-13,0436,N,nominal,2.0NRT,285.66,1.19,N
-20.54815,-43.77081,331.74,0.52,0.5,2025-03-13,0436,N,nominal,2.0NRT,286.65,5.65,N
-20.54665,-43.77208,305.82,0.52,0.5,2025-03-13,0436,N,nominal,2.0NRT,285.4,1.9,N
-20.5472,-43.76711,302.15,0.52,0.5,2025-03-13,0436,N,nominal,2.0NRT,285.66,4.12,N
-20.55129,-43.77256,309.69,0.52,0.5,2025-03-13,0436,N,nominal,2.0NRT,284.97,2.15,N
-20.55184,-43.76763,302.63,0.52,0.5,2025-03-13,0436,N,nominal,2.0NRT,285.25,1.45,N
