latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-6.8545,12.39397,367,0.39,0.6,2025-03-13,0109,N,high,2.0NRT,286.29,9.96,N
-6.85399,12.39036,319.69,0.39,0.6,2025-03-13,0109,N,nominal,2.0NRT,284.72,10.23,N
-6.85501,12.39757,308.69,0.39,0.6,2025-03-13,0109,N,nominal,2.0NRT,285.43,9.96,N
-6.86002,12.39319,367,0.39,0.6,2025-03-13,0109,N,high,2.0NRT,285.05,7.24,N
-6.85951,12.38959,309.87,0.39,0.6,2025-03-13,0109,N,nominal,2.0NRT,285.42,6.71,N
-6.86053,12.3968,311.28,0.39,0.6,2025-03-13,0109,N,nominal,2.0NRT,284.85,7.24,N
-6.85402,12.3912,325.13,0.39,0.6,2025-03-13,0109,N,nominal,2.0NRT,284.7,5.95,N
-6.8545,12.39481,367,0.39,0.6,2025-03-13,0109,N,high,2.0NRT,286.84,10.25,N
-6.85353,12.3876,304.32,0.39,0.6,2025-03-13,0109,N,nominal,2.0NRT,284.95,5.95,N
-6.85498,12.39842,308.95,0.39,0.6,2025-03-13,0109,N,nominal,2.0NRT,285.37,10.25,N
-6.85954,12.39041,320.4,0.39,0.6,2025-03-13,0109,N,nominal,2.0NRT,285.39,5.95,N
-6.86002,12.39402,367,0.39,0.6,2025-03-13,0109,N,high,2.0NRT,285.11,10.25,N
-6.85905,12.38681,302.57,0.39,0.6,2025-03-13,0109,N,nominal,2.0NRT,285.69,5.95,N
-6.8605,12.39764,308.63,0.39,0.6,2025-03-13,0109,N,nominal,2.0NRT,284.76,10.25,N
-7.1279,12.34382,316.29,0.39,0.6,2025-03-13,0109,N,nominal,2.0NRT,287.98,1.15,N
-7.12839,12.34743,307.52,0.39,0.6,2025-03-13,0109,N,nominal,2.0NRT,287.57,1.15,N
-21.18484,46.53581,332.05,0.45,0.39,2025-03-13,1019,N,nominal,2.0NRT,296.42,3.2,D
-20.78938,46.36185,340.36,0.46,0.39,2025-03-13,1019,N,nominal,2.0NRT,296.55,6.18,D
-20.24909,45.91352,332.83,0.47,0.4,2025-03-13,1019,N,nominal,2.0NRT,299,2.04,D
-18.97723,48.33008,333.28,0.39,0.36,2025-03-13,1019,N,nominal,2.0NRT,294.72,3.53,D
-16.43983,46.35361,334.36,0.42,0.38,2025-03-13,1021,N,nominal,2.0NRT,294.92,3.43,D
-15.77345,47.99863,333.54,0.39,0.36,2025-03-13,1021,N,nominal,2.0NRT,299.17,2.45,D
-15.64279,48.57369,335.03,0.38,0.36,2025-03-13,1021,N,nominal,2.0NRT,296.68,3.35,D
-15.41484,47.75881,342.96,0.39,0.36,2025-03-13,1021,N,nominal,2.0NRT,298.97,12.4,D
-14.78134,47.40889,331.56,0.39,0.36,2025-03-13,1021,N,nominal,2.0NRT,299.41,2.01,D
-14.48623,47.74065,348.1,0.38,0.36,2025-03-13,1021,N,nominal,2.0NRT,298.47,5.62,D
-13.70982,49.16295,343.14,0.4,0.37,2025-03-13,1021,N,nominal,2.0NRT,295.24,4.91,D
-10.39126,34.92122,340.34,0.58,0.7,2025-03-13,1024,N,nominal,2.0NRT,289.95,6.9,D
-9.39016,35.20654,339,0.54,0.68,2025-03-13,1024,N,nominal,2.0NRT,286.86,5.88,D
-9.25952,35.09432,337.52,0.55,0.68,2025-03-13,1024,N,nominal,2.0NRT,285.53,8.29,D
-9.25753,35.09582,335.65,0.55,0.68,2025-03-13,1024,N,nominal,2.0NRT,284.02,6.61,D
-8.74362,36.71024,335.22,0.42,0.61,2025-03-13,1024,N,nominal,2.0NRT,290.69,3.73,D
-8.74155,36.71013,340.46,0.42,0.61,2025-03-13,1024,N,nominal,2.0NRT,290.52,4.18,D
-8.3442,35.72589,331.51,0.49,0.65,2025-03-13,1024,N,nominal,2.0NRT,283.13,5.63,D
-7.14794,38.95266,341.34,0.56,0.52,2025-03-13,1024,N,nominal,2.0NRT,292.32,9.5,D
-6.78725,39.02943,341.58,0.55,0.51,2025-03-13,1024,N,nominal,2.0NRT,292.99,7.96,D
-6.52464,39.03231,334.04,0.54,0.51,2025-03-13,1024,N,nominal,2.0NRT,294.14,4.02,D
-6.52533,39.02735,330.63,0.54,0.51,2025-03-13,1024,N,nominal,2.0NRT,294.42,4.02,D
-6.68574,37.01928,329.64,0.38,0.58,2025-03-13,1024,N,nominal,2.0NRT,290.05,2.87,D
-6.66351,37.0205,332.55,0.38,0.58,2025-03-13,1024,N,nominal,2.0NRT,290.18,3.08,D
-6.66258,37.01913,338.23,0.37,0.58,2025-03-13,1024,N,nominal,2.0NRT,290.11,2.7,D
-6.62696,36.99714,329.32,0.38,0.58,2025-03-13,1024,N,nominal,2.0NRT,290.06,3.7,D
-6.46966,37.64128,335.13,0.34,0.56,2025-03-13,1024,N,nominal,2.0NRT,290.71,2.7,D
-6.46808,37.64293,330.36,0.34,0.56,2025-03-13,1024,N,nominal,2.0NRT,292.58,2.81,D
-6.46852,37.63984,331.82,0.34,0.56,2025-03-13,1024,N,nominal,2.0NRT,292.7,2.17,D
-6.46482,37.08093,331.49,0.37,0.58,2025-03-13,1024,N,nominal,2.0NRT,288.4,1.92,D
-6.10437,39.37875,342.2,0.51,0.49,2025-03-13,1024,N,nominal,2.0NRT,296.84,9.55,D
-6.41862,37.0438,333.97,0.37,0.58,2025-03-13,1024,N,nominal,2.0NRT,284.76,4.48,D
-6.06784,39.40638,343.33,0.51,0.49,2025-03-13,1024,N,nominal,2.0NRT,296.49,4.87,D
-6.39317,37.06926,345.42,0.37,0.58,2025-03-13,1024,N,nominal,2.0NRT,289.1,5.68,D
-5.82312,39.35773,340.07,0.51,0.49,2025-03-13,1024,N,nominal,2.0NRT,296.23,4.22,D
-5.84349,38.5771,352.46,0.57,0.52,2025-03-13,1026,N,nominal,2.0NRT,296.1,13.28,D
-5.77499,38.65336,333.96,0.56,0.52,2025-03-13,1026,N,nominal,2.0NRT,294.21,3.73,D
-5.72227,38.68166,331.94,0.56,0.51,2025-03-13,1026,N,nominal,2.0NRT,294.9,3.04,D
-5.69293,38.61192,344.27,0.57,0.52,2025-03-13,1026,N,nominal,2.0NRT,298.27,15.9,D
-5.7128,38.46664,347.24,0.58,0.52,2025-03-13,1026,N,nominal,2.0NRT,296.86,14.37,D
-5.71352,38.46138,339.24,0.58,0.52,2025-03-13,1026,N,nominal,2.0NRT,294.68,14.37,D
-5.68814,38.61127,330.22,0.57,0.52,2025-03-13,1026,N,nominal,2.0NRT,295.64,15.9,D
-5.69345,38.60944,344.5,0.56,0.52,2025-03-13,1026,N,nominal,2.0NRT,297.95,30.33,D
-5.71368,38.46957,342.08,0.58,0.52,2025-03-13,1026,N,nominal,2.0NRT,296,12.83,D
-5.71444,38.46432,339.86,0.58,0.52,2025-03-13,1026,N,nominal,2.0NRT,294.91,12.83,D
-5.7152,38.45906,331.49,0.58,0.52,2025-03-13,1026,N,nominal,2.0NRT,294.07,4.88,D
-5.70884,38.46894,341.91,0.58,0.52,2025-03-13,1026,N,nominal,2.0NRT,293.27,12.83,D
-5.65828,38.47763,335.14,0.58,0.52,2025-03-13,1026,N,nominal,2.0NRT,294.24,5.6,D
-5.6542,38.11069,330.84,0.61,0.53,2025-03-13,1026,N,nominal,2.0NRT,292.22,5.97,D
-5.65397,38.10978,332.3,0.61,0.53,2025-03-13,1026,N,nominal,2.0NRT,291.74,3.79,D
-5.50392,38.64388,337.31,0.56,0.51,2025-03-13,1026,N,nominal,2.0NRT,296.63,6.95,D
-5.44709,38.49268,341.77,0.57,0.52,2025-03-13,1026,N,nominal,2.0NRT,296.52,9.69,D
-5.34208,38.96488,338.93,0.53,0.5,2025-03-13,1026,N,nominal,2.0NRT,295.86,4.02,D
-5.40807,38.45568,337.42,0.57,0.52,2025-03-13,1026,N,nominal,2.0NRT,293.77,3.68,D
-5.40324,38.45503,348.42,0.57,0.52,2025-03-13,1026,N,nominal,2.0NRT,294.7,15.02,D
-5.33821,38.89018,341.45,0.53,0.5,2025-03-13,1026,N,nominal,2.0NRT,295.54,19.51,D
-5.33889,38.88528,332.12,0.54,0.5,2025-03-13,1026,N,nominal,2.0NRT,297.37,19.2,D
