centroid_cluster,latitude,longitude,count
0,-34.00017900976541,149.4427411265879,35
1,-14.895446308956563,127.36138014267988,383
2,-21.121622630004644,148.13744385918983,27
3,-30.82679761997025,123.48667643444811,758
4,-16.2135711217133,141.87049198089053,189
5,-29.220638034633126,151.6112688937389,1084
6,-12.770549638925019,134.62036923555704,190
7,-19.284715608213475,122.93903349646239,65
8,-28.624128635629067,128.54707683604576,423
9,-37.29396331359215,149.1334796572153,864
10,-35.79249692741187,137.07876667077076,304
11,-17.467558981569,144.78612345781198,266
12,-27.806500991152163,116.5306697240286,1
13,-26.738570476670375,152.45846116811813,78
14,-30.985019225927225,152.47106596016883,737
15,-20.683303170999498,139.4547917275439,100
16,-22.49708399389943,117.13464710639526,173
17,-25.082048898767678,147.6821814751938,171
18,-16.738632123869625,137.3659361533561,223
19,-12.90302117641871,143.46641970133393,129
20,-13.752541085104099,130.94922328274038,122
21,-32.62771591743918,119.89555549303562,663
22,-24.443041976100584,130.1857164809751,24
23,-16.933764176563226,124.17775622051052,271
24,-41.60713116589706,147.92382083776525,388
25,-32.852582620469214,151.07518294856735,813
26,-15.443054951174073,143.8922560522056,461
27,-25.119169009235556,149.26328296761403,829
28,-36.40930582639866,147.7584105240018,666
29,-35.475414994832285,150.1326105087888,1490
30,-19.149650337982354,144.09745958555226,86
31,-12.147108268352786,136.5102425880837,107
32,-37.91706223748835,141.6234021967998,208
33,-32.5451028381778,122.0009352194082,493
34,-15.9333855825736,125.47115130060916,257
35,-31.034941738052666,132.80225677926822,209
36,-23.765179079684774,150.60768836734198,37
37,-26.503235566202363,127.67550141949118,33
38,-30.79149592362775,147.7103366973748,16
39,-30.781160954498045,119.82869630764746,286
40,-21.098574246778547,136.68739171828463,122
41,-20.74609163769588,119.63168366845021,74
42,-18.302879451600223,142.8313855425778,86
43,-15.68710210739332,129.5193230429463,181
44,-28.257900029137307,125.40646556059802,165
45,-34.34510230285073,118.04098740234191,397
46,-30.21110108740224,150.17477006582178,348
47,-29.692610111852662,152.57134488473002,601
48,-32.42992525071945,123.46464316985818,774
49,-33.9539738924638,150.45888259212416,666
50,-37.5012628859139,147.99696559061223,1241
51,-12.440741717400861,131.68903357493022,220
52,-21.701868873770458,126.85079603974437,26
53,-19.206276205941062,145.9543079894905,174
54,-21.685844371568724,145.70575700386317,171
55,-11.57415696856805,142.48536068862077,285
56,-31.407682959501727,151.8633526284325,993
57,-13.928241535536905,135.68679545011682,230
58,-28.236980063792856,121.56384543104377,49
59,-26.937671649448998,129.94040193496758,31
60,-14.19368131561235,132.5435684924943,161
61,-25.381199129399146,150.7059866300121,166
62,-32.97039721867273,150.2803192827613,1014
63,-18.319156189687117,126.03005405654778,56
64,-17.626371928827403,122.31176047056805,352
65,-23.091856870573025,123.20890496866969,37
66,-23.05054780674696,149.38268101243892,26
67,-28.23499727601087,149.09544676808383,18
68,-36.89717803889083,146.74113689514076,865
69,-28.321640462318918,152.63653657221982,406
70,-16.65586074774259,127.96468421138485,159
71,-26.167679890713682,146.64636159577486,144
72,-36.41415850380791,149.94918226123147,277
73,-34.56152278976344,135.74336090129725,8
74,-16.028809823476294,143.33118201949202,109
75,-12.54589238940461,141.89566637396928,73
76,-12.113550476735993,132.86276666939014,130
77,-15.044054920765616,142.45004431107043,128
78,-17.419139379699924,143.08128308668128,210
79,-35.78835954986801,148.83929655282626,1729
80,-24.100393692984593,113.50292182876262,72
81,-29.281919639107837,144.95084286972514,51
82,-33.3918814161469,115.84531732526843,27
83,-29.08345058258083,131.34111107504492,35
84,-15.074843404512412,145.03366379206133,237
85,-29.814387779655835,118.50976015184844,236
86,-20.434093359348623,134.62752980202052,81
87,-30.48806759091459,150.98611945115596,528
88,-34.02434378976675,142.10791433188376,36
89,-24.56429516086986,128.49802097859765,94
90,-18.055772288842604,145.47698934594567,361
91,-16.755032372665376,135.78259261052293,40
92,-35.658319195406925,140.07671065408002,17
93,-18.397626760383286,143.89749436315898,405
94,-25.757314228603843,151.90955222360284,120
95,-23.0309275330779,119.54166572093943,28
96,-30.866439306316067,121.49621547676328,24
97,-23.632070705650516,132.2503276633386,120
98,-15.006926172546876,126.3168455872999,242
99,-37.34823895021524,149.82245247516283,771
100,-21.05243085454328,117.7063278330466,75
101,-15.410781511667878,132.16306632242024,104
102,-30.692825392267192,152.5927852283208,950
103,-24.64776909040187,146.69153591636763,177
104,-22.566379387143638,150.2548337542255,323
105,-18.37116977764515,123.91913089405496,124
106,-16.05613408199684,124.78725348689828,238
107,-18.6144452931547,140.29767251163932,9
108,-16.658472045179945,145.00355126834273,270
109,-14.743571097444685,128.0614296845922,184
110,-25.83365454615091,129.84173743984104,219
111,-32.01941055938601,135.7059878636166,128
112,-22.08343886596146,140.28665231594402,60
113,-31.6723700994818,151.8271454001585,989
114,-19.359576814735377,138.59941364625584,47
115,-20.26466406057513,144.15540221046092,110
116,-24.55878888502733,151.5699999560935,271
117,-35.99983720132553,149.43851646717386,884
118,-14.762279393456637,135.08739723682578,45
119,-33.38564807237638,150.64199589759932,767
120,-35.42684675146892,147.9588780488453,839
121,-29.261707130465894,152.61442569784538,476
122,-16.379552354462888,126.71713837453808,140
123,-13.643398531362948,142.96247015707132,220
124,-27.80837500978074,128.38253587326247,465
125,-12.874736563037207,136.31252208467478,437
126,-14.414660952091634,143.53192918355847,156
127,-24.47606691318799,117.89828304859404,89
128,-31.90097917334062,116.94128240510983,10
129,-16.606320828653775,137.89780867810484,244
130,-27.049328472786037,149.5941432745267,39
131,-37.60045491560323,143.2189838528262,29
132,-33.03458982093619,123.60041472280403,1160
133,-16.605669728225795,142.2918075768819,124
134,-15.36794547490466,144.60470153687436,198
135,-32.60372684154146,146.4852677498361,25
136,-24.65408254175088,124.37576293601197,17
137,-19.96398825691453,147.45752910874737,41
138,-16.676725457146365,129.8358675453717,154
139,-21.410853908639595,116.41289321094385,74
140,-21.99904753250576,149.1889664804227,109
141,-25.665118497605164,152.9792719797795,227
142,-14.107452017068283,129.82112153511855,124
143,-30.075537769333245,152.5370449114942,1295
144,-31.218856251745876,123.90163804312748,408
145,-26.65479856523846,125.92949804331954,122
146,-26.945551410828802,119.5432569156711,11
147,-34.82374787401034,150.21790254540036,749
148,-22.444734325472577,146.96481583073975,61
149,-12.75134526461035,133.5011451629066,37
150,-24.613606302064397,125.80843694301652,23
151,-37.03325908188012,148.13465177460293,790
152,-37.61671205664856,148.5769750517296,311
153,-19.738942271907444,121.5827288005349,151
154,-22.650875899845296,120.86331711442998,16
155,-15.197400386891548,125.027067686264,165
156,-31.973128362230646,121.55796986025555,852
157,-15.732622417513358,128.14402149169732,56
158,-31.655115366998608,152.707092215966,129
159,-28.263030182934525,129.3522589489868,470
160,-15.726542811325809,130.84681159517436,76
161,-22.138033335883645,129.28635301692262,13
162,-15.711054677632694,135.54140205971115,36
163,-27.554691225319424,133.0235676802726,4
164,-27.25083328020965,148.31168617386749,39
165,-21.34183721735799,123.54739932299685,22
166,-17.28398489588915,125.95185070058956,49
167,-17.62049033473537,143.88539224206863,137
168,-26.522097939663396,124.09957882561353,30
169,-29.282568814635678,152.3467492726402,700
170,-13.27973468971276,135.76703642459248,246
171,-19.43952197429792,131.63148434185626,18
172,-25.27787378755707,131.1373603641661,35
173,-28.676358127817906,148.0634235429869,40
174,-31.415868866139647,151.31884034601558,610
175,-30.746380007249385,115.86804067474719,42
176,-32.315317568253384,150.13420190023328,276
177,-30.968964029799643,151.97797195229182,1720
178,-37.66099373929543,144.8487129072869,18
179,-28.077411328828962,152.31611422644553,508
180,-31.3823209603003,152.18002919407482,1326
181,-29.11605160413366,128.11222362399286,627
182,-16.35576692663356,123.9312278545493,150
183,-37.10359411086843,147.31018113674972,650
184,-29.003761261486595,150.84012003953785,186
185,-14.434486188278823,127.08059117243523,272
186,-26.233724887125145,149.259678228749,40
187,-29.216002499335886,153.20083983934916,834
188,-13.233383695501585,130.35956490386957,192
189,-19.66917346065024,143.45452017252168,193
190,-34.56177260103906,116.64618314337206,47
191,-16.607172361497916,144.37609397427093,92
192,-29.212279141979682,124.6706004886786,75
193,-24.559912583418598,147.89792870786675,112
194,-21.53650867747879,127.29505117646843,55
195,-32.10473727431441,151.37554749976334,234
196,-18.207459575936813,141.31506914819698,52
197,-17.376749728928235,142.39231709566934,179
198,-21.820335400012528,118.65766064245086,84
199,-27.37207402989697,150.89615286297064,127
200,-21.30340996796915,140.79749388923113,164
201,-32.37689462233234,123.21011460828313,716
202,-27.46990982039457,127.4108947848757,31
203,-15.834629481446346,145.07335039715196,195
204,-16.956845556364343,141.24477299003243,51
205,-27.738235084450217,130.697804445901,39
206,-33.10417004973089,137.14782419254254,110
207,-26.105271421127394,150.50016605555098,139
208,-17.96802671737253,144.81821342345876,198
209,-15.260800498391196,143.17169113755233,134
210,-28.71038497671573,152.33092353524833,793
211,-26.921111885936973,121.021516077902,40
212,-27.23648638790586,152.12166236264937,212
213,-16.160374400746846,142.4123910595207,266
214,-23.666699906099822,146.45978713704068,42
215,-30.103290951724038,151.42181818927196,349
216,-34.18161360828151,150.08334089887117,1440
217,-32.31858765050853,121.4153291571397,539
218,-13.954368741490725,136.65042470396307,85
219,-12.428118863509923,131.04872799677466,14
220,-25.89198778200298,151.09569582847192,224
221,-18.7520523743982,127.29196243304051,47
222,-21.01400485342745,135.18928070940555,128
223,-14.049420899514427,131.71384650719799,105
224,-20.14485872731736,139.5993704698752,187
225,-32.25822451491628,119.38066048842032,304
226,-15.946721029313245,144.03304668581106,295
227,-18.517141879672508,134.58752807183097,35
228,-20.24440508750187,145.20693531284377,33
229,-24.111654382325078,118.77537872224852,30
230,-13.201249134739607,141.79911973863915,138
231,-30.04599443617533,152.88593115205651,577
232,-34.24842166005257,150.3931546088346,937
233,-18.80192508678079,125.2048021672919,21
234,-27.22040678766124,128.84012281118248,338
235,-36.96771655225696,149.48616401506777,1147
236,-33.250094117180424,151.00773515292505,709
237,-16.976018453917604,138.32447173549093,98
238,-24.732992570622912,127.35021406228292,58
239,-11.993973819790796,133.35531044896248,82
240,-32.76654610339687,150.6998068801847,1187
241,-41.022017094409634,145.4897384165381,4
242,-12.50236565845073,135.06923750250817,183
243,-36.000757091902884,149.9953320938265,461
