system:index,burn,count,date,.geo
2019_11_01_+30880+13672,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.45812873224314,-32.959607984800705]}"
2019_11_01_+30882+13671,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.46771325781805,-32.950614778878105]}"
2019_11_01_+31611+13555,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[122.85111424594714,-31.907402891856762]}"
2019_11_01_+31766+13512,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.96446850296513,-31.520695037185053]}"
2019_11_01_+31766+13515,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[124.01084535431181,-31.547674654952846]}"
2019_11_01_+31766+13518,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[124.040738053261,-31.57015766975934]}"
2019_11_01_+31776+13503,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.9732329468551,-31.439756183881677]}"
2019_11_01_+31787+13468,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.67567618911774,-31.124993976590755]}"
2019_11_01_+31790+13470,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.7306529757903,-31.142980388435944]}"
2019_11_01_+31793+13461,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.65674437113755,-31.06204153513257]}"
2019_11_01_+31797+13489,1,8,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[124.0302404371791,-31.300361492081407]}"
2019_11_01_+31799+13464,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.75014067618415,-31.080027946977765]}"
2019_11_01_+31803+13487,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[124.06773652693668,-31.29586488912011]}"
2019_11_01_+32295+12361,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.43720757619339,-21.163519549659927]}"
2019_11_01_+32303+14600,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[147.10324798693907,-41.300806478010166]}"
2019_11_01_+32855+13034,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[129.85427770064362,-27.221942606183305]}"
2019_11_01_+32983+11970,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[122.38611564763795,-17.653171504539245]}"
2019_11_01_+32988+11969,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[122.43190846593475,-17.644178298616648]}"
2019_11_01_+33100+12833,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[130.27784798869448,-25.414308215741148]}"
2019_11_01_+33154+11938,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.8083306672778,-17.365388915016116]}"
2019_11_01_+33155+11932,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.78135377124549,-17.31142967948053]}"
2019_11_01_+33162+11935,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.86548624734776,-17.338409297248322]}"
2019_11_01_+33168+11930,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.88866990668684,-17.288946664674032]}"
2019_11_01_+33168+11935,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.92201403582648,-17.338409297248322]}"
2019_11_01_+33225+11827,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[123.81583492313058,-16.35814985168516]}"
2019_11_01_+33314+14023,1,10,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[148.04515947634576,-36.09733753119508]}"
2019_11_01_+33350+11783,1,8,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[124.72444300666506,-15.954579735908586]}"
2019_11_01_+33351+11775,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[124.70308724876736,-15.899496349632676]}"
2019_11_01_+33352+11778,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[124.73106508597648,-15.921979364439169]}"
2019_11_01_+33355+11780,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[124.77309794357463,-15.944462379245662]}"
2019_11_01_+33356+11782,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[124.78897249407007,-15.962448791090859]}"
2019_11_01_+33363+11778,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[124.83393691093553,-15.921979364439169]}"
2019_11_01_+33365+11775,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[124.83400038144264,-15.899496349632676]}"
2019_11_01_+33373+11816,1,4,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.13701973235268,-16.265969490978534]}"
2019_11_01_+33379+11812,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.18060197676125,-16.227748365807493]}"
2019_11_01_+33382+11812,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.20618677058123,-16.226249498153734]}"
2019_11_01_+33391+11808,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.27013190465247,-16.1917755421171]}"
2019_11_01_+33392+11804,1,3,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.24359071987524,-16.15730158608047]}"
2019_11_01_+33394+11794,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.21210076120424,-16.07036726216203]}"
2019_11_01_+33399+11782,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.19586589028569,-15.962448791090859]}"
2019_11_01_+33413+11784,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.33808075709662,-15.980435202936052]}"
2019_11_01_+33415+11786,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.3680669113815,-15.99842161478125]}"
2019_11_01_+33417+11756,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.2191091501503,-15.728625437103315]}"
2019_11_01_+33420+11769,1,2,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.31474058853564,-15.845537114097088]}"
2019_11_01_+33421+11767,1,1,2019-11-01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[125.3176035492724,-15.827550702251893]}"
